Paragraph 0
在位七十一年,壽一百二十歳.	ở ngôi bảy mươi mốt năm , thọ một trăm hai mươi mốt tuổi .
且夫,秦失其鹿,天下共逐之,惟漢帝寬仁愛人,民皆樂從,起豊沛先八關㨿咸陽,攘除兇𨢄.	vả lại , nhà tần mất con hươu , thiên hạ đều tranh nhau đuổi , chỉ có hán đế khoan nhân yêu người , dân đều vui theo , khởi quân từ đất phong bái mà vào quan trung trước tiên để chiếm giữ hàm dương , dẹp trừ hung bạo .
今王󰕛不過十萬,雜處山海間,譬如漢一郡也,何乃比於漢帝".	nay dân của vương , chẳng qua mười vạn ở , ở xen khoảng núi biển , chỉ ví như một quận của nhà hán , ví với hán đế sao được ?
因問賈曰:"我𭁈蕭何,曹參󰰽賢".	nhân hỏi giả rằng : " tôi với tiêu hà , tào tham ai hơn ?
曰:"王自賢".	" giả nói : " vương hơn chứ " .
今既不然,僃禮具之可也,奈何自特百粤之󰕛慢易天子使者?	nay đã không làm thế , thì nên sắm lễ mà tiếp sứ giả mới phải , sao lại cậy dân bách việt đông mà khinh nhờn sứ giả của thiên tử ?
突曰:"吾恨不起於彼何遠,不若漢?	vua cười và nói : " tôi lấy làm giận không được nổi dậy ở bên ấy , biết đâu chẳng bằng nhà hán ?
乃留賈居数月.	bèn giữ giả ở lại vài tháng .
又問:"我𭁈漢帝󰰽賢?	lại hỏi : " tôi với vua hán ai hơn ?
"帝蹶然,興起曰:"居此日久殊.	vua ra dáng sợ hãi , đứng dậy nói : " tôi ở đất này lâu ngày quên mất cả lễ nghĩa " .
曰:"越中無足𭁈語.	vua nói : " ở đất việt này không ai đủ để nói chuyện được .
賜賈槖中装直千金.	" cho giả đồ châu báu giá nghìn vàng để làm vật bỏ bao .
丙午,十三年,[漢髙帝十二年].	bính ngọ , năm thứ mười ba , ( hán cao đế năm thứ mười hai ) .
"賈默然色洱.	" giả ngồi im lặng , sắc mặt tiu nghỉu .
失禮義".	
及賈㱕復,賜千金[橐中装謂以珠寳装裏八囊橐.	
	đến khi giả về , lại cho thêm nghìn vàng nữa .

Paragraph 2
辛酉,二十八年,[漢髙后八年].	tân dậu , năm thứ hai mươi tám , ( hán cao hậu năm thứ tám ) .
秋,七月,髙后崩,諸大臣迎立代王恒,是爲文帝.	mùa thu , tháng bảy , cao hậu băng , các đại thần đón đại vương hằng lên ngôi , tức là văn đế .
春,帝即皇帝位,𭛁兵功長沙,敗數郡而還.	mùa xuân , vua lên ngôi hoàng đế , đem quân đánh trường sa , đánh bại mấy quận rồi về .
壬戌,二十九年,[漢文帝恒元年].	nhâm tuất , năm thứ hai mươi chín , ( hán văn đế hằng năm thứ nhất ) .
此必長沙王計,欲倚漢威德圖我國而併王之,自爲功也".	việc này tất là mưu kế của trường sa vương muốn dựa uy đức của nhà hán mưu lấy nước ta mà làm vua cả , tự làm công của mình " .
春,正月,朔,日食夏,五月,日食既.	quý sửu , năm thứ hai mươi , ( hán huệ đế năm thứ bảy ) mùa xuân , tháng giêng , ngày mồng một , nhật thực .
庚申,二十七年,[漢髙后七年].	canh thân , năm thứ hai mươi bảy , ( hán cao hậu năm thứ bảy ) .
戊午,二十五年,[漢髙后五年].	mậu ngọ , năm thứ hai mươi lăm , ( hán cao hậu năm thứ năm ) .
乙卯,二十年[漢髙后吕雉二年].	ất mão , năm thứ hai mươi hai , ( hán cao hậu lữ trĩ năm thứ hai ) .
漢使隆慮[音林閭],侯周竃擊南越以報長沙之役.	nhà hán sai lâm lư hầu chu táo sang đánh nam việt để báo thù việc đánh trường sa .
庚戌,十七年,[漢惠帝,盈四年].	canh tuất , năm thứ mười bảy , ( hán huệ đế doanh năm thứ bốn ) .
帝曰:"髙帝立,我通使,共噐物.	vua nói : " khi cao đế lên ngôi , ta cùng thông sứ chung đồ dùng .
夏,四月,漢帝崩.	mùa thu , tháng tám , vua hán băng .
复,六月,晦,日食.	mùa hạ , tháng sáu , ngày ba mươi , nhật thực .
會暑濕大𤶣,遂󰰾兵.	gặp khi nắng to ẩm thấp , bệnh dịch phát , bèn bãi quân .
丁巳,二十四年[漢髙后漢禁南越關市鉄噐.	đinh tỵ , năm thứ hai mươi bốn , ( hán cao hậu năm thứ bốn ) .
秋,八月,漢帝崩.	mùa hạ , tháng bốn , vua hán băng .
御黃屋,左纛,稱制𭁈漢並.	vua ngồi xe mui vàng , dùng cờ tả đạo , cho là nghi vệ ngang với nhà hán .
今髙后聽讒臣,别異漢越噐物.	nay cao hậu nghe lời gièm pha , phân biệt đồ dùng hán , việt .
帝因此以兵威敗物招撫閩越,西甌貉[即交跐九真],皆從属焉,東西萬餘里.	
	vua nhân thế dùng binh uy và của cải để chiêu vỗ mân việc và âu lạc ở phía tây ( tức là giao chỉ và cửu chân ) , các nơi ấy đều theo về , từ đông sang tây rộng hơn vạn dặm .

Paragraph 3
髙皇帝棄群臣,孝惠皇帝即世髙后自臨事,不幸有疾,諸吕擅權爲變,不䏻獨制,乃取他姓子爲孝惠皇帝.	cao hoàng đế lìa bỏ bầy tôi , hiếu huệ hoàng đế qua đời , cao hậu tự lên trông coi việc nước , không may có bệnh , người họ lữ chuyên quyền làm bậy , một mình khống chế ngự được , mới lấy con người họ khác nối nghiệp hiếu huệ hoàng đế .
漢帝召賈爲太中大夫,謁者一人爲副使,往遣帝書.	vua hán gọi giả cho làm thái trung đại phu , lấy một người yết giả làm phó sứ , đem thư sang cho vua .
因爲書稱:"蠻夷大長老夫,臣佗昧子,再拜上書皇帝陛下,老夫故越吏也,髙帝賜璽.	nhân viết thư rằng : " man di đại trưởng lão phu , thần đà , mạo muội đáng chết , hai lạy dâng thư lên hoàng đế bệ hạ .
曰:"謹問南越王甚苦心勞意.	thư nói : " kính hỏi thăm nam việt vương rất lao tâm khổ ý .
願𭁈王分棄前惡終,今以来通使如故.	trẫm nguyện cùng vương đều bỏ hiềm trước , từ nay trở đi thông hiếu như xưa .
朕髙帝側室之子也,棄外奉藩于代道理遼遠,壅󰰿撲愚,未嘗𦤶書.	trẫm là con vợ lẽ của cao đế , phải đuổi ra ngoài làm phiên vương ở đất đại , vì đường sá xa xôi , kiến thức hẹp hòi quê kệch , nên chưa từng gửi thư .
因以上褚五十衣,中褚三十衣,下褚二十衣遣王.	nhân gửi biếu vương năm mươi chiếc áo bông thượng hạng , ba mươi chiếc áo bông trung hạng , hai mươi chiếc áo bông hạ hạng .
故使陸賈往馳諭,吿王以朕本意.	vì vậy mới sai lục giả sang đưa tờ dụ , để tỏ với vương bản ý của trẫm .
賈至,帝謝曰:"謹奉詔爲藩王,長供職貢".	khi giả đến , vua tạ lỗi nói : " kính vâng chiếu chỉ , xin làm phiên vương , giữ mãi lệ cống " .
置守邑,歳時奉祀,召其昆弟爲尊官厚賜.	vua hán vì thấy mồ mả tổ tiên của vua đều ở chân định mới đặt người thủ ấp để trông coi , tuế thời cúng tế , gọi các anh em của vua cho làm quan to , ban cho hậu .
願王聽樂消憂存問鄰國".	mong rằng vương hãy nghe nhạc tiêu sầu và thăm hỏi nước láng giềng " .
於是下詔曰:"朕聞:两䧺不俱立,两賢不並世,漢皇帝賢天子,自今去帝制黃屋左纛".	rồi đó vua hạ chiếu rằng : " trẫm nghe : hai người hùng không đứng cùng nhau , hai người hiền không ở cùng đời .
嗣頼宗廟之靈,功臣之力,誅之已畢.	nhờ anh linh tông miếu và sức lực của các công thần , đã giết hết bọn ấy .
乎而不讓,仁者不爲也.	tranh mà không biết nhường thì người có nhân không làm .
朕以王󰍆吏不釋之故,不得不立,今即位.	trẫm vì các vương hầu và quan lại không cho từ chối , không thể không nhận , nay đã lên ngôi .
王亦受之,毋爲寇災矣.	vương cũng nên nghe theo , chớ làm những việc cướp phá nữa .
之問宰相陳平,󰁮可使越者.	vua hán hỏi tể tướng trần bình có thể cử ai sang sứ nam việt được , bình nói : " lục giả thời tiên đế đã từng sang sứ nam việt " .
帝,两帝並立亡一乘之使以通,其道之爭也.	mới rồi nghe nói vương có gửi thư cho tướng đế , hai đế cùng lập mà không có xe sứ thông hiếu , thế là tranh nhau .
漢帝爲帝親塚在真定者.	
乃者聞王遣将.	

Paragraph 4
老夫處越四十九年,于今抱孫,焉然夙興夜寐,寝不安席,食不甘味,目不視靡蔓之色,耳不聽鍾皷之音者,以不得事漢也.	lão phu ở đất việt bốn mươi chín năm , đến nay đã ẵm cháu rồi , những vẫn phải dậy sớm , ngủ muộn , nằm không yên chiếu , ăn không biết ngon , mắt không trông sắc đẹp , tai không nghe tiếng chuông trống , chỉ vì không được làm tôi nhà hán mà thôi .
甲子,三十一年,[漢文帝三年].	giáp tý , năm thứ ba mươi mốt , ( hán văn đế năm thứ ba ) .
今陛下幸哀,憐復故號,通使如故,老夫死骨不抒.	nay may được bệ hạ có lòng thương đến , được khôi phục hiệu cũ , cho thông sứ như trước , lão phu dù chết xương cũng không nát .
自是南北交好弭兵,民得休息矣.	từ đấy nam bắc giao hảo , thôi việc binh đao , dân được yên nghỉ .
故更號爲帝,自帝其國,非敢有害於天下.	vì vậy mới đổi xưng hiệu là đế , để tự làm đế nước mình , không dám làm điều gì hại đến thiên hạ .
冬,十月,晦,日食.	mùa đông , tháng mười , ngày ba mươi , nhật thực .
髙皇后聞之大怒,削去南越之籍,使使不通.	cao hoàng hậu nghe tin cả giận , tước bỏ sổ sách của nam việt , khiến cho việc sai người đi sứ không thông .
髙后用事别異華夷,由命曰毋予南越金鉄田噐,馬,牛,羊,即子予牡无予牝.	cao hậu lên coi việc nước lại phân biệt hoa - di , ra lệnh không cho nam việt những khí cụ làm ruộng bằng sắt và đồng ; ngựa , trâu , dê nếu cho thì cũng chỉ cho con đực , không cho con cái .
自已祭祀不脩有死罪,遣内史潘,中尉髙,御史平,凣三董上書謝過,皆不反.	tự nghĩ nếu không sắm lễ vật cúng tế , thì tội thực đáng chết , mới sai nội sử phan , trung uý cao , ngự sử bình , ba bọn dâng thư tạ lỗi , nhưng đều không thấy trở về .
昧死再拜以聞皇帝陛下".	mạo muội liều chết , hai lạy dâng lên hoàng đế bệ hạ " .
癸亥,三十年,[漢文帝二年].	quý hợi , năm thứ ba mươi , ( hán văn đế năm thứ hai ) .
綬以爲南越王.	thao làm nam việt vương .
老夫處僻,馬牛羊齒已長.	lão phu ở đất hẻo lánh , ngựa , trâu , dê đã già .
孝惠皇帝即位,義不忍絶,所賜老夫者甚厚.	hiếu huệ hoàng đế lên ngôi , vì nghĩa không nỡ tuyệt nên ban cho lão phu rất hậu .
又風聞,老夫父母墳暮已壞削,兄弟宗𤟪已誅,泯故吏相議曰:"今内不得振於漢,外無以自髙異於吳".	vì vậy , bọn lại bàn nhau rằng : " nay bên trong không được phấn chấn với nhà hán , bên ngoài không lấy gì để tự cao khác với nước ngô " .
改號不敢爲帝矣.	vậy xin đổi tước hiệu , không dám xưng đế nữa .
陸賈得書還報,漢帝大悅.	lục giả đem thư ấy về báo , vua hán rất mừng .
謹因使使者献白壁之雙,翠羽千尾,犀角十座,紫貝五百,桂壼一噐,生翠四十雙,孔雀二雙.	kính cẩn sai sứ giả dâng một đôi ngọc bích trắng , một nghìn bộ lông chim trả , mười sừng tên , năm trăm vỏ ốc màu tía , một giỏ cà cuống , bốn mươi đôi chim trả sống , hai đôi chim công .
譖,故𭛁兵以伐其邊.	lão phu trộm ngờ là vì trường sa vương gièm pha , cho nên mới đem quân đến đánh biên giới .
老夫竊疑長沙王讒.	

Paragraph 5
辛巳,四十八年,[漢文帝復元四年].	tân tỵ , năm thứ bốn mươi tám , ( hán văn đế hậu nguyên , năm thứ bốn ) .
春,正月,長星出西方.	mùa xuân , tháng giêng , có sao chổi đuôi dài mọc ở phương tây .
丁亥,五十四年,[漢景帝三年].	đinh hợi , năm thứ năm mươi bốn , ( hán cảnh đế năm thứ ba ) .
冬,十一月,有星孛于西方.	mùa đông , tháng mười một , có sao chổi mọc ở phương tây .
冬,十月,晦,日食.	mùa đông , tháng mười , ngày ba mươi , nhật thực .
甲申,五十一年,[漢文帝七年].	giáp thân , năm thứ năm mươi mốt , ( hán văn đế năm thứ bảy ) .
秋,九月,有星孛于西方.	mùa thu , tháng chín , sao chổi mọc ở phương tây .
秋,九月,有星孛于西北.	mùa thu , tháng chín , có sao chổi mọc ở phía tây bắc .
乙酉,五十二年,[漢景帝故元年].	ất dậu , năm thứ năm mươi hai , ( hán cảnh đế khải , năm thứ nhất ) .
甲午,六十一年,[漢景帝三年].	giáp ngọ , năm thứ sáu mươi mốt , ( hán cảnh đế năm thứ ba ) .
戊子,五十五年,[漢景帝四年].	mậu tý , năm thứ năm mươi lăm , ( hán cảnh đế năm thứ bốn ) .
丙戌,五十三年,[漢景帝二年].	bính tuất , năm thứ năm mươi ba , ( hán cảnh đế năm thứ hai ) .
秋,九月,晦,日食.	mùa thu , tháng chín , ngày ba mươi , có nhật thực .
癸巳,六十年,[漢景帝复,中元二年].	quý tỵ , năm thứ sáu mươi , ( hán cảnh đế trung nguyên năm thứ hai ) .
冬,十月晦,日食十一月,晦,日飠.	mùa đông , tháng mười , ngày ba mươi nhật thực .
复,六月漢帝崩,詔短䘮.	mùa hạ , tháng sáu , vua hán băng , có chiếu dặn để tang ngắn .
四月,有星孛于西北.	mùa hạ , tháng bốn , có sao chổi mọc ở phía tây bắc .
复,四月,晦,日食.	mùa hạ , tháng bốn , ngày ba mươi , nhật thực .
是月,晦,日食.	tháng ấy , ngày ba mươi , có nhật thực .
漢詔令郡國立太宗𦺓.	nhà hán chiếu sai các quận quốc dựng miếu thái tông .

Paragraph 6
冬,十月,日月皆赤.	mùa đông , tháng mười , mặt trời , mặt trăng đều sắc đỏ .
甲辰,七十一年[漢建元四年].	giáp thìn , năm thứ bảy mươi mốt , ( hán kiến nguyên , năm thứ bốn ) .
丁酉,六十四年,[漢景帝六年].	đinh dậu , năm thứ sáu mươi bốn , ( hán cảnh đế năm thứ sáu ) .
秋,七月,晦,日食.	mùa thu , tháng bảy , ngày ba mươi , nhật thực .
庚子,六十七年[漢景帝三年].	canh tý , năm thứ sáu mươi bảy , ( hán cảnh đế năm thứ ba ) .
七月,有星孛于西北.	mùa thu , tháng bảy , sao chổi mọc ở phía tây bắc .
秋,七月,晦,日食時帝凣遣使如漢則稱王,朝請以比諸侯,於國内則從故號.	bấy giờ vua sai sứ sang nhà hán thì xưng là vương , giữ lễ triều yết cũng như các nước chư hầu , ở trong nước thì theo hiệu cũ .
朝封帝爲開天体道聖武神哲皇帝].	( về sau , nhà trần phong là khai thiên thể đạo thánh vũ thần triết hoàng đế ) .
建癸卯,七十年[漢建元秋,三年].	quý mão , năm thứ bảy mươi , ( hán kiến nguyên năm thứ ba ) .
乙未,六十二年,[漢景帝四年].	ất mùi , năm thứ sáu mươi hai , ( hán cảnh đế năm thứ bốn ) .
戊戌,六十五年,[漢景帝復元年].	mậu tuất , năm thứ sáu mươi lăm , ( hán cảnh đế hậu nguyên , năm thứ nhất ) .
廈,四月,有星如日夜出.	mùa hạ , tháng bốn , có sao to bằng mặt trời mọc ban đêm .
壬寅,六十九年,[漢武帝徹,春,正月,晦,日食.	nhâm dần , năm thứ sáu mươi chín , ( hán vũ đế triệt , kiến nguyên năm thứ hai ) .
春,正月,漢帝崩.	mùa xuân , tháng giêng , vua hán băng .
九月,晦,日食.	tháng chín , ngày ba mươi , nhật thực .
是月,晦,日食.	tháng ấy , ngày ba mươi , nhật thực .
帝崩,謚曰武帝.	vua băng , thuỵ là vũ đế .
孫胡立.	cháu là hồ lên nối ngôi .
十二月,日如紫,五星逆行,守太微,月貫天庭中,[天庭即龍星右角太微宫垣十星,在翌軫之地;天子之宫,五帝之座].	tháng mười hai , sắc mặt trời đỏ tía , năm sao đi ngược chiều ôm lấy chòm sao thái vi ; mặt trăng đi xuyên vào thiên đình ( thiên đình tức là mười ngôi sao cung viên thái vi ở góc hữu sao long tinh , ở khoảng sao dực sao chẩn ; ấy là cung của thiên tử ; toà của ngũ đế ) .
[後陳.	

Paragraph 7
在位十二年,壽五十二歳.	ở ngôi mười hai năm , thọ năm mươi hai tuổi .
秋,八月,有星孛于東方,長竟天.	mùa thu , tháng tám , có sao chổi mọc ở phương đông , đuôi dài hết trời .
後之帝越者,䏻法趙武固守封圻,設立軍國,交鄰有道,守位以仁,則長保境土,北人不得.	người làm vua nước việt sau này nếu biết bắt chước vũ đế mà giữ vững bờ cõi , thiết lập việc quân quốc , giao thiệp với láng giềng phải đạo , giữ ngôi bằng nhân , thì gìn giữ bờ cõi được lâu dài , người phương bắc không thể sử thần ngô sĩ liên nói : truyện có câu : " người có đức lớn thì ắt có ngôi , ắt có danh , ắt được sống lâu " .
黎文休曰:遼東微箕子不䏻成衣冠之俗,吳會非泰伯不䏻躋王覇之強.	lê văn hưu nói : đất liêu đông không có cơ tử thì không thành phong tục mặc áo đội mũ , đất ngô cối không có thái bá thì không thể lên cái mạnh của bá vương .
文王.	văn vương .
趙武帝䏻開拓我越而自帝,其國𭁈漢抗衡,書稱"老夫",爲我越倡始帝王之基業,其功可謂大矣.	triệu vũ đế khai thác đất việt ta mà tự làm đế trong nước , đối ngang với nhà hán , gửi thư xưng là " lão phu " , mở đầu cơ nghiệp đế vương cho nước việt ta , công ấy có thể nói là to lắm vậy .
王守漢約,不擅興兵,使人賫書言其事於漢.	vua giữ ước với nhà hán , không tự tiện dấy quân , sai người đem thư nói việc đó với nhà hán .
易曰:"謙尊而光,卑而不可踰".	kinh dịch nói : " biết khiêm nhường thì ngôi tôn mà đức sáng , ngôi thấp mà không ai dám vượt qua " .
丙午,二年,[漢建元六年].	bính ngọ , năm thứ hai , ( hán kiến nguyên năm thứ sáu ) .
大舜東夷人也,爲五帝之英主.	văn vương là người tây di mà là bậc vua hiền trong tam đại .
諱胡,仲始之子,武帝之孫也.	tên huý là hồ , con trai trọng thuỷ , cháu vũ đế .
閩越王郢侵我邊邑.	mân việt vương sính xâm lấn biên ấp nước ta .
文王西夷人也,爲三代之賢君.	đại thuấn là người đông di nhưng là bậc vua giỏi trong ngũ đế .
史臣吳士連曰:傳曰""有大德必得其位,必得其名,必得其壽".	vua lấy nghĩa để cảm nước láng giềng , đánh lui địch , yên biên cảnh , cũng gọi là bậc vua có ý muốn thịnh trị vậy .
帝何修而得此哉?	đế làm gì mà được như thế ?
則知善爲國者,不限地之廣狹,人之華夷,惟德是視也.	thế mới biết người giỏi trị nước không cứ đất rộng hay hẹp , người hoa hay di , chỉ xem ở đức mà thôi .
[王感鄰以義,却敵邊,亦願治之君也].	đến khi nghe tin văn đế đặt thủ ấp trông coi phần mộ tổ tiên , tuế thời cúng tế , lại ban thưởng ưu hậu cho anh em , thì bấy giờ vua lại khuất phục nhà hán , do đó tông miếu được cúng tế , con cháu được bảo tồn , thế chẳng phải là nhờ đức ư ?
則英武之威𡸈讓漢髙.	xem câu trả lời lục giả thì oai anh vũ kém gì hán cao .
亦曰德而也矣.	cũng chỉ vì có đức mà thôi .
及聞文帝爲帝親塚置守邑,歳時奉祀,及厚賜其昆弟,則又屈於漢,於是宗廟饗之,子孫保之,非以德耶?	

Paragraph 8
間者歳北不登,民生未復,今𭛁兵資粮,行数千里,夾以深林叢竹,多蝮蛇猛獸,夏月暑時,歐泄霍乱之病相隨屬也曾,未施兵接刅死傷者必眾矣.	vừa rồi mấy năm liền không được mùa , sinh kế của dân chưa lại như cũ , nay phát binh lấy lương , đi mấy nghìn dặm lại thêm rừng sâu tre rậm , nhiều rắn độc thú dữ , tháng hè mùa nắng , các bệnh thổ tả hoặc loạn phát ra luôn , tuy chưa từng ra quân đọ kiếm mà chết chóc tất đã nhiều rồi .
自三代之盛,胡粤不受正朔,非強不䏻服,威不能制,以為不居之地,不牧之民,不足以煩中國也.	từ thời tam đại thịnh trị , người hồ , người việt đã không nhận chính sóc , không phải là vì mạnh mà không hàng phục được , uy không chế ngự được , mà vì đất ấy không thể ở được , dân ấy không thể chăn được , không bõ làm phiền đến trung quốc vậy .
且越人緜力薄材,不能陸戦,及無車騎弓弩之用,然而不可入者,以保地險,而中國之人不耐其水土也.	vả người việt nhân tài vật lực yếu mỏng không biết đánh bộ , lại không biết dùng xe ngựa cung nỏ , thế mà không thể đem quân vào được , là vì họ giữ được đất hiểm , mà người trung quốc thì không quen thuỷ thổ .
陛下,德配天澤及草木一人有饑寒不終其天年而死者,爲之悽愴於心.	bệ hạ đức sánh trời đất , ơn đến cỏ cây , một người đói rét không được hưởng trọn tuổi trời mà chết , bệ hạ cũng lấy làm thương xót trong lòng .
若無所用之,則存亡繼絶,建其王侯,此必委質爲臣,世共貢職.	nếu không dùng đất ấy làm gì , thì nước đã mất làm cho còn , dòng đã tuyệt khiến nối lại , phong làm vương hầu , như thế tất họ phải đem mình làm tôi , đời đời nộp cống .
臣聞道路言:閩越王弟甲弑而殺之,甲已誅死,其民未有所属.	thần nghe ở đường sá người ta nói rằng : mân việt vương bị em là giáp giết chết , giáp cũng đã bị giết rồi , dân nước ấy chưa thuộc về ai .
陛下若所重臣臨冇施德,再賞以招𦤶之,此必携幼扶老以㱕聖德.	nếu bệ hạ sai trọng thần đến nơi thăm hỏi , ban đức cấp thưởng để chiêu dụ họ , thế tất họ sẽ dắt trẻ dìu già theo về thánh đức .
臣恐變故之生,奸邪之作,由此始也.	thần sợ rằng biến cố sẽ sinh , gian tà sẽ nổi , đều là bắt đầu từ đấy cả .
漢多󰒂之,大爲𭛁兵,遣王恢出豫章,韓安國出會󰏲,擊閩越.	nhà hán khen là nghĩa , vì vua mà phát đại binh , sai vương khôi xuất quân từ dự chương , hàn an quốc xuất quân từ cối kê , để đánh mân việt .
淮南王安上書諫曰:"越方外之地.	hoài nam vương an dâng thư can rằng : " việt là đất ở ngoài cõi .
剪髮,文身之,不可以冠帶之國法度理也.	dân cắt tóc vẽ mình , không thể lấy pháp độ của nước đội mũ mang đai mà trị được .
臣聞軍旅之後,必有凶年,言以具愁苦之氣,薄隂陽之和,感天地之精,而災氣爲之生也.	thần nghe rằng sau việc quân lữ , tất là mất mùa , là bởi cái khí sầu khổ phá sự điều hoà của khí âm dương , cảm đến tinh khí của trời đất , tai biến do đấy mà sinh ra .
陛下以方寸之印,丈二之組,填撫方外,不勞一卒,不頓一㦸,而威德並行.	bệ hạ chỉ dùng cái ấn vuông một tấc , dây thao một trượng hai , mà trấn vỗ được đất ngoài , không phải nhọc mệt tên lính nào , không phải cùn một chiếc giáo nào , mà uy đức đều được cả .
今自相攻擊而陛下𭛁兵救之,是及以中國而.	nay họ đánh lẫn nhau mà bệ hạ phát quân đến cứu , thế là trái lại đem trung quốc mà phục dịch di dịch vậy .
中元,霑漬山谷,邊境之民早閉晏開,朝不及夕,臣安窃爲陛下重之.	hiện nay trong nước không có tiếng chó sủa báo động mà khiến quân lính phải dãi dầu ở đồng nội , ngấm ướt ở núi hang , khiến dân ở biên cương phải đóng cửa sớm mở cửa muộn , bữa mai không kịp bữa hôm , thần an trộm xin bệ hạ thận trọng việc đó .
一不奉詔󰁮兵誅之,臣恐後兵革無時得息也.	nay mới không vâng chiếu mà cất quân đi đánh giết , thần sợ sau này việc binh cách không biết đến lúc nào thôi .
且越人輕薄反襨,不用法度非一日之積.	vả người việt khinh bạc , tráo trở , không theo pháp độ , không phải mới có một ngày .
今方内無狗吠之警,而使甲卒暴露.	vào đất họ , họ tất sợ hãi , trốn vào rừng núi ; nếu ta bỏ về , thì họ lại họp đàn tụ lũ , nếu ta ở để giữ , thì hết năm này sang năm khác , quân lính mệt mỏi , lương thực thiếu hết , một phương có việc gấp , thì bốn mặt đều sợ .
勞夷狄也.	
入其地,此必震恐,迯入山林;背而去之則復群聚,留而守之,歴歳經年,則士卒罷勌,食粮之絶,一方有急四靣皆聳.	

Paragraph 9
