Paragraph 0
第八十一回急兄仇张飞遇害雪弟恨先主兴兵	Đệ bát thập nhất hồi cấp huynh cừu trương phi ngộ hại tuyết đệ hận tiên chủ hưng binh
”宓伏地不起曰：“陛下不从臣言，诚恐有失。	" Mật phục địa bất khởi viết: "Bệ hạ bất tòng thần ngôn, thành khủng hữu thất.
”先主大怒曰：“朕欲兴兵，尔何出此不利之言！	" Tiên chủ đại nộ viết: "Trẫm dục hưng binh, nhĩ hà xuất thử bất lợi chi ngôn!
”叱武士推出斩之，宓面不改色，回顾先主而笑曰：“臣死无恨，但可惜新创之业，又将颠覆耳！	" Sất võ sĩ thôi xuất trảm chi, mật diện bất cải sắc, hồi cố tiên chủ nhi tiếu viết: "Thần tử vô hận, đãn khả tích tân sang chi nghiệp, hựu tương điên phúc nhĩ!
”众官皆为秦宓告免。	" Chúng quan giai vi tần mật cáo miễn.
先主曰：“暂且囚下，待朕报仇回时发落。	Tiên chủ viết: "Tạm thả tù hạ, đãi trẫm báo cừu hồi thời phát lạc.
”孔明闻知，即上表救秦宓。	" Khổng minh văn tri, tức thượng biểu cứu tần mật.
其略曰：“臣亮等窃以吴贼逞奸诡之计，致荆州有覆亡之祸；	Kì lược viết: "Thần lượng đẳng thiết dĩ ngô tặc sính gian quỷ chi kế, trí kinh châu tào thao; di lưu tộ giả, quá phi tôn quyền.
窃谓魏贼若除，则吴自宾服。	Thiết vị ngụy tặc nhược trừ, tắc ngô tự tân phục.
愿陛下纳秦宓金石之言，以养士卒之力，别作良图，则社稷幸甚！	Nguyện bệ hạ nạp tần mật kim thạch chi ngôn, dĩ dưỡng sĩ tốt chi lực, biệt tác lương đồ, tắc xã tắc hạnh thậm!
天下幸甚！	Thiên hạ hạnh thậm!
”先主看毕，掷表于地曰：“朕意已决，无得再谏！	"Tiên chủ khán tất, trịch biểu vu địa viết: "Trẫm ý dĩ quyết, vô đắc tái gián!
”遂命丞相诸葛亮保太子守两川；骠骑将军马超并弟马岱，助镇北将军魏延守汉中，以当魏兵；虎威将军赵云为后应，兼督粮草；黄权、程畿为参谋；马良、陈震掌理文书；黄忠为前部先锋；冯习、张南为副将；傅彤、张翼为中军护尉；赵融、廖淳为合后。	" Toại mệnh thừa tương Gia Cát lượng bảo thái tử thủ lưỡng xuyên; phiếu kỵ tướng quân mã siêu tịnh đệ mã đại, trợ trấn bắc tướng quân ngụy duyên thủ hán trung, dĩ đương ngụy binh; hổ uy tướng quân triệu vân vi hậu ứng, kiêm đốc lương thảo; hoàng quyền, trình kì vi tham mưu; mã lương, trần chấn chưởng lí văn thư; hoàng trung vi tiền bộ tiên phong; phùng tập, trương nam vi phó tướng; phó đồng, trương dực vi trung quân hộ úy; triệu dung, liêu thuần vi hợp hậu.
川将数百员，并五溪番将等，共兵七十五万，择定章武元年七月丙寅日出师。	Xuyên tương sổ bách viên, tịnh ngũ khê phiên tương đẳng, cộng binh thất thập ngũ vạn, trạch định chương võ nguyên niên thất nguyệt bính dần nhật xuất sư.
却说张飞回到阆中，下令军中；限三日内制办白旗白甲，三军挂孝伐吴。	Khước thuyết trương phi hồi đáo lãng trung, hạ lệnh quân trung; hạn tam nhật nội chế biện bạch kì bạch giáp, tam quân quải hiếu phạt ngô.
次日，帐下两员末将范疆、张达，入帐告曰：“白旗白甲，一时无措，须宽限方可。	Thứ nhật, trướng hạ lưỡng viên mạt tướng phạm cương, trương đạt, nhập trướng cáo viết: "Bạch kì bạch giáp, nhất thời vô lại nghĩ rằng: đời ngôi nhà Hán, là thố, tu khoan hạn phương khả.
飞大怒曰：“吾急欲报仇，恨不明日便到逆贼之境，汝安敢违我将令！	Phi đại nộ viết: "Ngô cấp dục báo cừu, hận bất minh nhật tiện đáo nghịch tặc chi cảnh, nhữ an cảm vi ngã tương lệnh!
”叱武士缚于树上，各鞭背五十。	" Sất võ sĩ phược vu thụ thượng, các tiên bối ngũ thập.
鞭毕，以手指之曰：“来日俱要完备！	Tiên tất, dĩ thủ chỉ chi viết: "Lai nhật câu yếu hoàn bị!
若违了限，即杀汝二人示众！	Nhược vi liễu hạn, tức sát nhữ nhị nhân kì chúng!
”打得二人满口出血。	" Đả đắc nhị nhân mãn khẩu xuất huyết.
回到营中商议，范疆曰：“今日受了刑责，着我等如何办得？	Hồi đáo doanh trung thương nghị, phạm cương viết: "Kim nhật thụ liễu hình trách, trứ ngã đẳng như hà biện đắc?
其人性暴如火，倘来日不完，你我皆被杀矣！	Kì nhân tính bạo như hỏa, thảng lai nhật bất hoàn, nhĩ ngã giai bị sát hĩ!
”张达曰：“比如他杀我，不如我杀他。	" Trương đạt viết: "Bỉ như tha sát ngã, bất như ngã sát tha.
”疆曰：“怎奈不得近前。	" Cương viết: "Chẩm nại bất đắc cận tiền.
”达曰：“我两个若不当死，则他醉于床上；若是当死，则他不醉。	" Đạt viết: "Ngã lưỡng cá nhược bất đương tử, tắc tha túy vu sàng thượng; nhược thị đương tử, tắc tha bất túy.
”二人商议停当。	" Nhị nhân thương nghị đình đương. muốn báo thù, đang tức mình không đến ngay được cõi giặc, chúng bay sao dám trái tướng lệnh của ta?

Paragraph 2
却说张飞在帐中，神思昏乱，动止恍惚，乃问部将曰：“吾今心惊肉颠，坐卧不安，此何意也？	Khước thuyết trương phi tại Khi ấy, Trương Phi ngồi trong trướng trung, thần tư hôn loạn, động chỉ hoảng hốt, nãi vấn bộ tương viết: "Ngô kim tâm kinh nhục điên, tọa ngọa bất an, thử hà ý dã?
”部将答曰：“此是君侯思念关公，以致如此。	" Bộ tương đáp viết: "Thử thị quân hầu tư niệm quan công, dĩ trí như thử.
”飞令人将酒来，与部将同饮，不觉大醉，卧于帐中。	" Phi lệnh nhân tương tửu lai, dữ bộ tương đồng ẩm, bất giác đại túy, ngọa vu trướng trung.
范、张二贼，探知消息，初更时分，各藏短刀，密入帐中，诈言欲禀机密重事，直至床前。	Phạm, trương nhị tặc, tham tri tiêu tức, sơ canh thời phân, các tàng đoản đao, mật nhập trướng trung, trá ngôn dục bẩm cơ mật trọng sự, trực chí sàng tiền.
原来张飞每睡不合眼；当夜寝于帐中，二贼见他须竖目张，本不敢动手。	Nguyên lai trương phi mỗi thụy bất hợp nhãn; đương dạ tẩm vu trướng trung, nhị tặc kiến tha tu thụ mục trương, bổn bất cảm động thủ.
因闻鼻息如雷，方敢近前，以短刀刺入飞腹。	Nhân văn tị tức như lôi, phương cảm cận tiền, dĩ đoản đao thứ nhập phi phúc.
飞大叫一声而亡。	Phi đại khiếu nhất thanh nhi vong.
时年五十五岁。	Thời niên ngũ thập ngũ tuế.
后人有诗叹曰：“安喜曾闻鞭督邮，黄巾扫尽佐炎刘。	Hậu nhân hữu thi thán viết: "An hỉ tằng văn tiên đốc bưu, hoàng cân tảo tẫn tá viêm lưu.
虎牢关上声先震，长坂桥边水逆流。	Hổ lao quan thượng thanh tiên chấn, trường phản kiều biên thủy nghịch lưu.
义释严颜安蜀境，智欺张郃定中州。	Nghĩa thích nghiêm nhan an thục cảnh, trí khi trương cáp định trung châu.
伐吴未克身先死，秋草长遗阆地愁。	Phạt ngô vị khắc thân tiên tử, thu thảo trường di lãng địa sầu.
”却说二贼当夜割了张飞首级，便引数十人连夜投东吴去了。	" Khước thuyết nhị tặc đương dạ cát liễu trương phi thủ cấp, tiện dẫn sổ thập nhân liên dạ đầu đông ngô khứ liễu.
次日，军中闻知，起兵追之不及。	Thứ nhật, quân trung văn tri, khởi binh truy chi bất cập.
时有张飞部将吴班，向自荆州来见先主，先主用为牙门将，使佐张飞守阆中。	Thời hữu trương phi bộ tương ngô ban, hướng tự kinh châu lai kiến tiên chủ, tiên chủ dụng vi nha môn tương, sử tá trương phi thủ lãng trung.
当下吴班先发表章，奏知天子；然后令长子张苞具棺椁盛贮，令弟张绍守阆中，苞自来报先主。	Đương hạ ngô ban tiên phát biểu chương, tấu tri thiên tử; nhiên hậu lệnh trưởng tử trương bao cụ quan quách thịnh trữ, lệnh đệ trương thiệu thủ lãng trung, bao tự lai báo tiên chủ.
时先主已择期出师。	Thời tiên chủ dĩ trạch kì xuất sư.
大小官僚，皆随孔明送十里方回。	Đại tiểu quan liêu, giai tùy khổng minh tống thập lí phương hồi.
孔明回至成都，怏怏不乐，顾谓众官曰：“法孝直若在，必能制主上东行也。”	Khổng minh hồi chí thành đô, ưởng ưởng bất nhạc, cố vị chúng quan viết: "Pháp hiếu trực nhược tại, tất năng chế chủ thượng đông

Paragraph 3
却说先主是夜心惊肉颤，寝卧不安。	Khước thuyết tiên chủ thị dạ tâm kinh nhục chiến, tẩm ngọa bất an.
出帐仰观天文，见西北一星，其大如斗，忽然坠地。	Xuất trướng ngưỡng quan thiên văn, kiến tây bắc nhất tinh, kì đại như đấu, hốt nhiên trụy địa.
先主大疑，连夜令人求问孔明。	Tiên chủ đại nghi, liên dạ lệnh nhân cầu vấn khổng minh.
孔明回奏曰：“合损一上将。	Khổng minh hồi tấu viết: "Hợp tổn nhất thượng tương.
三日之内，必有惊报。	Tam nhật chi nội, tất hữu kinh báo.
”先主因此按兵不动。	" Tiên chủ nhân thử án binh bất động.
忽侍臣奏曰：“阆中张车骑部将吴班，差人赍表至。	Hốt thị thần tấu viết: "Lãng trung trương xa kỵ bộ tương ngô ban, sai nhân tê biểu chí.
”先主顿足曰：“噫！	" Tiên chủ đốn túc viết: "Y!
三弟休矣！	Tam đệ hưu hĩ!
”及至览表，果报张飞凶信。	" Cập chí lãm biểu, quả báo trương phi hung tín.
先主放声大哭，昏绝于地。	Tiên chủ phóng thanh đại khốc, hôn tuyệt vu địa.
众官救醒。	Chúng quan cứu tỉnh.

Paragraph 4
次日，人报一队军马骤风而至。	Thứ nhật, nhân báo nhất đội quân mã sậu phong nhi chí.
先主出营观之。	Tiên chủ xuất doanh quan chi.
良久，见一员小将，白袍银铠，滚鞍下马，伏地而哭，乃张苞也。	Lương cửu, kiến nhất viên tiểu tướng, bạch bào ngân khải, cổn an hạ mã, phục địa nhi khốc, nãi trương bao dã.
苞曰：“范疆、张达杀了臣父，将首级投吴去了！	Bao viết: "Phạm cương, trương đạt sát liễu thần phụ, tương thủ cấp đầu ngô khứ liễu!
”先主哀痛至甚，饮食不进。	" Tiên chủ ai thống chí thậm, ẩm thực bất tiến.
群臣苦谏曰：“陛下方欲为二弟报仇，何可先自摧残龙体？	Quần thần khổ gián viết: "Bệ hạ phương dục vi nhị đệ báo cừu, hà khả tiên tự tồi tàn long thể?
”先主方才进膳，遂谓张苞曰：“卿与吴班，敢引本部军作先锋，为卿父报仇否？	" Tiên chủ phương tài tiến thiện, toại vị trương bao viết: "Khanh dữ ngô ban, cảm dẫn bổn bộ quân tác tiên phong, vi khanh phụ báo cừu phủ?
”苞曰：“为国为父，万死不辞！	" Bao viết: "Vi quốc vi phụ, vạn tử bất từ!
”先主正欲遣苞起兵，又报一彪军风拥而至。	" Tiên chủ chánh dục khiển bao khởi binh, hựu báo nhất bưu quân phong ủng nhi chí.
先主令侍臣探之。	Tiên chủ lệnh thị thần tham chi.
须臾，侍臣引一小将军，白袍银铠，入营伏地而哭。	Tu du, thị thần dẫn nhất tiểu tướng quân, bạch bào ngân khải, nhập doanh phục địa nhi khốc.
先主视之，乃关兴也。	Tiên chủ thị chi, nãi quan hưng dã.
先主见了关兴，想起关公，又放声大哭。	Tiên chủ kiến liễu quan hưng, tưởng khởi quan công, hựu phóng thanh đại khốc.
众官苦劝。	Chúng quan khổ khuyến.
先主曰：“朕想布衣时，与关、张结义，誓同生死；今朕为天子，正欲与两弟同享富贵，不幸俱死于非命！	Tiên chủ viết: "Trẫm tưởng bố y thời, dữ quan, trương kết nghĩa, thệ tử, chánh dục dữ lưỡng đệ đồng hưởng phú quý, bất hạnh câu tử vu phi mệnh!
见此二侄，能不断肠！	Kiến thử nhị chất, năng bất đoạn tràng!
”言讫又哭。	" Ngôn cật hựu khốc.
众官曰：“二小将军且退。	Chúng quan viết: "Nhị tiểu tướng quân thả thối.
容圣上将息龙体。	Dung thánh thượng tương tức long thể.
”侍臣奏曰：“陛下年过六旬，不宜过于哀痛。	" Thị thần tấu viết: "Bệ hạ niên quá lục tuần, bất nghi quá vu ai thống.
”先主曰：“二弟俱亡，朕安忍独生！	" Tiên chủ viết: "Nhị đệ câu vong, trẫm an nhẫn độc sinh!
”言讫，以头顿地而哭。	" Ngôn cật, dĩ đầu đốn địa nhi khốc. chết không được toàn mạng, nay trông thấy hai cháu ở đây, ai chẳng

Paragraph 5
多官商议曰：“今天子如此烦恼，将何解劝？	Đa quan thương nghị viết: "Kim thiên tử như thử phiền não, tương hà giải khuyến?
”马良曰：“主上亲统大兵伐吴，终日号泣，于军不利。	" Mã lương viết: "Chủ thượng thân thống đại binh phạt ngô, chung nhật hào khấp, vu quân bất lợi.
”陈震曰：“吾闻成都青城山之西，有一隐者，姓李，名意。	" Trần chấn viết: "Ngô văn thành đô thanh thành sơn chi tây, hữu nhất ẩn giả, tính lý, danh ý.
世人传说此老已三百余岁，能知人之生死吉凶，乃当世之神仙也。	Thế nhân truyền thuyết thử lão dĩ tam bách dư tuế, năng tri nhân chi sinh tử cát hung, nãi đương thế chi thần tiên dã.
何不奏知天子，召此老来，问他吉凶，胜如吾等之言。	Hà bất tấu tri thiên tử, triệu thử lão lai, vấn tha cát hung, thắng như ngô đẳng chi ngôn.
”遂入奏先主。	" Toại nhập tấu tiên chủ.
先主从之，即遣陈震赍诏，往青城山宣召。	Tiên chủ tòng chi, tức khiển trần chấn tê chiếu, vãng thanh thành sơn tuyên triệu.
震星夜到了青城，令乡人引入出谷深处，遥望仙庄，清云隐隐，瑞气非凡。	Chấn tinh dạ đáo liễu thanh thành, lệnh hương nhân dẫn nhập xuất cốc thâm xứ, diêu ẩn, thụy khí phi phàm.
忽见一小童来迎曰：“来者莫非陈孝起乎？	Hốt kiến nhất tiểu đồng lai nghênh viết: "Lai giả mạc phi trần hiếu khởi hồ?
”震大惊曰：“仙童如何知我姓字！	" Chấn đại kinh viết: "Tiên đồng như hà tri ngã tính tự!
”童子曰：“吾师昨者有言：今日必有皇帝诏命至；使者必是陈孝起。	" Đồng tử viết: "Ngô sư tạc giả hữu ngôn: kim nhật tất hữu hoàng đế chiếu mệnh chí; sứ giả tất thị trần hiếu khởi.
”震曰：“真神仙也！	"Chấn viết: "Chân thần tiên dã!
人言信不诬矣！	Nhân ngôn tín bất vu hĩ!
”遂与小童同入仙庄，拜见李意，宣天子诏命。	" Toại dữ tiểu đồng đồng nhập tiên trang, bái kiến lý ý, tuyên thiên tử chiếu mệnh.
李意推老不行。	Lý ý thôi lão bất hành.
震曰：“天子急欲见仙翁一面，幸勿吝鹤驾。	Chấn viết: "Thiên tử cấp dục kiến tiên ông nhất diện, hạnh vật lận hạc giá.
”再三敦请，李意方行。	" Tái tam đôn thỉnh, lý ý phương hành.
即至御营，入见先主。	Tức chí ngự doanh, nhập kiến tiên chủ.
先主见李意鹤发童颜，碧眼方瞳，灼灼有光，身如古柏之状，知是异人，优礼相待。	Tiên chủ kiến lý ý hạc phát đồng nhan, bích nhãn phương đồng, chước chước hữu quang, thân như cổ bách chi trạng, tri thị dị nhân, ưu lễ tương đãi.
李意曰：“老夫乃荒山村叟，无学无识。	Lý ý viết: "Lão phu nãi hoang sơn thôn tẩu, vô học vô thức.
辱陛下宣召，不知有何见谕？	Nhục bệ hạ tuyên triệu, bất tri hữu hà kiến dụ?
”先主曰：“朕与关、张二弟生死之交，三十余年矣。	" Tiên chủ viết: "Trẫm dữ quan, trương nhị đệ sinh tử chi giao, tam thập dư niên hĩ.
今二弟被害，亲统大军报仇，未知休咎如何。	Kim nhị đệ bị hại, thân thống đại quân báo cừu, vị tri hưu cữu như hà.
久闻仙翁通晓玄机，望乞赐教。	Cửu văn tiên ông thông hiểu huyền cơ, vọng khất tứ giáo.
”李意曰：“此乃天数，非老夫所知也。	" Lý ý viết: "Thử nãi thiên sổ, phi lão phu sở tri dã.
又画一大人仰卧于地上，傍边一人掘土埋之，上写一大“白”字，遂稽首而去。	" đại nhân ngưỡng ngọa vu địa thượng, bàng biên nhất nhân quật thổ mai chi, thượng tả nhất đại "Bạch" tự, toại kê thủ nhi khứ.
先主不悦，谓群臣曰：“此狂叟也！	Tiên chủ bất duyệt, vị quần thần viết: "Thử cuồng tẩu dã!
不足为信。	Bất túc vi tín.
”即以火焚之，便催军前进。	" Tức dĩ hỏa phần chi, tiện thôi quân tiền tiến. hay lắm.

Paragraph 6
张苞入奏曰：“吴班军马已至。	Trương bao nhập tấu viết: "Ngô ban quân mã dĩ chí.
小臣乞为先锋。	Tiểu thần khất vi tiên phong.
”先主壮其志，即取先锋印赐张苞。	" Tiên chủ tráng kì chí, tức thủ tiên phong ấn tứ trương bao.
苞方欲挂印，又一少年将奋然出曰：“留下印与我！	Bao phương dục quải ấn, hựu nhất thiếu niên tương phấn nhiên xuất viết: "Lưu hạ ấn dữ ngã!
”视之，乃关兴也。	" Thị chi, nãi quan hưng dã.
苞曰：“我已奉诏矣。	Bao viết: "Ngã dĩ phụng chiếu hĩ.
”兴曰：“汝有何能，敢当此任？	" Hưng viết: "Nhữ hữu hà năng, cảm đương thử nhâm?
”苞曰：“我自幼习学武艺，箭无虚发。	" Bao viết: "Ngã tự ấu tập học võ nghệ, tiễn vô hư phát.
”先主曰：“朕正要观贤侄武艺，以定优劣。	" Tiên chủ viết: "Trẫm chánh yếu quan hiền chất võ nghệ, dĩ định ưu liệt.
”苞令军士于百步之外，立一面旗，旗上画一红心。	" Bao lệnh quân sĩ vu bách bộ chi ngoại, lập nhất diện kì, kì thượng họa nhất hồng tâm.
苞拈弓取箭，连射三箭，皆中红心。	Bao niêm cung thủ tiễn, liên xạ tam tiễn, giai trung hồng tâm. trúng hồng tâm hà túc vi kì?
”正言间，忽值头上一行雁过。	" Chánh ngôn gian, hốt trị đầu thượng nhất hành nhạn quá.
兴指曰：“吾射这飞雁第三只。	Hưng chỉ viết: "Ngô xạ giá phi nhạn đệ tam chỉ.
”一箭射去，那只雁应弦而落。	" Nhất tiễn xạ khứ, na chỉ nhạn ứng huyền nhi lạc.
文武官僚，齐声喝采。	Văn võ quan liêu, tề thanh hát thải.
苞大怒，飞身上马，手挺父所使丈八点钢矛，大叫曰：“你敢与我比试武艺否？	Bao đại nộ, phi thân thượng mã, thủ đĩnh phụ sở sử trượng bát điểm cương mâu, đại khiếu viết: "Nhĩ cảm dữ ngã bỉ thí võ nghệ phủ?
”兴亦上马，绰家传大砍刀纵马而出曰：“偏你能使矛！	" Hưng diệc thượng mã, xước gia truyền đại khảm đao túng mã nhi xuất viết: "Thiên nhĩ năng sử mâu!
吾岂不能使刀！	Ngô khởi bất năng sử đao!
”	Hưng

Paragraph 7
二将方欲交锋，先主喝曰：“二子休得无礼！	Nhị tương phương dục giao phong, tiên chủ hát viết: "Nhị tử hưu đắc vô lễ!
”兴、苞二人慌忙下马，各弃兵器，拜伏请罪。	" Hưng, bao nhị nhân hoảng mang hạ mã, các khí binh khí, bái phục thỉnh tội.
先主曰：“朕自涿郡与卿等之父结异姓之交，亲如骨肉；今汝二人亦是昆仲之分，正当同心协力，共报父仇；奈何自相争竞，失其大义！	Tiên chủ viết: "Trẫm tự trác quận dữ khanh đẳng chi phụ kết dị tính chi giao, thân như cốt nhục; kim nhữ nhị nhân diệc thị côn trọng chi phân, chánh đương đồng tâm hiệp lực, cộng báo phụ cừu; nại hà tự tương tranh cạnh, thất kì đại nghĩa!
父丧未远而犹如此，况日后乎？	Phụ tang vị viễn nhi do như thử, huống nhật hậu hồ?
”二人再拜伏罪。	" Nhị nhân tái bái phục tội.
先主问曰：“卿二人谁年长？	Tiên chủ vấn viết: "Khanh nhị nhân thùy niên trường?
”先主即命兴拜苞为兄。	" Bao viết: "Thần tiên chủ tức mệnh hưng bái bao vi huynh.
二人就帐前折箭为誓，永相救护。	Nhị nhân tựu trướng tiền chiết tiễn vi thệ, vĩnh tương cứu hộ.
先主下诏使吴班为先锋，令张苞、关兴护驾。	Tiên chủ hạ chiếu sử ngô ban vi tiên phong, lệnh trương bao, quan hưng hộ giá.
