Paragraph 0
第一回宴桃园豪杰三结义斩黄巾英雄首立功	Đệ nhất hồi yến đào viên hào kiệt tam kết nghĩa trảm hoàng cân anh hùng thủ lập công
”遂一面私造黄旗，约期举事；一面使弟子唐周，驰书报封谞。	" Toại nhất diện tư tạo hoàng kì, ước kì cử sự; nhất diện sử đệ tử đường chu, trì thư báo phong tư.
唐周乃径赴省中告变。	Đường chu nãi kính phó tỉnh trung cáo biến.
帝召大将军何进调兵擒马元义，斩之；次收封谞等一干人下狱。	Đế triệu đại tướng quân hà tiến điều binh can nhân hạ ngục.
张角闻知事露，星夜举兵，自称“天公将军”，张宝称“地公将军”，张梁称“人公将军”。	Trương giác văn tri sự lộ, tinh dạ cử binh, tự xưng "Thiên công tướng quân", trương bảo xưng "Địa công tướng quân", trương lương xưng "Nhân công tướng quân".
申言于众曰：“今汉运将终，大圣人出。	Thân ngôn vu chúng viết: "Kim hán vận tương chung, đại thánh nhân xuất.
汝等皆宜顺天从正，以乐太平。	Nhữ đẳng giai nghi thuận thiên tòng chánh, dĩ nhạc thái bình.
”四方百姓，裹黄巾从张角反者四五十万。	" Tứ phương bách tính, khỏa hoàng cân tòng trương giác phản giả tứ ngũ thập vạn.
贼势浩大，官军望风而靡。	Tặc thế hạo đại, quan quân vọng phong nhi mĩ.
何进奏帝火速降诏，令各处备御，讨贼立功。	Hà tiến tấu đế hỏa tốc hàng chiếu, lệnh các xử bị ngự, thảo tặc lập công.
一面遣中郎将卢植、皇甫嵩、朱儁，各引精兵、分三路讨之。	Nhất diện khiển trung lang tương lô thực, hoàng phủ tung, chu tuấn, các dẫn tinh binh, phân tam lộ thảo chi.

Paragraph 5
且说张角一军，前犯幽州界分。	Thả thuyết trương giác nhất quân, tiền phạm u châu giới phân.
幽州太守刘焉，乃江夏竟陵人氏，汉鲁恭王之后也。	U châu thái thủ lưu yên, nãi giang hạ cánh lăng nhân thị, hán lỗ cung vương chi hậu dã.
当时闻得贼兵将至，召校尉邹靖计议。	Đương thời văn đắc tặc binh tương chí, triệu giáo úy trâu tĩnh kế nghị.
靖曰：“贼兵众，我兵寡，明公宜作速招军应敌。	Tĩnh viết: "Tặc binh chúng, ngã binh quả, minh công nghi tác tốc chiêu quân ứng địch.
”刘焉然其说，随即出榜招募义兵。	" Lưu yên nhiên kì thuyết, tùy tức xuất bảng chiêu mộ nghĩa binh.

Paragraph 6
榜文行到涿县，引出涿县中一个英雄。	Bảng văn hành đáo trác huyền, dẫn xuất trác huyền trung nhất cá anh hùng.
那人不甚好读书；性宽和，寡言语，喜怒不形于色；素有大志，专好结交天下豪杰；生得身长七尺五寸，两耳垂肩，双手过膝，目能自顾其耳，面如冠玉，唇若涂脂；中山靖王刘胜之后，汉景帝阁下玄孙，姓刘名备，字玄德。	Na nhân bất thậm hảo độc thư; tính khoan hòa, quả ngôn ngữ, hỉ nộ bất hình vu sắc; tố hữu đại chí, chuyên hảo kết giao thiên hạ hào kiệt; sinh đắc thân trường thất xích ngũ thốn, lưỡng nhĩ thùy kiên, song thủ quá tất, mục năng tự cố kì nhĩ, diện như quan ngọc, thần nhược đồ chi; trung sơn tĩnh vương lưu thắng chi hậu, hán cảnh đế các hạ huyền tôn, tính lưu danh bị, tự huyền đức.
昔刘胜之子刘贞，汉武时封涿鹿亭侯，后坐酎金失侯，因此遗这一枝在涿县。	Tích lưu thắng chi tử lưu trinh, hán võ thời phong trác lộc đình hầu, hậu tọa trữu kim thất hầu, nhân thử di giá nhất chi tại trác huyền.
玄德祖刘雄，父刘弘。	Huyền đức tổ lưu hùng, phụ lưu hoằng.
弘曾举孝廉，亦尝作吏，早丧。	Hoằng tằng cử hiếu liêm, diệc thường tác lại, tảo tang.
玄德幼孤，事母至孝；家贫，贩屦织席为业。	Huyền đức ấu cô, sự mẫu chí hiếu; gia bần, phiến lũ chức tịch vi nghiệp.
家住本县楼桑村。	Gia trụ bổn huyền lâu tang thôn.
其家之东南，有一大桑树，高五丈余，遥望之，童童如车盖。	Kì gia chi đông nam, hữu nhất đại tang thụ, cao ngũ trượng dư, diêu vọng chi, đồng đồng như xa cái.
相者云：“此家必出贵人。	Tương giả vân: "Thử gia tất xuất quý nhân.
”玄德幼时，与乡中小儿戏于树下，曰：“我为天子，当乘此车盖。	" Huyền đức ấu thời, dữ hương trung tiểu nhi hí vu thụ hạ, viết: "Ngã vi thiên tử, đương thừa thử xa cái.
”叔父刘元起奇其言，曰：“此儿非常人也！	" Thúc phụ lưu nguyên khởi kì kì ngôn, viết: "Thử nhi phi thường nhân dã!
”因见玄德家贫，常资给之。	" Nhân kiến huyền đức gia bần, thường tư cấp chi.
年十五岁，母使游学，尝师事郑玄、卢植，与公孙瓒等为友。	Niên thực, dữ công tôn toản đẳng vi hữu. thay đổi theo triều đại. Huyền Đức, năm mười tám tuổi, mẹ cho đi học,

Paragraph 7
及刘焉发榜招军时，玄德年已二十八岁矣。	Cập lưu yên phát bảng chiêu quân thời, huyền đức niên dĩ nhị thập bát tuế hĩ.
当日见了榜文，慨然长叹。	Đương nhật kiến liễu bảng văn, khái nhiên trường thán.
随后一人厉声言曰：“大丈夫不与国家出力，何故长叹？	Tùy hậu nhất nhân lệ thanh ngôn viết: "Đại trượng phu bất dữ quốc gia xuất lực, hà cố trường thán?
”玄德回视其人，身长八尺，豹头环眼，燕颔虎须，声若巨雷，势如奔马。	" Huyền đức hồi thị kì nhân, thân trường bát xích, báo đầu hoàn nhãn, yến hạm hổ tu, thanh nhược cự lôi, thế như bôn mã.
玄德见他形貌异常，问其姓名。	Huyền đức kiến tha hình mạo dị thường, vấn kì tính danh.
其人曰：“某姓张名飞，字翼德。	Kì nhân viết: "Mỗ tính trương danh phi, tự dực đức.
世居涿郡，颇有庄田，卖酒屠猪，专好结交天下豪杰。	Thế cư trác quận, pha hữu trang điền, mại tửu đồ trư, chuyên hảo kết giao thiên hạ hào kiệt.
恰才见公看榜而叹，故此相问。	Kháp tài kiến công khán bảng nhi thán, cố thử tương vấn.
”玄德曰：“我本汉室宗亲，姓刘，名备。	" Huyền đức viết: "Ngã bổn hán thất tông thân, tính lưu, danh bị.
今闻黄巾倡乱，有志欲破贼安民，恨力不能，故长叹耳。	Kim văn hoàng cân xướng loạn, hữu chí dục phá tặc an dân, hận lực bất năng, cố trường thán nhĩ.
”飞曰：“吾颇有资财，当招募乡勇，与公同举大事，如何。	" Phi viết: "Ngô pha hữu tư tài, đương chiêu mộ hương dũng, dữ công đồng cử đại sự, như hà.
”玄德甚喜，遂与同入村店中饮酒。	" Huyền đức thậm hỉ, toại dữ đồng nhập thôn điếm trung ẩm tửu.

Paragraph 8
正饮间，见一大汉，推着一辆车子，到店门首歇了，入店坐下，便唤酒保：“快斟酒来吃，我待赶入城去投军。	Chánh ẩm gian, kiến nhất đại hán, thôi trứ nhất lượng xa tử, đáo điếm môn thủ hiết liễu, nhập điếm tọa hạ, tiện hoán tửu bảo: "Khoái châm tửu lai cật, ngã đãi cản nhập thành khứ đầu quân.
”玄德看其人：身长九尺，髯长二尺；面如重枣，唇若涂脂；丹凤眼，卧蚕眉，相貌堂堂，威风凛凛。	" Huyền đức khán kì nhân: thân trường cửu xích, nhiêm trường nhị xích; diện như trọng tảo, thần nhược đồ chi; đan phượng nhãn, ngọa tàm mi, tướng mạo đường đường, uy phong lẫm lẫm.
玄德就邀他同坐，叩其姓名。	Huyền đức tựu yêu tha đồng tọa, khấu kì tính danh.
其人曰：“吾姓关名羽，字长生，后改云长，河东解良人也。	Kì nhân viết: "Ngô tính quan danh vũ, tự trường sinh, hậu cải vân trường, hà đông giải lương nhân dã.
因本处势豪倚势凌人，被吾杀了，逃难江湖，五六年矣。	Nhân bổn xử thế hào ỷ thế lăng nhân, bị ngô sát liễu, đào nan giang hồ, ngũ lục niên hĩ.
今闻此处招军破贼，特来应募。	Kim văn thử xử chiêu quân phá tặc, đặc lai ứng mộ.
”玄德遂以己志告之，云长大喜。	" Huyền đức toại dĩ kỷ chí cáo chi, vân trường đại hỉ.
同到张飞庄上，共议大事。	Đồng đáo trương phi trang thượng, cộng nghị đại sự.
飞曰：“吾庄后有一桃园，花开正盛；明日当于园中祭告天地，我三人结为兄弟，协力同心，然后可图大事。	Phi viết: "Ngô trang hậu hữu nhất đào viên, hoa khai chánh thịnh; minh nhật đương vu viên trung tế cáo thiên địa, ngã tam nhân kết vi huynh đệ, hiệp lực đồng tâm, nhiên hậu khả đồ đại sự.
”玄德、云长齐声应曰：“如此甚好。	" Huyền đức, vân trường tề thanh ứng viết: "Như thử thậm hảo.
”	"

Paragraph 9
乌牛白马祭礼等项，三人焚香再拜而说誓曰：“念刘备、关羽、张飞，虽然异姓，既结为兄弟，则同心协力，救困扶危；上报国家，下安黎庶。	hạ ô ngưu bạch mã tế lễ đẳng hạng, tam nhân phần hương tái bái nhi thuyết thệ viết: "Niệm lưu bị, quan vũ, trương phi, tuy nhiên dị tính, kí kết vi huynh đệ, tắc đồng tâm hiệp lực, cứu khốn phù nguy; thượng báo quốc gia, hạ an lê thứ.
不求同年同月同日生，只愿同年同月同日死。	Bất cầu đồng niên đồng nguyệt đồng nhật sinh, chỉ nguyện đồng niên đồng nguyệt đồng nhật tử.
皇天后土，实鉴此心，背义忘恩，天人共戮！	Hoàng thiên hậu thổ, thật giám thử tâm, bối nghĩa vong ân, thiên nhân cộng lục!
”誓毕，拜玄德为兄，关羽次之，张飞为弟。	" Thệ tất, bái huyền đức vi huynh, quan vũ thứ chi, trương phi vi đệ.
祭罢天地，复宰牛设酒，聚乡中勇士，得三百余人，就桃园中痛饮一醉。	Tế bãi thiên địa, phục tể ngưu thiết tửu, tụ hương trung dũng sĩ, đắc tam bách dư nhân, tựu đào viên trung thống ẩm nhất túy.
来日收拾军器，但恨无马匹可乘。	Lai nhật thu thập quân khí, đãn hận vô mã thất khả thừa.
正思虑间，人报有两个客人，引一伙伴当，赶一群马，投庄上来。	Chánh tư lự gian, nhân báo hữu lưỡng cá khách nhân, dẫn nhất hỏa bạn đương, cản nhất quần mã, đầu trang thượng lai.
玄德曰：“此天佑我也！	Huyền đức viết: "Thử thiên hữu ngã dã!
”三人出庄迎接。	" Tam nhân xuất trang nghênh tiếp.
原来二客乃中山大商：一名张世平，一名苏双，每年往北贩马，近因寇发而回。	Nguyên lai nhị khách nãi trung sơn đại thương: nhất danh trương thế bình, nhất danh tô song, mỗi niên vãng bắc phiến mã, cận nhân khấu phát nhi hồi.
玄德请二人到庄，置酒管待，诉说欲讨贼安民之意。	Huyền đức thỉnh nhị nhân đáo trang, trí tửu quản đãi, tố thuyết dục thảo tặc an dân chi ý.
二客大喜，愿将良马五十匹相送；又赠金银五百两，镔铁一千斤，以资器用。	Nhị khách đại hỉ, nguyện tương lương mã ngũ thập thất tương tống; hựu tặng kim ngân ngũ bách lưỡng, tấn thiết nhất thiên cân, dĩ tư khí dụng.

Paragraph 10
玄德谢别二客，便命良匠打造双股剑。	Huyền đức tạ biệt nhị khách, tiện mệnh lương tượng đả tạo song cổ kiếm.
云长造青龙偃月刀，又名“冷艳锯”，重八十二斤。	Vân trường tạo thanh long yển nguyệt đao, hựu danh "Lãnh diễm cứ", trọng bát thập nhị cân.
张飞造丈八点钢矛。	Trương phi tạo trượng bát điểm cương mâu.
各置全身铠甲。	Các trí toàn thân khải giáp.
共聚乡勇五百余人，来见邹靖。	Cộng tụ hương dũng ngũ bách dư nhân, lai kiến trâu tĩnh.
邹靖引见太守刘焉。	Trâu tĩnh dẫn kiến thái thủ lưu yên.
三人参见毕，各通姓名。	Tam nhân tham kiến tất, các thông tính danh.
玄德说起宗派，刘焉大喜，遂认玄德为侄。	Huyền đức thuyết khởi tông phái, lưu yên đại hỉ, toại nhận huyền đức vi chất.
不数日，人报黄巾贼将程远志统兵五万来犯涿郡。	Bất sổ nhật, nhân báo hoàng cân tặc tương trình viễn chí thống binh ngũ vạn lai phạm trác quận.
刘焉令邹靖引玄德等三人，统兵五百，前去破敌。	Lưu yên lệnh trâu tĩnh dẫn huyền đức đẳng tam nhân, thống binh ngũ bách, tiền khứ phá địch.
玄德等欣然领军前进，直至大兴山下，与贼相见。	Huyền đức đẳng hân nhiên lĩnh quân tiền tiến, trực chí đại hưng sơn hạ, dữ tặc tương kiến.
贼众皆披发，以黄巾抹额。	Tặc chúng giai phi phát, dĩ hoàng cân mạt ngạch.
当下两军相对，玄德出马，左有云长，右有翼德，扬鞭大骂：“反国逆贼，何不早降！	Đương hạ lưỡng quân tương đối, huyền đức xuất mã, tả hữu vân trường, hữu hữu dực đức, dương tiên đại mạ: "Phản quốc nghịch tặc, hà bất tảo hàng!
”程远志大怒，遣副将邓茂出战。	" Trình viễn chí đại nộ, khiển phó tướng đặng mậu xuất chiến.
张飞挺丈八蛇矛直出，手起处，刺中邓茂心窝，翻身落马。	Trương phi đĩnh trượng bát xà mâu trực xuất, thủ khởi xử, thứ trung đặng Huyền Đức cảm tạ hai người khách và tiễn lên đường, rồi sai gọi thợ đến mậu tâm oa, phiên thân lạc mã.
程远志见折了邓茂，拍马舞刀，直取张飞。	Trình viễn chí kiến chiết liễu đặng mậu, phách mã vũ đao, trực thủ trương phi.
云长舞动大刀，纵马飞迎。	Vân trường vũ động đại đao, túng mã phi nghênh.
程远志见了，早吃一惊，措手不及，被云长刀起处，挥为两段。	Trình viễn chí kiến liễu, tảo cật nhất kinh, thố thủ bất cập, bị vân trường đao khởi xử, huy vi lưỡng đoạn.
后人有诗赞二人曰：英雄露颖在今朝，一试矛兮一试刀。	Hậu nhân hữu thi tán nhị nhân viết: anh hùng lộ dĩnh tại kim triều, nhất thí mâu hề nhất thí đao.
初出便将威力展，三分好把姓名标。	Sơ

Paragraph 11
众贼见程远志被斩，皆倒戈而走。	Chúng tặc kiến trình viễn chí bị trảm, giai đảo qua nhi tẩu.
玄德挥军追赶，投降者不计其数，大胜而回。	Huyền đức huy quân truy cản, đầu hàng giả bất kế kì sổ, đại thắng nhi hồi.
刘焉亲自迎接，赏劳军士。	Lưu yên thân tự nghênh tiếp, thưởng lao quân sĩ.
次日，接得青州太守龚景牒文，言黄巾贼围城将陷，乞赐救援。	Thứ nhật, tiếp đắc thanh châu thái thủ cung cảnh điệp văn, ngôn hoàng cân tặc vi thành tương hãm, khất tứ cứu viên.
刘焉与玄德商议。	Lưu yên dữ huyền đức thương nghị.
玄德曰：“备愿往救之。	Huyền đức viết: "Bị nguyện vãng cứu chi.
”刘焉令邹靖将兵五千，同玄德、关、张，投青州来。	" Lưu yên lệnh trâu tĩnh tương binh ngũ thiên, đồng huyền đức, quan, trương, đầu thanh châu lai.
贼众见救军至，分兵混战。	Tặc chúng kiến cứu quân chí, phân binh hỗn chiến.
玄德兵寡不胜，退三十里下寨。	Huyền đức binh quả bất thắng, thối tam thập lí hạ trại.

Paragraph 12
玄德谓关、张曰：“贼众我寡；必出奇兵，方可取胜。	Huyền đức vị quan, trương viết: "Tặc chúng ngã quả; tất xuất kì - Giặc nhiều, ta ít, tất phải dùng kỳ binh, phương khả thủ thắng.
”乃分关公引一千军伏山左，张飞引一千军伏山右，鸣金为号，齐出接应。	" Nãi phân quan công dẫn nhất thiên quân phục sơn tả, trương phi dẫn nhất thiên quân phục sơn hữu, minh kim vi hào, tề xuất tiếp ứng.
次日，玄德与邹靖引军鼓噪而进。	Thứ nhật, huyền đức dữ trâu tĩnh dẫn quân cổ táo nhi tiến.
贼众迎战，玄德引军便退。	Tặc chúng nghênh chiến, huyền đức dẫn quân tiện thối.
贼众乘势追赶，方过山岭，玄德军中一齐鸣金，左右两军齐出，玄德摩军回身复杀。	Tặc chúng thừa thế truy cản, phương quá sơn lĩnh, huyền đức quân trung nhất tề minh kim, tả hữu lưỡng quân tề xuất, huyền đức ma quân hồi thân phục sát.
三路夹攻，贼众大溃。	Tam lộ giáp công, tặc chúng đại hội.
直赶至青州城下，太守龚景亦率民兵出城助战。	Trực cản chí thanh châu thành hạ, thái thủ cung cảnh diệc suất dân binh xuất thành trợ chiến.
贼势大败，剿戮极多，遂解青州之围。	Tặc thế đại bại, tiễu lục cực đa, toại giải thanh châu chi vi.
后人有诗赞玄德曰：运筹决算有神功，二虎还须逊一龙。	Hậu nhân hữu thi tán huyền đức viết: vận trù quyết toán hữu thần công, nhị hổ hoàn tu tốn nhất long.
初出便能垂伟绩，自应分鼎在孤穷。	Sơ xuất tiện năng thùy vĩ tích, tự ứng phân đỉnh

Paragraph 13
龚景犒军毕，邹靖欲回。	Cung cảnh khao quân tất, trâu tĩnh dục hồi.
玄德曰：“近闻中郎将卢植与贼首张角战于广宗，备昔曾师事卢植，欲往助之。	Huyền đức viết: "Cận văn trung lang tương lô thực dữ tặc thủ trương giác chiến vu quảng tông, bị tích tằng sư sự lô thực, dục vãng trợ chi.
”于是邹靖引军自回，玄德与关、张引本部五百人投广宗来。	" Vu thị trâu tĩnh dẫn quân tự hồi, huyền đức dữ quan, trương dẫn bổn bộ ngũ bách nhân đầu quảng tông lai.
至卢植军中，入帐施礼，具道来意。	Chí lô thực quân trung, nhập trướng thi lễ, cụ đạo lai ý.
卢植大喜，留在帐前听调。	Lô thực đại hỉ, lưu tại trướng tiền thính điều.

Paragraph 14
时张角贼众十五万，植兵五万，相拒于广宗，未见胜负。	Thời trương giác tặc chúng thập ngũ vạn, thực binh ngũ vạn, tương cự vu quảng tông, vị kiến thắng phụ.
植谓玄德曰：“我今围贼在此，贼弟张梁、张宝在颍川，与皇甫嵩、朱儁对垒。	Thực vị huyền đức viết: "Ngã kim vi tặc tại thử, tặc đệ trương lương, trương bảo tại toánh xuyên, dữ hoàng phủ tung, chu tuấn đối lũy.
汝可引本部人马，我更助汝一千官军，前去颍川打探消息，约期剿捕。	Nhữ khả dẫn bổn bộ nhân mã, ngã canh trợ nhữ nhất thiên quan quân, tiền khứ toánh xuyên đả tham tiêu tức, ước kì tiễu bộ.
”玄德领命，引军星夜投颍川来。	" Huyền đức lĩnh mệnh, dẫn quân tinh dạ đầu toánh xuyên lai.

Paragraph 15
时皇甫嵩、朱儁领军拒贼，贼战不利，退入长社，依草结营。	Thời hoàng phủ tung, chu tuấn lĩnh quân cự tặc, tặc chiến bất lợi, thối nhập trường xã, y thảo kết doanh.
嵩与儁计曰：“贼依草结营，当用火攻之。	Tung dữ tuấn kế viết: "Tặc y thảo kết doanh, đương dụng hỏa công chi.
