Paragraph 0
第四十一回刘玄德携民渡江赵子龙单骑救主	Đệ tứ thập nhất hồi lưu huyền đức huề dân độ giang triệu tử long đan kỵ cứu chủ
”刘琮闻玄德至，惧而不出。	" Lưu tông văn huyền đức chí, cụ nhi bất xuất.
蔡瑁、张允径来敌楼上，叱军士乱箭射下。	Thái mạo, trương duẫn kính lai địch lâu thượng, sất quân sĩ loạn tiễn xạ hạ.
城外百姓，皆望敌楼而哭。	Thành ngoại bách tính, giai vọng địch lâu nhi khốc.
城中忽有一将，引数百人径上城楼，大喝：“蔡瑁、张允卖国之贼！	Thành trung hốt hữu nhất tương, dẫn sổ bách nhân kính thượng thành lâu, đại hát: "Thái mạo, trương duẫn mại quốc chi tặc!
刘使君乃仁德之人，今为救民而来投，何得相拒！	Lưu sử quân nãi nhân đức chi nhân, kim vi cứu dân nhi lai đầu, hà đắc tương cự!
”众视其人，身长八尺，面如重枣；乃义阳人也，姓魏，名延，字文长。	" Chúng thị kì nhân, thân trường bát xích, diện như trọng tảo; nãi nghĩa dương nhân dã, tính ngụy, danh duyên, tự văn trường.
当下魏延轮刀砍死守门将士，开了城门，放下吊桥，大叫：“刘皇叔快领兵入城，共杀卖国之贼！	Đương hạ ngụy duyên luân đao khảm tử thủ môn tướng sĩ, khai liễu thành môn, phóng hạ điếu kiều, đại khiếu: "Lưu hoàng thúc khoái lĩnh binh nhập thành, cộng sát mại quốc chi tặc!
”张飞便跃马欲入，玄德急止之曰：“休惊百姓！	" Trương phi tiện dược mã dục nhập, huyền đức cấp chỉ chi viết: "Hưu kinh bách tính!
”魏延只管招呼玄德军马入城。	" Ngụy duyên chỉ quản chiêu hô huyền đức quân mã nhập thành.
只见城内一将飞马引军而出，大喝：“魏延无名小卒，安敢造乱！	Chỉ kiến thành nội nhất tương phi mã dẫn quân nhi xuất, đại hát: "Ngụy duyên vô danh tiểu tốt, an cảm tạo loạn!
认得我大将文聘么！	Nhận đắc ngã đại tướng văn sính yêu!
”魏延大怒，挺枪跃马，便来交战。	" Ngụy duyên đại nộ, đĩnh thương dược mã, tiện lai giao chiến.
两下军兵在城边混杀，喊声大震。	Lưỡng hạ quân binh tại thành biên hỗn sát, hảm thanh đại chấn.
玄德曰：“本欲保民，反害民也！	Huyền đức viết: "Bổn dục bảo dân, phản hại dân dã!
吾不愿入襄阳！	Ngô bất nguyện nhập tương dương!
”孔明曰：“江陵乃荆州要地，不如先取江陵为家。	" Khổng minh viết: "Giang lăng nãi kinh châu yếu địa, bất như tiên thủ giang lăng vi gia.
”玄德曰：“正合吾心。	" Huyền đức viết: "Chánh hợp ngô tâm.
”于是引着百姓，尽离襄阳大路，望江陵而走。	" Vu thị dẫn trứ bách tính, tẫn li tương dương đại lộ, vọng giang lăng nhi tẩu.
襄阳城中百姓，多有乘乱逃出城来，跟玄德而去。	Tương dương thành trung bách tính, đa hữu thừa loạn đào xuất thành lai, cân huyền đức nhi khứ.
魏延与文聘交战，从已至未，手下兵卒皆已折尽。	Ngụy duyên dữ văn sính giao chiến, tòng dĩ chí vị, thủ hạ binh tốt giai dĩ chiết tẫn.
延乃拨马而逃，却寻不见玄德，自投长沙太守韩玄去了。	Duyên nãi bát mã nhi đào, khước tầm bất kiến huyền đức, tự đầu trường sa thái thủ hàn huyền khứ liễu.

Paragraph 5
却说玄德同行军民十余万，大小车数千辆，挑担背包者不计其数，路过刘表之墓，玄德率众将拜于墓前，哭告曰：“辱弟备无德无才，负兄寄托之重，罪在备一身，与百姓无干。	Khước thuyết huyền đức đồng hành quân dân thập dư vạn, đại tiểu xa sổ thiên lượng, thiêu đam bối bao giả bất kế kì sổ, lộ quá lưu biểu chi mộ, huyền đức suất chúng tướng bái vu mộ tiền, khốc cáo viết: "Nhục đệ bị vô đức vô tài, phụ huynh kí thác chi trọng, tội tại bị nhất thân, dữ bách tính vô can.
望兄英灵，垂救荆襄之民！	Vọng huynh anh linh, thùy cứu kinh tương chi dân!
”言甚悲切，军民无不下泪。	"Ngôn thậm bi thiết, quân dân vô bất hạ lệ.

Paragraph 6
忽哨马报曰：“曹操大军已屯樊城，使人收拾船筏，即日渡江赶来也。	Hốt tiếu mã báo viết: "Tào thao đại quân dĩ truân phàn thành, sử nhân thu thập thuyền phiệt, tức nhật độ giang cản lai dã.
”众将皆曰：“江陵要地，足可拒守。	" Chúng tướng giai viết: "Giang lăng yếu địa, túc khả cự thủ.
今拥民众数万，日行十余里，似此几时得至江陵？	Kim ủng dân chúng sổ vạn, nhật hành thập dư lí, tự thử kỉ thời đắc chí giang lăng?
倘曹兵到，如何迎敌？	Thảng tào binh đáo, như hà nghênh địch?
不如暂弃百姓，先行为上。	Bất như tạm khí bách tính, tiên hành vi thượng.

Paragraph 7
玄德泣曰：“举大事者必以人为本。	Huyền đức khấp viết: "Cử đại sự giả tất dĩ nhân vi bổn.
今人归我，奈何弃之？	Kim nhân quy ngã, nại hà khí chi?
”百姓闻玄德此言，莫不伤感。	" Bách tính văn huyền đức thử ngôn, mạc bất thương cảm.
后人有诗赞之曰：“临难仁心存百姓，登舟挥泪动三军。	Hậu nhân hữu thi tán chi viết: "Lâm nan nhân tâm tồn bách tính, đăng chu huy lệ động tam quân.
至今凭吊襄江口，父老犹然忆使君。	Chí kim bằng điếu tương giang khẩu, phụ lão do nhiên ức sử quân.
”	"

Paragraph 8
却说玄德拥着百姓，缓缓而行。	Khước thuyết huyền đức ủng trứ bách tính, hoãn hoãn nhi hành.
孔明曰：“追兵不久即至。	Khổng minh viết: "Truy binh bất cửu tức chí.
可遣云长往江夏求救于公子刘琦。	Khả khiển vân trường vãng giang hạ cầu cứu vu công tử lưu kì.
教他速起兵乘船会于江陵。	Giáo tha tốc khởi binh thừa thuyền hội vu giang lăng.
”玄德从之，即修书令云长同孙乾领五百军往江夏求救；令张飞断后；赵云保护老小；其余俱管顾百姓而行。	" Huyền đức tòng chi, tức tu thư lệnh vân trường đồng tôn kiền lĩnh ngũ bách quân vãng giang hạ cầu cứu; lệnh trương phi đoạn hậu; triệu vân bảo hộ lão tiểu; kì dư câu quản cố bách tính nhi hành.
每日只走十余里便歇。	Mỗi nhật chỉ tẩu thập dư lí tiện hiết.
却说曹操在樊城，使人渡江至襄阳，召刘琮相见。	Khước thuyết tào thao tại phàn thành, sử nhân độ giang chí tương dương, triệu lưu tông tương kiến.
琮惧怕不敢往见。	Tông cụ phạ bất cảm vãng kiến.
蔡瑁、张允请行。	Thái mạo, trương duẫn thỉnh hành.
王威密告琮曰：“将军既降，玄德又走，曹操必懈弛无备。	Vương uy mật cáo tông viết: "Tướng quân kí hàng, huyền đức hựu tẩu, tào thao tất giải thỉ vô bị.
愿将军奋整奇兵，设于险处击之，操可获矣。	Nguyện tướng quân phấn chỉnh kì binh, thiết vu hiểm xử kích chi, thao khả hoạch hĩ.
获操则威震天下，中原虽广，可传檄而定。	Hoạch thao tắc uy chấn thiên hạ, trung nguyên tuy quảng, khả truyền hịch nhi định.
此难遇之机，不可失也。	Thử nan ngộ chi cơ, bất khả thất dã.
”琮以其言告蔡瑁。	" Tông dĩ kì ngôn cáo thái mạo.
瑁叱王威曰：“汝不知天命，安敢妄言！	Mạo sất vương uy viết: "Nhữ bất tri thiên mệnh, an cảm vọng ngôn!
”威怒骂曰：“卖国之徒，吾恨不生啖汝肉！	" Uy nộ mạ viết: "Mại quốc chi đồ, ngô hận bất sinh đạm nhữ nhục!
”瑁欲杀之，蒯越劝止。	" Mạo dục sát chi, khoái việt khuyến chỉ.

Paragraph 9
瑁遂与张允同至樊城，拜见曹操。	Mạo toại dữ trương duẫn đồng chí phàn thành, bái kiến tào thao.
瑁等辞色甚是谄佞。	Mạo đẳng từ sắc thậm thị siểm nịnh.
操问：“荆州军马钱粮，今有多少？	Thao vấn: "Kinh châu quân mã tiền lương, kim hữu đa thiểu?
”瑁曰：“马军五万，步军十五万，水军八万：共二十八万。	" Mạo viết: "Mã quân ngũ vạn, bộ quân thập ngũ vạn, thủy quân bát vạn: cộng nhị thập bát vạn.
钱粮大半在江陵；其余各处，亦足供给一载。	Tiền lương đại bán tại giang lăng; kì dư các xử, diệc túc cung cấp nhất tái.
”操曰：“战船多少？	"Thao viết: "Chiến thuyền đa thiểu?
原是何人管领？	Nguyên thị hà nhân quản lĩnh?
”瑁曰：“大小战船，共七千余只，原是瑁等二人掌管。	" Mạo viết: "Đại tiểu chiến thuyền, cộng thất thiên dư chỉ, nguyên thị mạo đẳng nhị nhân chưởng quản.
”操遂加瑁为镇南侯、水军大都督，张允为助顺侯、水军副都督。	" Thao toại gia mạo vi trấn nam hầu, thủy quân đại đô đốc, trương duẫn vi trợ thuận hầu, thủy quân phó đô đốc.

Paragraph 10
二人大喜拜谢。	Nhị nhân đại hỉ bái tạ.
操又曰：“刘景升既死，其子降顺，吾当表奏天子，使永为荆州之主。	Thao hựu viết: "Lưu cảnh thăng kí tử, kì tử hàng thuận, ngô đương biểu tấu thiên tử, sử vĩnh vi kinh châu chi chủ.
”二人大喜而退。	" Nhị nhân đại hỉ nhi thối.
荀攸曰：“蔡瑁，张允乃谄佞之徒，主公何遂加以如此显爵，更教都督水军乎？	Tuân du viết: "Thái mạo, trương duẫn nãi siểm nịnh chi đồ, chúa công hà toại gia dĩ như thử hiển tước, canh giáo đô đốc thủy quân hồ?
”操笑曰：“吾岂不识人！	" Thao tiếu viết: "Ngô khởi bất thức nhân!
止因吾所领北地之众，不习水战，故且权用此二人；待成事之后，别有理会。	Chỉ nhân ngô sở lĩnh bắc địa chi chúng, bất tập thủy chiến, cố thả quyền dụng thử nhị nhân; đãi thành sự chi hậu, biệt hữu lí hội.

Paragraph 11
却说蔡瑁、张允归见刘琮，具言：“曹操许保奏将军永镇荆襄。	Khước thuyết thái mạo, trương duẫn quy kiến lưu tông, cụ ngôn: "Tào thao hứa bảo tấu tướng quân vĩnh trấn kinh tương.
”琮大喜！	" Tông đại hỉ!
次日，与母蔡夫人赍捧印缓兵符，亲自渡江拜迎曹操。	Thứ nhật, dữ mẫu thái phu nhân tê phủng ấn hoãn binh phù, thân tự độ giang bái nghênh tào thao.
操抚慰毕，即引随征军将，进屯襄阳城外。	Thao phủ úy tất, tức dẫn tùy chinh quân tương, tiến truân tương dương thành ngoại.
蔡瑁、张允令襄阳百姓焚香拜接。	Thái mạo, trương duẫn lệnh tương dương bách tính phần hương bái tiếp.
曹操俱用好言抚谕。	Tào thao câu dụng hảo ngôn phủ dụ.
入城至府中坐定，即召蒯越近前，抚慰曰：“吾不喜得荆州，喜得异度也。	Nhập thành chí phủ trung tọa định, tức triệu khoái việt cận tiền, phủ úy viết: "Ngô bất hỉ đắc kinh châu, hỉ đắc dị độ dã.
”遂封蒯越为江陵太守樊城侯；傅巽、王粲等皆为关内侯；而以刘琮为青州刺史，便教起程。	" Toại phong khoái việt vi giang lăng thái thủ phàn thành hầu; phó tốn, vương sán đẳng giai vi quan nội hầu; nhi dĩ lưu tông vi thanh châu thứ sử, tiện giáo khởi trình.
琮闻命大惊，辞曰：“琮不愿为官，愿守父母乡土。	Tông văn mệnh đại kinh, từ viết: "Tông bất nguyện vi quan, nguyện thủ phụ mẫu hương thổ.
”操曰：“青州近帝都，教你随朝为官，免在荆襄被人图害。	" Thao viết: "Thanh châu cận đế đô, giáo nhĩ tùy triều vi quan, miễn tại kinh tương bị nhân đồ hại.
”琮再三推辞，曹操不准。	" Tông tái tam thôi từ, tào thao bất chuẩn.
琮只得与母蔡夫人同赴青州。	Tông chỉ đắc dữ mẫu thái phu nhân đồng phó thanh châu.
只有故将王威相随，其余官员俱送至江口而回。	Chỉ hữu cố tương vương uy tương tùy, kì dư quan viên câu tống chí giang khẩu nhi hồi.
操唤于禁嘱咐曰：“你可引轻骑追刘琮母子杀子，以绝后患。	Thao hoán vu cấm chúc phù viết: "Nhĩ khả dẫn khinh kỵ truy lưu tông mẫu tử sát tử, dĩ tuyệt hậu hoạn.
”于禁得令，领众赶上，大喝曰：“我奉丞相令，教来杀汝母子！	" Vu cấm đắc lệnh, lĩnh chúng cản thượng, đại hát viết: "Ngã phụng thừa tương lệnh, giáo lai sát nhữ mẫu tử!
可早纳下首级！	Khả tảo nạp hạ thủ cấp!
”蔡夫人抱刘琮而大哭。	" Thái phu nhân bão lưu tông nhi đại khốc.
于禁喝令军士下手。	Vu cấm hát lệnh quân sĩ hạ thủ.
王威忿怒，奋力相斗，竟被众军所杀。	Vương uy phẫn nộ, phấn lực tương đấu, cánh bị chúng quân sở sát.
军士杀死刘琮及蔡夫人，于禁回报曹操，操重赏于禁。	Quân sĩ sát tử lưu tông cập thái phu nhân, vu cấm hồi báo tào thao, thao trọng thưởng vu cấm.

Paragraph 12
便使人往隆中搜寻孔明妻小，却不知去向。	Tiện sử nhân vãng long trung sưu tầm khổng minh thê tiểu, khước bất tri khứ hướng.
原来孔明先已令人搬送至三江内隐避矣。	Nguyên lai khổng minh tiên dĩ lệnh nhân bàn tống chí tam giang nội ẩn tị hĩ.
操深恨之。	Thao thâm hận chi.
襄阳既定，荀攸进言曰：“江陵乃荆襄重地，钱粮极广。	Tương dương kí định, tuân du tiến ngôn viết: "Giang lăng nãi kinh tương trọng địa, tiền lương cực quảng.
刘备若据此地，急难动摇。	Lưu bị nhược cư thử địa, cấp nan động diêu.

Paragraph 13
操曰：“孤岂忘之！	Thao viết: "Cô khởi vong chi!
”随命于襄阳诸将中，选一员引军开道。	" Tùy mệnh vu tương dương chư tướng trung, tuyển nhất viên dẫn quân khai đạo.
诸将中却独不见文聘。	Chư tướng trung khước độc bất kiến văn sính.
操使人寻问，方才来见。	Thao sử nhân tầm vấn, phương tài lai kiến.
操曰：“汝来何迟？	Thao viết: "Nhữ lai hà trì?
”对曰：“为人臣而不能使其主保全境土，心实悲惭，无颜早见耳。	" Đối viết: "Vi nhân thần nhi bất năng sử kì chủ bảo toàn cảnh thổ, tâm thật bi tàm, vô nhan tảo kiến nhĩ.
”言讫，欷歔流涕。	" Ngôn cật, hi hư lưu thế.
操曰：“真忠臣也！	Thao viết: "Chân trung thần dã!
”除江夏太守，赐爵关内侯，便教引军开道。	" Trừ giang hạ thái thủ, tứ tước quan nội hầu, tiện giáo dẫn quân khai đạo.
探马报说：“刘备带领百姓，日行止十数里，计程只有三百余里。	Tham mã báo thuyết: "Lưu bị đái lĩnh bách tính, nhật hành chỉ thập sổ lí, kế trình chỉ hữu tam bách dư lí.
”操教各部下精选五千铁骑，星夜前进，限一日一夜，赶上刘备。	" Thao giáo các bộ hạ tinh tuyển ngũ thiên thiết kỵ, tinh dạ tiền tiến, hạn nhất nhật nhất dạ, cản thượng lưu bị.
大军陆续随后而进。	Đại quân lục tục tùy hậu nhi tiến.

Paragraph 14
却说玄德引十数万百姓、三千余军马，一程程挨着往江陵进发。	Khước thuyết huyền đức dẫn thập sổ vạn bách tính, tam thiên dư quân mã, nhất trình trình ai trứ vãng giang lăng tiến phát.
赵云保护老小，张飞断后。	Triệu vân bảo hộ lão tiểu, trương phi đoạn hậu.
孔明曰：“云长往江夏去了，绝无回音，不知若何。	Khổng minh viết: "Vân trường vãng giang hạ khứ liễu, tuyệt vô hồi âm, bất tri nhược hà.
”玄德曰：“敢烦军师亲自走一遭。	" Huyền đức viết: "Cảm phiền quân sư thân tự tẩu nhất tao.
刘琦感公昔日之教，今若见公亲至，事必谐矣。	Lưu kì cảm công tích nhật chi giáo, kim nhược kiến công thân chí, sự tất hài hĩ.
”孔明允诺，便同刘封引五百军先往江夏求救去了。	" Khổng minh duẫn nặc, tiện đồng lưu phong dẫn ngũ bách quân tiên vãng giang hạ cầu cứu khứ liễu.

Paragraph 15
当日玄德自与简雍、糜竺、糜芳同行。	Đương nhật huyền đức tự dữ giản ung, mi trúc, mi phương đồng hành.
正行间，忽然一阵狂风就马前刮起，尘土冲天，平遮红日。	Chánh hành gian, hốt nhiên nhất trận cuồng phong tựu mã tiền quát khởi, trần thổ trùng thiên, bình già hồng nhật.
玄德惊曰：“此何兆也？	Huyền đức kinh viết: "Thử hà triệu dã?
”简雍颇明阴阳，袖占一课，失惊曰：“此大凶之兆也。	" Giản ung pha minh âm dương, tụ chiêm nhất khóa, thất kinh viết: "Thử đại hung chi triệu dã.
应在今夜。	Ứng tại kim dạ.
主公可速弃百姓而走。	Chúa công khả tốc khí bách tính nhi tẩu.
”玄德曰：“百姓从新野相随至此，吾安忍弃之？	" Huyền đức viết: "Bách tính tòng tân dã tương tùy chí thử, ngô an nhẫn khí chi?
”雍曰：“主公若恋而不弃，祸不远矣。	" Ung viết: "Chúa công nhược luyến nhi bất khí, họa bất viễn hĩ.
”玄德问：“前面是何处？	" Huyền đức vấn: "Tiền diện thị hà xứ?
”左右答曰：“前面是当阳县。	" Tả hữu đáp viết: "Tiền diện thị đương dương huyền.
有座山名为景山。	Hữu tọa sơn danh vi cảnh sơn.
”玄德便教就此山扎住。	" Huyền đức tiện giáo tựu thử sơn trát trụ.

Paragraph 16
时秋末冬初，凉风透骨；黄昏将近，哭声遍野。	Thời thu mạt đông sơ, lương phong thấu cốt; hoàng hôn tương cận, khốc thanh biến dã.
至四更时分，只听得西北喊声震地而来。	Chí tứ canh thời phân, chỉ thính đắc tây bắc hảm thanh chấn địa nhi lai.
玄德大惊，急上马引本部精兵二千余人迎敌。	Huyền đức đại kinh, cấp thượng mã dẫn bổn bộ tinh binh nhị thiên dư nhân nghênh địch.
曹兵掩至，势不可当。	Tào binh yểm chí, thế bất khả đương.
玄德死战。	Huyền đức tử chiến.
正在危迫之际，幸得张飞引军至，杀开一条血路，救玄德望东而走。	Chánh tại nguy bách chi tế, hạnh đắc trương phi dẫn quân chí, sát khai nhất điều huyết lộ, cứu huyền đức vọng Bấy giờ, trời cuối thu sang đông, gió lạnh thấu xương, mặt trời sụp đông nhi tẩu.
文聘当先拦住，玄德骂曰：“背主之贼，尚有何面目见人！	Văn sính đương tiên lan trụ, huyền đức mạ viết: "Bối chủ chi tặc, thượng hữu hà diện mục kiến nhân!
”文聘羞惭满面，引兵自投东北去了。	" Văn sính tu tàm mãn diện, dẫn binh tự đầu đông bắc khứ liễu.
张飞保着玄德，且战且走。	Trương phi bảo trứ huyền đức, thả chiến thả tẩu.
奔至天明，闻喊声渐渐远去，玄德方才歇马。	Bôn chí thiên minh, văn hảm thanh tiệm tiệm viễn khứ, huyền đức phương tài hiết mã.
看手下随行人，止有百余骑；百姓、老小并糜竺、糜芳、简雍、赵云等一干人，皆不知下落。	Khán thủ hạ tùy hành nhân, chỉ hữu bách dư kỵ; bách tính, lão tiểu tịnh mi trúc, mi phương, giản ung, triệu vân đẳng nhất can nhân, giai bất tri hạ lạc.
玄德大哭曰：“十数万生灵，皆因恋我，遭此大难；诸将及老小，皆不知存亡：虽土木之人，宁不悲乎！	Huyền đức đại khốc viết: "Thập sổ vạn sinh linh, giai nhân luyến ngã, tao thử đại nan; chư tướng cập lão tiểu, giai bất tri tồn vong: tuy thổ mộc chi nhân, ninh bất bi hồ!
”正凄惶时，忽见糜芳面带数箭，踉跄而来，口言：“赵子龙反投曹操去了也！	"Chánh thê hoàng thời, hốt kiến mi phương diện đái sổ tiễn, lương thương nhi lai, khẩu ngôn: "Triệu tử long phản đầu tào thao khứ liễu dã!
”玄德叱曰：“子龙是我故交，安肯反乎？	" Huyền đức sất viết: "Tử long thị ngã cố giao, an khẳng phản hồ?
”张飞曰：“他今见我等势穷力尽，或者反投曹操，以图富贵耳！	" Trương phi viết: "Tha kim kiến ngã đẳng thế cùng lực tẫn, hoặc giả phản đầu tào thao, dĩ đồ phú quý nhĩ!
”玄德曰：“子龙从我于患难，心如铁石，非富贵所能动摇也。	" Huyền đức viết: "Tử long tòng ngã vu hoạn nan, tâm như thiết thạch, phi phú quý sở năng động diêu dã.
”糜芳曰：“我亲见他投西北去了。	" Mi phương viết: "Ngã thân kiến tha đầu tây bắc khứ liễu.
”玄德曰：“休错疑了。	" Huyền đức viết: "Hưu thác nghi liễu.
岂不见你二兄诛颜良、文丑之事乎？	Khởi bất kiến nhĩ nhị huynh tru nhan lương, văn sửu chi sự hồ?
子龙此去，必有事故。	Tử long thử khứ, tất hữu sự cố.
吾料子龙必不弃我也。	Ngô liêu tử long tất bất khí ngã dã.
