第 三 篇 道 德	THIÊN THỨ 3 : ĐẠO ĐỨC
孝 經 云 : 非 先 王 之 法 服 不 敢 服 非 先 王 之 法 言 不 敢 道 非 先 王 之 德 行 不 敢 行 是 故 非 法 不 言 非 道 不 行 口 無 擇 言 身 無 擇 行 言 滿 天 下 無 口 過 行 滿 天 下 無 怨 惡 三 者 備 矣 然 後 能 守 其 宗 廟 蓋 卿 大 夫 之 孝 也 詩 云 夙 夜 匪 懈 以 事 一 人 。	Sách Hiếu Kinh viết : Chẳng đúng quy định của tiên-vương về pháp-phục, không dám mặc. Chẳng đúng quy định của tiên-vương về lời nói, không dám nói. Chẳng đúng việc làm đức hạnh của tiên-vương, không dám làm. Cho nên chẳng đúng phép không nói, chẳng đúng đạo lý không làm. Miệng không nói bậy, thân không làm bậy, lời nói đúng mực thiên-hạ không nói xấu, việc làm đúng mực thiên-hạ không oán ghét, ba điều ấy hoàn bị rồi, mà sau có thể giữ được tông-miếu. Đó là hạnh hiếu của quan khanh, quan đại-phu. Kinh Thi viết : “Làm việc sớm hôm chẳng trễ nãi, để hết lòng phụng sự một người (vua).”
孝 經 云 : 故 以 孝 事 君 則 忠 以 敬 事 長 則 順 忠 順 不 失 以 事 其 上 然 後 能 保 其 祿 位 而 守 其 祭 祀 蓋 士 之 孝 也 。	Sách Hiếu Kinh viết : Nên lấy hạnh hiếu phụng sự vua thì trung thành, lấy lòng kính phụng sự bậc lớn thì thuận theo. Trung thành và thuận theo chẳng mất, lấy đó để phụng sự trên mà sau có thể bảo đảm được bổng lộc tước vị và giữ được việc tế-tự. Đó là hạnh hiếu của kẻ sĩ vậy.
孝 經 云 : 因 天 之 道 分 地 之 利 謹 身 節 用 以 養 父 母 此 庶 人 之 孝 也 故 自 天 子 至 于 庶 人 孝 無 終 始 而 患 不 及 己 者 未 之 有 也 。	Sách Hiếu Kinh viết : Theo đạo của Trời là chia lợi cho Đất, giữ thân, tiết kiệm để phụng dưỡng cha mẹ. Đó là hạnh hiếu của thứ-dân. Nên từ thiên-tử cho đến thứ-dân, hạnh hiếu không có trước sau mà (ai) chẳng lo cho kịp được thì chưa từng có vậy.
孝 經 云 : 子 曰 孝 子 之 事 親 居 則 致 其 敬 養 則 致 其 樂 病 則 致 其 憂 喪 則 致 其 哀 祭 則 致 其 嚴 五 者 備 矣 然 後 能 事 親 。	Sách Hiếu Kinh viết : Đức Khổng-Tử nói : Con hiếu phụng sự cha mẹ, 1.ở nhà thì hết lòng cung kính, 2.phụng dưỡng thì hết lòng vui vẻ, 3.bệnh tật hết lòng lo lắng, 4.tang sự hết lòng thương xót, 5.cúng dỗ hết lòng nghiêm trang. Năm điều ấy hoàn bị, mà sau có thể phụng sự cha mẹ.
禮 記 云 : 曾 子 曰 身 也 者 父 母 之 遺 體 也 行 父 母 之 遺 體 敢 不 敬 乎 居 處 不 莊 非 孝 也 事 君 不 忠 非 孝 也 蒞 官 不 敬 非 孝 也 朋 友 不 信 非 孝 也 戰 陳 無 勇 非 孝 也 五 者 不 遂 災 及 於 親 敢 不 敬 乎 。	Sách Lễ Ký viết : Thầy Tăng-Tử nói : thân thể này do cha mẹ ban cho, làm việc sử dụng thân thể cha mẹ ban cho dám không cẩn thận sao ?. Ăn ở chẳng đoan trang không hiếu. Phụng sự vua chẳng hết lòng không hiếu. Làm quan chẳng cẩn thận không hiếu. Bạn bè chẳng giữ chữ tín không hiếu. Đánh trận chẳng dũng cảm không hiếu. Năm việc ấy chẳng tuân theo, tai vạ đến với cha mẹ, dám không cẩn thận sao ?.
禮 記 云 : 壹 舉 足 而 不 敢 忘 父 母 壹 出 言 而 不 敢 忘 父 母 壹 舉 足 而 不 敢 忘 父 母 是 故 道 而 弗 徑 舟 而 不 游 不 敢 以 先 父 母 之 遺 體 行 危 殆 壹 出 言 而 不 敢 忘 父 母 是 故 惡 言 不 出 於 口 忿 言 不 及 於 身 不 辱 其 身 不 羞 其 親 可 謂 孝 矣 。	Sách Lễ Ký viết : Mỗi bước đi mà chẳng dám quên cha mẹ, mỗi khi nói mà chẳng dám quên cha mẹ. Mỗi bước đi mà chẳng dám quên cha mẹ nên hành đạo không theo lối tắt, đi thuyền mà chẳng dám bơi, chẳng dám trước lấy thân thể cha mẹ ban cho để làm việc nguy hiểm. Mỗi khi nói mà chẳng dám quên cha mẹ, cho nên lời ác chẳng xuất ra từ miệng thì những lời oán giận chẳng đến thân. Chẳng mang nhục đến thân thì chẳng làm xấu hổ cha mẹ, (như thế) có thể gọi là hiếu vậy.
論 語 云 : 曾 子 曰 士 不 可 以 不 弘 毅 任 重 而 道 遠 仁 以 為 己 任 不 亦 重 乎 死 而 後 已 不 亦 遠 乎 。	Sách Luận Ngữ viết : Thầy Tăng-Tử nói : kẻ sĩ không thể không có quyết tâm và hoài bão lớn, vì nhiệm vụ rất nặng mà đường lại xa, lấy việc dạy người lòng nhân từ là nhiệm vụ của mình há chẳng nặng ư ?, chỉ khi nào chết đi mới dừng lại há chẳng xa ư ?.
申 鑒 云 : 有 一 言 而 可 常 行 者 恕 也 一 行 而 可 常 履 者 也 正 也 恕 者 仁 之 術 也 正 者 義 之 要 也 至 矣 哉 。	Sách Thân Giám viết : Có một lời mà có thể thường làm theo, đó là chữ “thứ” vậy. Có một việc làm mà có thể thường thực hiện, đó là chữ “chánh” vậy. Chữ “thứ” là phương pháp của Nhân vậy, chữ “chánh” là trọng yếu của Nghĩa vậy, thật quan trọng thay !
論 語 云 : 顏 淵 問 仁 子 曰 克 己 復 禮 為 仁 一 日 克 己 復 禮 天 下 歸 仁 焉 為 仁 由 己 而 由 人 乎 哉 曰 請 問 其 目 子 曰 非 禮 勿 視 非 禮 勿 聽 非 禮 勿 言 非 禮 勿 動 。	Sách Luận Ngữ viết : Thầy Nhan-Uyên hỏi lòng nhân. Đức Khổng-Tử đáp : khắc phục mình nương theo lễ đó là lòng nhân, một ngày khắc phục mình nương theo lễ thì thiên-hạ quy về lòng nhân. Lòng nhân do mình mà lẽ nào do người khác ?. Thầy Nhan-Uyên hỏi : xin thầy nói các điều mục ấy, đức Khổng-Tử đáp : Việc phi lễ chớ nhìn, điều phi lễ chớ nghe, lời phi lễ chớ nói, vật phi lễ chớ lấy.
論 語 云 : 仲 弓 問 仁 子 曰 出 門 如 見 大 賓 使 民 如 承 大 祭 己 所 不 欲 勿 施 於 人 在 邦 無 怨 在 家 無 怨 。	Sách Luận Ngữ viết : Thầy Trọng-Cung hỏi lòng nhân. đức Khổng-Tử đáp : ra khỏi cửa thì nghiêm trang như gặp khách quý, sai khiến dân thì thận trọng như làm lễ lớn. Điều gì mình không muốn chớ đem cho người, trong nước chớ làm ai thù, trong nhà chớ làm ai oán.
後 漢 書 云 : 貧 賤 之 知 不 可 忘 糟 糠 之 妻 不 下 堂 。	Sách Hậu Hán Thư viết : Lúc nghèo hèn quen biết không thể quên đi.
體 論 云 : 天 地 有 紀 矣 不 誠 則 不 能 化 育 君 臣 有 義 矣 不 誠 則 不 能 相 臨 父 子 有 禮 矣 不 誠 則 疏 夫 妻 有 恩 矣 不 誠 則 離 交 接 有 分 矣 不 誠 則 絕 以 義 應 當 曲 得 其 情 其 唯 誠 乎 。	Người vợ tào-khang không thể hắt hủi. Sách Thể Luận viết : Trời đất có kỷ cương, chẳng chân thành thì không thể giáo hóa, nuôi dưỡng vạn vật. Vua tôi có nghĩa, chẳng chân thành thì không thể làm việc cùng. Cha con có lễ, chẳng chân thành thì xa cách. Vợ chồng có ân, chẳng chân thành thì ly biệt. Việc giao-tiếp có danh phận, chẳng chân thành thì đoạn tuyệt. Lấy đạo nghĩa để ứng xử thì thỏa đáng, thấy được tình lý của việc khúc mắt chỉ có chân thành ư !. Sách Tôn Khanh Tử viết : Người quân-tử dưỡng tâm chẳng gì tốt hơn chân thành. Đạt tới chân thành chẳng gì khác giữ gìn lòng nhân, làm việc nghĩa.
孫 卿 子 云 : 君 子 養 心 莫 善 於 誠 致 誠 無 他 唯 仁 之 守 唯 義 之 行 誠 心 守 仁 則 能 化 誠 心 行 義 則 能 變 變 化 代 興 謂 之 天 德 。	Lòng chân thành giữ gìn lòng nhân thì có thể hóa vật. Lòng chân thành làm việc nghĩa thì có thể biến vật. Biến hóa thay đổi hưng thịnh gọi là Thiên-đức (đức trời).
中 論 云 : 孔 子 曰 欲 人 之 信 己 則 微 言 而 篤 行 之 篤 行 之 則 用 日 久 用 日 久 則 事 著 明 事 著 明 則 有 目 者 莫 不 見 也 有 耳 者 莫 不 聞 也 其 可 誣 乎 。	Sách Trung Luận viết : Đức Khổng-Tử nói : muốn người tin mình thì nói ít mà dốc sức làm, dốc sức làm thì chổ dùng ngày càng lâu dài, chổ dùng ngày càng lâu dài thì công việc rõ ràng, công việc rõ ràng thì người có mắt chẳng lẽ không thấy, người có tai chẳng lẽ không nghe, lý nào là sự việc bịa đặt ?.
論 語 云 : 子 夏 曰 君 子 信 而 後 勞 其 民 未 信 則 以 為 厲 己 也 信 而 後 諫 未 信 則 以 為 謗 己 也 。	Sách Luận Ngữ viết : Thầy Tử-Hạ nói người quân-tử giữ chữ tín mà sau khiến dân lao nhọc, chưa giữ được chữ tín thì dân sẽ coi mình là kẻ bạo ngược. Giữ chữ tín mà sau can gián, chưa giữ được chữ tín (mà can gián) thì mình bị coi là kẻ hủy báng.
傅 子 云 : 夫 信 由 上 而 結 者 也 故 君 以 信 訓 其 臣 則 臣 以 信 忠 其 君 父 以 信 誨 其 子 則 子 以 信 孝 其 父 夫 以 信 先 其 婦 則 婦 以 信 順 其 夫 上 秉 常 以 化 下 下 服 常 而 應 上 其 不 化 者 百 未 有 一 也 。	Sách Phó Tử viết : Thành tín do cấp trên mà thiết lập. Nên vua lấy thành tín dạy bảo bề tôi thì bề tôi sẽ lấy thành tín hết lòng vì vua. Cha lấy thành tín răn dạy con thì con sẽ lấy thành tín hiếu thảo với cha. Chồng lấy thành tín đối trước với vợ thì vợ sẽ lấy thành tín thuận tòng theo chồng. Cấp trên giữ vững theo đạo thường để giáo hóa cấp dưới, thì cấp dưới sẽ tuân theo đạo thường mà ứng với cấp trên. Còn tuân theo đó mà không giáo hóa được ai, thì 100 việc chưa có 1 việc vậy.
體 論 云 : 色 取 仁 而 實 違 之 者 謂 之 虛 不 以 誠 待 其 臣 而 望 其 臣 以 誠 事 己 謂 之 愚 虛 愚 之 君 未 有 能 得 人 之 死 力 者 也 故 書 稱 君 為 元 首 臣 為 股 肱 期 其 一 體 相 須 而 成 也 。	Sách Thể Luận viết : Sắc mặt ra vẻ nhân từ mà thực tế trái lại, đó là hư-huyễn. Chẳng lấy chân thành đối đãi với bề tôi mà cứ mong mỏi bề tôi lấy chân thành phụng sự mình, đó là ngu-muội. Vua có hư-huyễn và ngu-muội thì chưa có thể được người làm tận lực đến chết vậy. Nên Kinh Thư nói : “vua như cái đầu, bề tôi như chân tay.” Đó là nói một thể, cần cùng nhau phối hợp mà thành công vậy.
韓 子 云 : 巧 詐 不 如 拙 誠 。	Sách Hàn Tử viết : Xảo trá chẳng bằng vụng về thành thật.
尚 書 云 : 作 德 心 逸 日 休 作 偽 心 勞 日 拙 。	Sách Thượng Thư viết : Làm việc đạo đức lòng thanh thản, ngày càng tốt lành.
孔 子 家 語 云 : 曾 子 曰 敢 問 何 謂 七 教 孔 子 曰 上 敬 老 則 下 益 孝 上 尊 齒 則 下 益 悌 上 樂 施 則 下 益 寬 上 親 賢 則 下 擇 友 上 好 德 則 下 無 隱 上 惡 貪 則 下 恥 爭 上 廉 讓 則 下 知 節 此 之 謂 七 教 也 七 教 者 治 民 之 本 也 政 教 定 則 本 正 矣 凡 上 者 民 之 表 也 表 正 則 何 物 不 正 。	Làm việc dối trá lòng lao khổ, ngày càng kém cỏi. Sách Khổng Tử Gia Ngữ viết : Thầy Tăng-Tử nói : xin hỏi thế nào là 7 loại giáo học ?. Đức Khổng-Tử đáp : 1.Trên kính trọng người già thì dưới càng hiếu thuận ; 2.trên tôn trọng người cao tuổi thì dưới càng hòa thuận ; 3.trên thích bố thí thì dưới càng khoan dung ; 4.trên thân cận người hiền thì dưới biết chọn bạn kết giao ; 5.trên thích đức hạnh thì dưới không ẩn dấu ; 6.trên ghét sự tham lam thì dưới xấu hổ khi tranh nhau ; 7.trên khiêm-nhượng thì dưới biết giữ tiết tháo, đó gọi là 7 loại giáo học vậy. 7 loại giáo học là gốc để trị dân, khi chính-giáo (ấy) an định thì gốc chánh vậy. Phàm trên là chuẩn mực của dân, chuẩn mực chánh thì có ai mà không chánh ?.
政 要 語 云 : 故 君 子 為 政 以 正 己 為 先 教 禁 為 次 。	Sách Chính Yếu Luận viết : Nên người quân-tử làm chính trị lấy làm việc chánh mình trước nhất, còn việc giáo học và lệnh cấm thì theo sau.
禮 記 云 : 子 曰 下 之 事 上 也 不 從 其 所 令 而 從 其 所 行 上 好 是 物 下 必 有 甚 矣 故 上 之 所 好 惡 不 可 不 慎 也 是 民 之 表 也 。	Sách Lễ Ký viết : Đức Khổng-Tử nói : Dưới phụng sự trên, không nên chỉ theo mệnh lệnh trên mà nên theo (ý) việc làm của trên. Trên thích vật đó thì cấp dưới hẳn thích nhiều hơn vậy. Nên việc ưa ghét của trên không thể không thận trọng.
昌 言 云 : 我 有 公 心 焉 則 士 民 不 敢 念 其 私 矣 我 有 平 心 焉 則 士 民 不 敢 行 其 險 矣 我 有 儉 心 焉 則 士 民 不 敢 放 其 奢 矣 此 躬 行 之 所 徵 者 也 。	Đó là chuẩn mực của dân vậy. Sách Xương Ngôn viết : Ta có lòng công bằng thì sĩ-dân chẳng dám có tâm niệm riêng tư. Ta có lòng bình đẳng thì sĩ-dân chẳng dám làm việc gian hiểm.
六 韜 云 : 太 公 曰 將 有 三 禮 冬 日 不 服 裘 夏 日 不 操 扇 天 雨 不 張 蓋 幕 名 曰 三 禮 也 。	Ta có lòng tiết kiệm thì sĩ-dân chẳng dám phóng túng đến xa xỉ. Việc đó mà đích thân làm thì là biểu trưng (hình mẫu) vậy. Sách Lục Thao viết : Thái-Công nói làm tướng có 3 lễ, ngày mùa đông không mặc áo lông cừu, ngày mùa hạ không dùng quạt, trời mưa không che dù (để biết nỗi khổ của lính), tên gọi là 3 lễ vậy.
孔 子 家 語 云 : 孔 子 曰 君 子 有 三 恕 有 君 不 能 事 有 臣 而 求 其 使 非 恕 也 有 親 弗 能 孝 有 子 而 求 其 報 非 恕 也 有 兄 弗 能 敬 有 弟 而 求 其 順 非 恕 也 士 能 明 於 三 恕 之 本 則 可 謂 端 身 矣 。	Sách Khổng Tử Gia Ngữ viết : Đức Khổng-Tử nói người quân-tử có 3 (việc không) tha thứ : 1.có vua chẳng thể phụng sự, có bề tôi mà mong sai khiến là việc không tha thứ. 2.có cha mẹ chẳng thể hiếu dưỡng, có con mà mong báo đáp là việc không tha thứ. 3.Có anh mà chẳng thể kính trọng, có em mà mong thuận theo là việc không tha thứ. Kẻ sĩ có thể làm rõ gốc của 3 (việc không) tha thứ đó thì có thể gọi là đoan chính bản thân vậy.
禮 記 云 : 是 故 君 子 有 諸 己 而 後 求 諸 人 無 諸 己 而 後 非 諸 人 。	Sách Lễ Ký viết : Cho nên người quân-tử có hết ở mình sau mới cầu ở người, không có hết ở mình thì sau không (thể cầu) hết ở người.
孫 卿 子 云 : 君 子 能 為 可 貴 不 能 使 人 必 貴 己 能 為 可 信 不 能 使 人 必 信 己 能 為 可 用 不 能 使 人 必 用 己 故 君 子 恥 不 修 不 恥 見 污 恥 不 信 不 恥 不 見 信 恥 不 能 不 恥 不 見 用 是 以 不 誘 於 譽 不 恐 於 誹 率 道 而 行 端 然 正 己 不 為 物 傾 側 夫 是 之 謂 誠 君 子 。	Sách Tôn Khanh Tử viết : Người quân-tử có thể làm việc đáng quý trọng, nhưng không thể khiến người nhất định quý trọng mình. Có thể làm việc đáng tin tưởng, nhưng không thể khiến người nhất định tin tưởng mình. Có thể làm việc rất được trọng dụng, nhưng không thể khiến người nhất định trọng dụng mình. Nên người quân-tử xấu hổ khi chẳng tu học, chẳng xấu hổ khi thấy người ghét mình. Xấu hổ chẳng có chữ tín , chẳng xấu hổ khi thấy người không tin tưởng mình. Xấu hổ chẳng được giỏi, chẳng xấu hổ khi thấy người không trọng dụng mình. Thế nên họ không bị cám dỗ bởi lời khen ngợi, không sợ những lời chê bai, tuân theo đạo đức mà đi, tự đoan chánh mình, chẳng bị ngoài vật làm cho nghiêng lệch. Đó gọi là người quân-tử chân thành vậy.
周 易 云 : 家 人 象 曰 君 子 以 言 有 物 而 行 有 恒 。	Sách Chu Dịch viết : Quẻ Gia-Nhân Tượng viết : người quân-tử lấy lời nói của người vật mà hành động theo lẽ thường.
晏 子 云 : 衣 冠 中 故 朝 無 奇 僻 之 服 所 言 義 故 下 無 偽 上 之 報 身 行 順 治 事 公 故 國 無 阿 黨 之 義 三 者 君 子 常 行 也 。	Sách Yến Tử viết : Áo mũ đúng nên triều-đình không có y phục khác thường ; Lời nói hợp nghĩa nên dưới không báo cáo dối trên ; Thân hành động thích hợp thì trị lý việc công bằng nên nước không có bè đảng a dua.
孫 卿 子 云 : 故 聲 無 小 而 不 聞 行 無 隱 而 不 形 玉 在 山 而 木 草 潤 淵 生 珠 而 崖 不 枯 為 善 積 也 安 有 不 聞 者 乎 。	Ba việc đó người quân-tử thường làm vậy. Sách Tôn Khanh Tử viết : Nên âm thanh dù nhỏ lý nào chẳng ai nghe, hành động dù che dấu lý nào chẳng có hình dáng, ngọc ở núi mà cây cỏ thấm nhuận ấy, chổ sâu sinh ra châu ngọc mà ven núi không khô héo ấy. Làm thiện tích lũy, lý nào có chuyện người không nghe ư ?.
後 漢 書 云 : 帝 曰 夫 建 大 事 者 不 忌 小 怨 。	Sách Hậu Hán Thư viết : Đế (Quang Vũ Đế) nói : kiến lập việc lớn chẳng đố kị oán nhỏ.
賈 子 云 : 老 子 曰 報 怨 以 德 。	Sách Giả Tử viết : Đức Lão-Tử nói : lấy đức báo oán.
周 易 云 : 彖 曰 謙 亨 天 道 下 濟 而 光 明 地 道 卑 而 上 行 天 道 虧 盈 而 益 謙 地 道 變 盈 而 流 謙 鬼 神 害 盈 而 福 謙 人 道 惡 盈 而 好 謙 謙 尊 而 光 卑 而 不 可 踰 君 子 之 終 也 。	Sách Chu Dịch viết : Thoán viết : Quẻ Khiêm hanh thông, đạo trời giúp dưới mà sáng láng, đạo đất thấp mà đi lên trên, đạo trời giảm chỗ đầy mà tăng ích chỗ thiếu, đạo đất biến đổi chỗ đầy mà chảy vào chỗ thiếu, quỷ thần làm hại chỗ đầy mà ban phúc chỗ thiếu, đạo người ghét chỗ đầy mà thích chỗ thiếu. Khiêm (tốn) tôn quý mà sáng lạng, thấp mà không thể vượt qua, đó là cái chung cuộc của người quân-tử vậy.
尚 書 云 : 惟 德 動 天 無 遠 弗 屆 滿 招 損 謙 受 益 時 乃 天 道 。	Sách Thượng Thư viết : Chỉ đức hạnh mới cảm động trời đất, dù người xa mấy cũng đến quy phục. Tự mãn sẽ chiêu lấy tổn thất, khiêm nhượng nhận nhiều ích lợi, đó là đạo trời.
尚 書 云 : 德 日 新 萬 邦 惟 懷 志 自 滿 九 族 乃 離 。	Sách Thượng Thư viết : Đức hạnh ngày càng tiến, các nước đều đến quy phục. Tự mãn cửu-tộc (9 họ) bèn ly biệt.
說 苑 云 : 故 易 曰 有 一 道 大 足 以 守 天 下 中 足 以 守 國 家 小 足 以 守 其 身 謙 之 謂 也 。	Sách Thuyết Uyển viết : Nên Kinh Dịch viết : có một đạo, lớn đủ để giữ thiên-hạ, đủ để giữ quốc-gia, nhỏ đủ để giữ bản thân đó là đức khiêm nhường vậy.
尚 書 云 : 若 升 高 必 自 下 若 陟 遐 必 自 邇 。	Sách Thượng Thư viết : Nếu lên cao ắt bắt đầu từ chỗ thấp, nếu đi xa ắt bắt đầu từ chỗ gần.
老 子 云 : 江 海 所 以 能 為 百 谷 王 以 其 善 下 之 。	Sách Lão Tử viết : Sông biển sở dĩ có khả nằng làm vua của trăm suối, là vì nó khéo đứng dưới thấp.
中 論 云 : 君 子 常 虛 其 心 志 恭 其 容 貌 不 以 逸 群 之 才 加 乎 眾 人 之 上 視 彼 猶 賢 自 視 猶 不 肖 也 故 人 願 告 之 而 不 厭 誨 之 而 不 倦 。	Sách Trung Luận viết : Người quân-tử thường để lòng dạ rỗng không, dung mạo thì cung kính, không tìm lỗi lầm quần chúng để cho mình tài trên mọi người. Thường xem người khác đều tài năng, tự xem mình kém tài năng.
