後 漢 書 云 : 貧 賤 之 知 不 可 忘 糟 糠 之 妻 不 下 堂 。	Sách Hậu Hán Thư viết : Lúc nghèo hèn quen biết không thể quên đi.
尸 子 云 : 夫 道 以 人 之 難 為 易 也 是 故 曾 子 曰 父 母 愛 之 喜 而 不 忘 父 母 惡 之 懼 而 無 咎 然 則 愛 與 惡 其 於 成 孝 無 擇 也 史 鰌 曰 君 親 而 近 之 至 敬 以 遜 貌 而 疏 之 敬 無 怨 然 則 親 與 疏 其 於 成 忠 無 擇 也 孔 子 曰 自 娛 於 櫽 括 之 中 直 己 而 不 直 人 以 善 廢 而 不 邑 邑 蘧 伯 玉 之 行 也 然 則 興 與 廢 其 於 成 善 無 擇 也 屈 侯 附 曰 賢 者 易 知 也 觀 其 富 之 所 分 達 之 所 進 窮 之 所 不 取 然 則 窮 與 達 其 於 成 賢 無 擇 也 是 故 愛 惡 親 疏 廢 興 窮 達 皆 可 以 成 義 。	Đức Khổng-Tử nói :” tự vui sướng khi dùng ổn-quát uốn cong vật cho thẳng lại, mình thẳng mà không làm thẳng người, việc tốt phế đi mà chẳng u sầu, đó là hạnh tốt của ông Cừ-Bá-Ngọc”. Như thế thì hưng thịnh và phế bỏ đều có thể làm thành việc tốt không (nhất thiết phải) chọn lựa vậy. Ông Khuất-Hầu-Phụ nói :”người hiền dễ nhận biết, xem lúc giàu có phân chia của cải ra sao, tiến cử người phát đạt thế nào, lúc khốn cùng xem chổ có nhận của bất nghĩa không”. Như thế thì khốn cùng và phát đạt đều có thể trở thành hiền-nhân không (nhất thiết phải) chọn lựa vậy. Cho nên yêu, ghét, gần gủi, xa cách, phế bỏ, hưng thịnh, khốn cùng, phát đạt đều có thể thành tựu đạo nghĩa. Sách Dục Tử viết : Người quân-tử chẳng cùng người mưu tính thì thôi. Còn nếu cùng người mưu tính thì không thể nào trái đạo nghĩa.
鬻 子 云 : 君 子 不 與 人 之 謀 則 已 矣 若 與 人 謀 之 則 非 道 無 由 也 故 君 子 之 謀 能 必 用 道 而 不 能 必 見 受 也 能 必 忠 而 不 能 必 入 也 能 必 信 而 不 能 必 見 信 也 君 子 非 仁 者 不 出 之 於 辭 而 施 之 於 行 故 非 非 者 行 是 而 惡 惡 者 行 善 而 道 諭 矣 。	Nên người quân-tử mưu tính giỏi ắt dùng đạo nghĩa, còn chẳng giỏi ắt tiếp nhận. Có năng lực ắt làm hết mình, còn không có năng lực ắt thu nhận. Có năng lực ắt thành tín, còn không có năng lực thì nhìn nhận thành tín. Người quân-tử không trái đức nhân, chẳng nói ra lời lẽ mà chỉ thực hiện bằng hành động. Nên việc sai trái làm cho đúng lại, còn việc xấu ác thì làm cho tốt lại mà đạo đức tỏ rõ vậy. Sách Chu Dịch viết : (Quẻ Địa Phong Thăng) Tượng viết : trong đất sinh cây là quẻ Thăng.
周 易 云 : 象 曰 地 中 生 木 升 君 子 以 順 德 積 小 以 成 高 大 。	Người quân-tử coi đó để thuận theo đức, tích nhỏ để thành cao lớn.
昌 言 云 : 人 之 事 親 也 不 去 乎 父 母 之 側 不 倦 乎 勞 辱 之 事 唯 父 母 之 所 言 也 唯 父 母 之 所 欲 也 於 其 體 之 不 安 則 不 能 寢 於 其 飡 之 不 飽 則 不 能 食 孜 孜 為 此 以 沒 其 身 。	Sách Xương Ngôn viết : Người phụng sự cha mẹ, không được bỏ cha mẹ qua một bên, chẳng chán nản khi làm việc khổ nhục, vâng lời cha mẹ nói, tuân theo lòng mong muốn của cha mẹ. Khi thân thể (cha mẹ) chẳng an ổn thì chẳng được ngủ, đến khi bữa cơm (cha mẹ) không ăn no thì chẳng được ăn.
曾 子 云 : 禮 以 將 其 力 敬 以 入 其 忠 詩 言 夙 興 夜 寐 毋 忝 爾 所 生 不 恥 其 親 君 子 之 孝 也 。	Siêng năng làm như thế đến khi thân này chết đi. Sách Tăng Tử viết : Lễ thì dùng sức lực, kính thì lo hết lòng. Kinh Thi nói :”tối thì ngủ, sáng dậy ngay. Chớ làm cha mẹ nhục lây vì mình.” Chẳng để cha mẹ mang nhục đó là nết hiếu của người quân-tử vậy.
孝 經 云 : 曾 子 曰 若 夫 慈 愛 恭 敬 安 親 揚 名 則 聞 命 矣 敢 問 子 從 父 之 命 可 謂 孝 乎 子 曰 是 何 言 與 是 何 言 與 昔 者 天 子 有 爭 臣 七 人 雖 無 道 不 失 其 天 下 諸 侯 有 爭 臣 五 人 雖 無 道 不 失 其 國 大 夫 有 爭 臣 三 人 雖 無 道 不 失 其 家 士 有 爭 友 則 身 不 離 於 令 名 父 有 爭 子 則 身 不 陷 於 不 義 故 當 不 義 則 爭 之 從 父 之 命 又 焉 得 為 孝 乎 。	Sách Hiếu Kinh viết : Thầy Tăng-Tử nói như việc từ-ái, cung-kính, làm an lòng cha mẹ, làm rạng danh tiếng (ở đời) thì học trò nghe thầy giảng. Dám hỏi con nghe theo lệnh cha thì có thể gọi là hiếu không ?. Đức Khổng-Tử đáp : “ sao nói thế ?, sao nói thế ?. Xưa kia thiên-tử có 7 người bề tôi can gián, tuy làm việc vô đạo chẳng mất thiên-hạ. Chư hầu có 5 người bề tôi can gián, tuy làm việc vô đạo chẳng mất nước. Quan đại-phu có 3 người bề tôi can gián, tuy làm việc vô đạo chẳng mất gia đình. Kẻ sĩ có bạn can gián thì thân chẳng mất danh tốt. Cha có con can gián thì thân chẳng mắc tội bất nghĩa. Nên đang làm việc bất nghĩa thì phải can gián.
典 語 云 : 君 之 任 臣 如 身 之 信 手 臣 之 事 君 亦 宜 如 手 之 繫 身 安 則 共 樂 痛 則 同 憂 其 上 下 協 心 以 治 世 事 不 俟 命 而 自 勤 不 求 容 而 自 親 何 則 相 信 之 忠 著 也 。	Sách Điển Ngữ viết : Vua tín nhiệm bề tôi, như thân tin tưởng tay. Bề tôi phụng sự vua lại nên như tay buộc với thân. An định thì chung vui, đau khổ thì cùng buồn. Đến trên dưới đồng tâm để trị lý việc thế-sự, thì chẳng đợi mệnh trời mà tự siêng năng, chẳng cầu vẻ mặt mà tự thân thiết là sao ?
論 語 云 : 子 張 問 行 子 曰 言 忠 信 行 篤 敬 雖 蠻 貊 之 邦 行 矣 言 不 忠 信 行 不 篤 敬 雖 州 里 行 乎 哉 子 張 書 諸 紳 。	là tin tưởng nhau hết lòng rõ rệt vậy. Sách Luận Ngữ viết : Thầy Tử-Trương hỏi về cách đi lại cho trót lọt. Đức Khổng-Tử đáp : “Lời nói trung-tín, làm việc dốc sức cung kính, tuy ở nước mọi rợ vẫn đi lại trót lọt. Lời nói chẳng trung-tín, làm việc chẳng dốc sức cung kính, tuy ở quê hương há đi lại trót lọt.” Thầy Tử-Trương liền chép hai điều ấy vào đai áo.
六 韜 云 : 夫 以 賢 而 為 人 下 何 人 不 與 以 貴 從 人 曲 直 何 人 不 得 。	Sách Lục Thao viết : Có tài đức mà làm như người hèn hạ, ai mà không theo ?.
魏 志 云 : 夫 能 屈 以 為 伸 讓 以 為 得 弱 以 為 強 鮮 不 遂 矣 。	Có địa vị cao quý mà lắng nghe theo lời đúng sai của người, ai mà không phục ?. Sách Ngụy Chí viết : Thường người có thể khuất phục để duỗi ra, khiêm nhượng để đạt được, nhu nhược để mạnh mẽ, ít khi không được thỏa lòng vậy.
周 易 云 : 子 曰 君 子 居 其 室 出 其 言 善 則 千 里 之 外 應 之 況 其 邇 者 乎 居 其 室 出 其 言 不 善 則 千 里 之 外 違 之 況 其 邇 者 乎 言 出 乎 身 加 乎 民 行 發 乎 邇 見 乎 遠 言 行 君 子 之 樞 機 樞 機 之 發 榮 辱 之 主 也 言 行 君 子 之 所 以 動 天 地 可 不 慎 乎 。	Sách Chu Dịch viết : Đức Khổng-Tử nói : người quân-tử ở trong nhà nói ra một lời tốt thì ngoài ngàn dặm cũng hưởng ứng theo huống chi là gần sao ?, còn ở trong nhà nói ra một lời không tốt thì ngoài ngàn dặm cũng không theo huống chi là gần sao ?. Lời nói ở bản thân ra, dân chúng thêm vào, nói phát ra ở gần mà hiện ra xa. Lời nói là phần trọng yếu nhất của người quân-tử, phần trọng yếu phát ra là chủ của sự vinh nhục vậy.
毛 詩 云 : 無 競 維 人 四 方 其 訓 之 有 覺 德 行 四 國 順 之 敬 慎 威 儀 維 民 之 則 慎 爾 出 話 敬 爾 威 儀 無 不 柔 嘉 白 圭 之 玷 尚 可 磨 也 斯 言 之 玷 不 可 為 也 。	Lời nói của người quân tử có thể động đến trời đất, có thể không thận trọng sao ?. Sách Mao Thi viết : Chẳng ham hùng mạnh hay sao. Bốn phương thiên hạ nhìn vào cùng noi ?. Hễ có đức sáng soi thẳng thắn. Nước bốn phương đều hẳn thuận tùng. Kế to hiệu lệnh định xong. Mưu xa thời lệnh mọi vùng truyền đi. Kính trọng lấy uy nghi tốt đẹp. Mới làm nên khuôn phép toàn dân. Cẩn thận khi lời nói phát ra. Uy nghi cung kính sâu xa. Không gì lại chẳng được là đẹp thay. Ngọc bạch khuê bị trầy bị mẻ. Mài láng trơn có thể thành công. Lời sai lầm trót nói xong.
禮 記 云 : 子 曰 君 子 道 人 以 言 而 禁 人 以 行 故 言 必 慮 其 所 終 而 行 必 稽 其 所 弊 則 民 謹 於 言 而 慎 於 行 。	Chẳng làm gì được, răn lòng khắc ghi. Sách Lễ Ký viết : Đức Khổng-tử nói : bậc quân-tử lấy lời nói chỉ dẫn người, cấm người dùng hành động. Nên nói ắt phải lo đến kết cuộc, làm việc ắt xem xét đến sự tệ hại, thế thì dân cẩn thận lời nói và thận trọng làm việc.
漢 書 云 : 天 子 之 尊 四 海 之 內 其 義 莫 不 為 臣 然 而 養 三 老 於 大 學 舉 賢 以 自 輔 弼 求 修 正 之 士 使 直 諫 故 尊 養 三 老 示 孝 也 立 輔 弼 之 臣 者 恐 驕 也 置 直 諫 之 士 者 恐 不 得 聞 其 過 也 。	Sách Hán Thư viết : Thiên-tử tôn quý nhất trong bốn biển, nghĩa là không ai chẳng phải là bề tôi của họ. Nhưng họ phải phụng dưỡng bậc Tam-Lão ở trường Thái-Học, tiến cử người hiền để phò tá, tìm kẻ sĩ giúp trị lý để đưa ra lời can gián thẳng. Nên tôn trọng, phụng dưỡng bậc Tam-Lão là biểu thị hiếu vậy. Lập bề tôi (hiền) phò tá vì sợ tính kiêu ngạo vậy.
劉 廙 政 論 云 : 夫 為 政 者 輕 一 失 而 不 矜 之 猶 乘 無 轄 之 車 安 其 少 進 而 不 睹 其 頓 躓 之 患 也 夫 車 之 患 近 故 無 不 睹 焉 國 之 患 遠 故 無 不 忽 焉 知 其 體 者 夕 惕 若 厲 慎 其 愆 矣 。	Bố trí kẻ sĩ can gián là sợ không được nghe lỗi lầm (của mình) vậy. Sách Lưu Dực Chính Luận viết : Thường làm chính trị, khinh xuất một lỗi mà không cẩn thận thì như ngồi xe mà không có chốt, lúc an vui tiến lên ít, nên không trông thấy cái họa, để chỉnh đốn lại những trở ngại. Cái họa của xe thì gần, nên không ai chẳng thấy. Cái họa của quốc gia thì xa, nên không ai chẳng coi thường. Biết cái thể của nó, thì nên sớm hôm cảnh giác, giống như dũng mãnh giữ gìn (bảo vật) sợ mất đi vậy.
周 易 云 : 彖 曰 天 地 之 道 恒 久 而 不 已 也 日 月 得 天 而 能 久 照 四 時 變 化 而 能 久 成 聖 人 久 於 其 道 而 天 下 化 成 觀 其 所 恒 而 天 地 萬 物 之 情 可 見 矣 。	Sách Chu Dịch viết : Thoán viết : đạo của trời đất thường lâu bền mà không thôi vậy. Mặt trời, mặt trăng được ở trên trời mà có thể chiếu sáng, bốn mùa biến hóa mà có thể thành tựu lâu bền, bậc thánh-nhân ở lâu trong đạo mà thiên-hạ hóa thành công.
袁 子 正 書 云 : 聖 人 貴 恒 恒 者 德 之 固 也 聖 人 久 於 其 道 而 天 下 化 成 未 有 不 恒 而 可 以 成 德 無 德 而 可 以 持 久 者 也 。	Xem chổ thường hằng mà cái tình của vạn vật có thể thấy vậy. Sách Viên Tử Chính Thư viết : Bậc thánh-nhân quý ở sự lâu bền, lâu bền thì đức kiêng cố vậy. Bậc thánh-nhân lâu dài với đạo mà thiên-hạ hóa thành công.
抱 朴 子 云 : 夫 節 士 不 能 使 人 敬 之 而 志 不 可 奪 也 不 能 使 人 不 憎 之 而 道 不 可 屈 也 不 能 令 人 不 辱 之 而 榮 在 我 也 不 能 令 人 不 擯 之 而 操 之 不 可 改 也 。	Chưa từng có việc không lâu bền mà có thể thành tựu đạo đức, và việc không đạo đức mà có thể gìn giữ lâu dài vậy. Sách Bão Phác Tử viết : Kẻ sĩ có khí tiết không thể khiến người cung kính mình và cũng không thể đoạt đi ý chí của họ vậy. Không thể khiến người không ghét bỏ mình và bắt họ theo một đường lối vậy. Không thể khiến người không nhục mạ mình và bắt họ mang lại vẻ vang cho ta vậy. Không thể khiến người gạt bỏ mình và bắt họ làm những việc không thể thay đổi vậy.
論 語 云 : 子 謂 子 產 有 君 子 之 道 四 焉 其 行 己 也 恭 其 事 上 也 敬 其 養 民 也 惠 其 使 民 也 義 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói về ông Tử-Sản có bốn đạo của người quân-tử. Giao thiệp với người thì giữ mình rất khiêm cung. Phụng sự bậc trên thì rất cung kính. Nuôi nấng dân thì ban ơn huệ.
周 易 云 : 隨 象 曰 澤 中 有 雷 隨 君 子 以 向 晦 入 宴 息 。	Sách Chu Dịch viết : Quẻ Tùy Tượng viết : trong đầm có sấm là quẻ Tùy, người quân-tử lấy đó gần tối vào (nhà) nghỉ ngơi. Sách Trang Tử viết : Người học đạo thì mỗi ngày một bớt đi rồi lại bớt đi để đến cảnh giới vô vi, vô vi mà không gì chẳng làm được vậy.
莊 子 云 : 為 道 者 日 損 損 之 又 損 之 以 至 於 無 為 無 為 而 無 不 為 也 天 地 有 大 美 而 不 言 四 時 有 明 法 而 不 議 萬 物 有 成 理 而 不 說 至 人 無 為 大 聖 不 作 觀 於 天 地 之 謂 也 。	Trời đất có cái đẹp lớn mà chẳng nói, bốn mùa có quy luật rõ ràng mà chẳng bàn luận, vạn vật có được lý mà chẳng nói, đến con người không làm gì, bậc đại-thánh chẳng tạo nên, đó gọi là xem xét trời đất vậy.
曾 子 云 : 曾 子 曰 君 子 立 孝 其 忠 之 用 也 禮 之 貴 也 故 為 人 子 而 不 能 孝 其 父 者 不 敢 言 人 父 不 能 畜 其 子 者 為 人 弟 而 不 能 承 其 兄 者 不 敢 言 人 兄 不 能 順 其 弟 者 為 人 臣 而 不 能 事 其 君 者 不 敢 言 人 君 不 能 使 其 臣 者 故 與 父 言 言 畜 子 與 子 言 言 孝 父 與 兄 言 言 順 弟 與 弟 言 言 承 兄 與 君 言 言 使 臣 與 臣 言 言 事 君 君 子 之 孝 也 忠 愛 以 敬 反 是 亂 也 。	Sách Tăng Tử viết : Thầy Tăng-Tử nói : Người quân-tử gây dựng nết hiếu là ở chổ dụng của lòng trung, là chổ quý của lễ. Nên người làm con mà không thể hiếu với cha, thì không dám nói với cha người về việc không thể nuôi con. Người làm em mà không thể kính phụng anh, thì không dám nói anh người về việc không thể hòa thuận với em. Người làm bề tôi mà không thể phụng sự vua, thì không dám nói vua người về việc không thể sai khiến bề tôi. Nên cùng với cha người nói, thì nói về việc nuôi con. Cùng với con người nói, thì nói về việc hiếu thảo cha. Cùng với anh người nói, thì nói về việc thuận hòa em. Cùng với em người nói, thì nói về việc kính phụng anh. Cùng với vua người nói, thì nói về việc sai khiến bề tôi. Cùng với bề tôi người nói, thì nói về việc phụng sự vua.
禮 記 云 : 夫 孝 置 之 而 塞 乎 天 地 敷 之 而 橫 乎 四 海 施 諸 後 世 而 無 朝 夕 詩 云 自 西 自 東 自 南 自 北 無 思 不 服 此 之 謂 也 。	Nết hiếu của người quân-tử là lòng trung-ái để cung kính mọi người, làm trái lại thì loạn vậy. Sách Lễ Ký viết : Hiếu đạo được gây dựng mà trời đất được lấp đầy dẫy, mở rộng mà ngang dọc đến bốn biển, lưu truyền cho hậu-thế mà không mất đi. Kinh Thi viết : “ Từ đông, từ tây. Từ nam, từ bắc. Không (ai) nghĩ chẳng phục.”
毛 詩 云 : 常 棣 之 華 萼 不 煒 煒 凡 今 之 人 莫 如 兄 弟 鶺 鴒 在 原 兄 弟 急 難 每 有 良 朋 況 也 永 歎 兄 弟 鬩 于 牆 外 禦 其 侮 。	Đó đang là nói (hiếu đạo) vậy. Sách Mao Thi viết : Hoa thường-lệ tưng bừng đua nở. Há lại không rực rỡ xinh tươi. Giờ đây tất cả những người. Thì chẳng gì bằng anh em ơi. Trên gò cao tích-linh đậu lại. Anh em đang gặp phải gian nguy. Bạn bè tốt thì có thiếu gì. Bạn thì thở dài cứu được chi. Tuy trong tường anh em chống đối. Ngăn nhục ngoài đã vội hợp nhau.
	Sách Chu Lễ viết : Thiện-phu (đầu bếp) là người giữ chức quan dâng đồ ăn uống ngon cho vua.
周 禮 云 : 膳 夫 掌 王 之 食 飲 膳 羞 大 喪 則 不 舉 大 荒 則 不 舉 大 札 則 不 舉 天 地 有 災 則 不 舉 邦 有 大 故 則 不 舉 。	Khi có tang lễ lớn thì không dâng lên (đồ ngon), năm mất mùa lớn thì không dâng lên, gặp ôn dịch lớn thì không dâng lên, trời đất có tai ương thì không dâng lên, nước nguyên nhân có việc lớn thì không dâng lên.
	Sách Phó Tử viết : Trời đất thành tín rõ rệt mà bốn mùa chẳng loạn. Mặt trời, mặt trăng thành tín rõ rệt mà sáng tối có thường. Bậc vương làm theo thành tín mà vạn-quốc lấy đó để an định. Chư-hầu theo thành tín mà nội bộ lấy đó để hòa hợp. Người quân-tử thực hiện thành tín mà bản thân lấy đó để đứng vững.
