第 二 篇 臣 道	THIÊN THỨ 2 : THẦN ĐẠO
魏 志 云 : 良 將 不 怯 死 以 茍 免 烈 士 不 毀 節 以 求 生 。	Sách Ngụy Chí viết : Tướng tốt chẳng sợ chết để thoát nạn cẩu thả, bậc liệt-sĩ chẳng hủy danh tiết để cầu sống.
左 傳 云 : 子 罕 曰 我 以 不 貪 為 寶 爾 以 玉 為 寶 若 以 與 我 皆 喪 寶 也 不 若 人 有 其 寶 。	Sách Tả Truyện viết : Ông Tử-Hãn nói : ta lấy “không tham” làm báo vật, ông lấy “ngọc” làm báo vật.
後 漢 書 云 : 故 舊 長 者 或 欲 令 為 開 產 業 震 曰 使 後 世 稱 為 清 白 吏 子 孫 以 此 遺 之 不 亦 厚 乎 。	Như lấy hai thứ cho ta thì chỉ làm (ta) mất bảo vật. Chẳng bằng mỗi người (tự) giữ lấy bảo vật (của mình). Sách Hậu Hán Thư viết : Bạn cũ và người lớn có lẽ muốn khuyên để lại sản-nghiệp, Chấn nói : hãy để người đời sau gọi chúng là con cháu của quan thanh liêm, lấy điều đó để lại chẳng phải là tốt đẹp hơn sao ?.
晉 書 云 : 州 之 北 界 有 水 名 曰 貪 泉 父 老 云 飲 此 水 者 使 廉 士 變 節 隱 之 始 踐 境 先 至 水 所 酌 而 飲 之 因 賦 詩 曰 古 人 云 此 水 一 歃 懷 千 金 試 使 夷 齊 飲 終 當 不 易 心 。	Sách Tấn Thư viết : Ở hướng bắc (Quảng) Châu có con suối tên “Tham-Tuyền”, phụ lão ở đó truyền miệng nhau rằng uống nước ở suối ấy sẽ khiến kẻ sĩ thanh liêm biến đổi khí tiết. (Ngô) Ẩn vừa đến cương giới (Quảng Châu), trước đến suối đó rót nước lên uống, nhân đó viết bài thờ rằng : “ người xưa nói uống một ngụm nước nhớ đến ngàn vàng, thí như để ông Bá-Di, Thúc-Tề uống hết thì họ cũng chẳng biến đổi lòng dạ.” Sách Hậu Hán Thư viết : Trung-thần không có lòng tư, có lòng tư không phải là trung-thần.
後 漢 書 云 : 忠 臣 不 私 私 臣 不 忠 履 正 奉 公 臣 子 之 節 。	Hành vi chánh đáng, làm theo công bằng, đó là phẩm hạnh của thần-tử.
史 記 云 : 君 語 及 之 則 危 言 語 不 及 則 危 行 國 有 道 則 順 命 無 道 則 衡 命 。	Sách Sử Ký viết : Vua bàn luận đến thì nói sợ sệt, không bàn luận đến thì làm việc lo lắng. Quốc gia có đạo thì thuận theo mệnh lệnh, còn vô đạo thì cân-nhắc theo mệnh lệnh.
晉 書 云 : 夫 殺 生 賞 罰 治 亂 所 由 興 也 人 主 所 謂 宜 生 或 不 可 生 則 人 臣 當 陳 所 以 宜 殺 人 主 所 謂 宜 賞 或 不 應 賞 則 人 臣 當 陳 所 以 宜 罰 然 後 治 道 耳 。	Sách Tấn Thư viết : Việc giết chóc, thưởng phạt, bình trị hay loạn lạc do đâu hưng khởi lên. Vua cho người nên sống hoặc chết thì bề tôi phải bài tỏ vì sao giết. Vua cho là nên thưởng hoặc không thưởng thì bề tồi phải bài tỏ vì sao phạt. Rồi sau việc cai trị theo đạo vậy.
漢 書 云 : 忠 臣 之 事 君 也 言 切 直 則 不 用 其 身 危 不 切 直 則 不 可 以 明 道 故 切 直 之 言 明 主 所 欲 急 聞 忠 臣 之 所 以 蒙 死 而 竭 智 也 。	Sách Hán Thư viết : Trung-thần phụng sự vua lời nói quả quyết thẳng thắng thì vua chẳng dùng mà thân bị nguy hiểm, còn nói chẳng quả quyết thẳng thắng thì không làm rõ được đạo lý. Nên lời nói quả quyết thẳng thắng là điều mà bậc vua sáng khẩn thiết muốn nghe, trung-thần vì lẽ ấy liều chết mà dốc kiệt trí tuệ (để nói thẳng) vậy.
左 傳 云 : 臣 治 煩 去 惑 者 也 是 以 伏 死 而 爭 。	Sách Tả Truyện viết : Bề tôi là người giúp (vua) trị phiền muộn, dẹp bỏ sự mê hoặc. Nên chấp nhận cái chết để khuyên bảo (vua).
政 要 論 云 : 夫 不 能 諫 則 君 危 固 諫 則 身 殆 賢 人 君 子 不 忍 觀 上 之 危 而 不 愛 身 之 殆 。	Sách Chính Yếu Luận viết : Không thể can gián thì vua nguy khốn, cố can gián thì bản thân nguy hiểm. Nên bậc hiền-nhân, quân-tử chẳng nhẫn tâm xem cấp trên bị nguy khốn nên (can gián thẳng) không tiếc đến mạng sống.
政 要 論 云 : 若 託 物 以 風 喻 微 生 而 不 切 不 切 則 不 改 唯 正 諫 直 諫 可 以 補 缺 也 。	Sách Chính Yếu Luận viết : Lấy sự vật để ẩn dụ thì khó hiểu và không thiết thực, không thiết thực thì không thể sửa đổi.
尸 子 云 : 國 之 所 以 不 治 者 三 不 知 用 賢 此 其 一 也 雖 知 用 賢 求 不 能 得 此 其 二 也 雖 得 賢 不 能 盡 此 其 三 也 。	Chỉ có can gián đúng, can gián thẳng mới có thể bù vào khuyết điểm đó. Sách Thi Tử viết : Quốc gia sở dĩ không an trị có ba lỗi. Chẳng biết dùng người hiền đó là lỗi thứ nhất, tuy biết dùng người hiền nhưng tìm không thấy đó lỗi thứ hai, tuy có được người hiền nhưng không biết tận dụng hết tài năng của họ đó là lỗi thứ ba.
墨 子 云 : 子 墨 子 曰 今 者 王 公 大 人 為 政 於 國 家 者 皆 欲 國 家 之 富 人 民 之 眾 刑 政 之 治 然 而 不 得 是 其 故 何 也 是 在 王 公 大 人 為 政 於 國 家 者 不 能 以 尚 賢 事 能 為 政 也 是 故 國 有 賢 良 之 士 眾 則 國 家 之 治 厚 故 大 人 之 務 將 在 於 眾 賢 而 已	Sách Mặc Tử viết : Thầy Mặc-Tử nói : thời nay bậc vương-công, đại-nhân làm chính trị quốc-gia đều muốn nước giàu, dân đông, luật pháp an trị thế mà chẳng đạt được vậy nguyên do là gì ?. Đó là tại bậc vương-công, đại-nhân làm chính trị đất nước chẳng coi trọng người hiền, còn làm được thì có thể làm chính trị vậy.
後 漢 書 云 : 古 者 取 士 諸 侯 歲 貢 孝 武 之 世 郡 舉 孝 廉 又 有 賢 良 文 學 之 選 於 是 名 臣 輩 出 文 武 並 興 漢 之 得 人 數 路 而 已 。	Cho nên nước nhiều kẻ sĩ tài giỏi thì được an trị vững vàng. Nên bậc đại-nhân nên lo tìm nhiều người hiền mà thôi. Sách Hậu Hán Thư viết : Xưa kia việc lựa chọn kẻ sĩ là của chư-hầu, họ cống nạp hàng năm. Thời vua Hiếu-Vũ các quận tiến cử người hiếu-liêm, lại có tuyển các bậc học giả tài giỏi. Thế nên các bậc danh-thần tiếp nhau xuất hiện, chính trị và quân sự phát triển hưng vượng. Nhà Hán có được nhiều người tài giỏi là theo đường lối đó mà thôi.
晉 書 云 : 古 之 官 人 君 責 之 於 上 臣 舉 之 於 下 得 其 人 有 賞 失 其 人 有 罰 安 得 不 求 賢 乎 。	Sách Tấn Thư viết : Thời xưa người làm quan được vua phụ trách tiến cử, còn quan lại thì tiến cử người ở dưới, chọn được người (tài) thì có thưởng, còn mất người (tài) thì phạt tội, (họ muốn) được an ổn lẽ nào chẳng tìm kiếm người tài ? .
晉 書 云 : 官 者 無 關 梁 邪 門 啓 矣 朝 廷 不 責 賢 正 路 塞 矣 所 謂 責 賢 使 之 相 舉 也 所 謂 關 梁 使 之 相 保 也 賢 不 舉 則 有 咎 保 不 信 亦 有 罰 有 罰 則 有 司 莫 不 悚 也 以 求 其 才 焉 。	Sách Tấn Thư viết : Việc quan không giới hạn nghiêm ngặt, thì cánh cửa gian tà sẽ mở ra. Triều-đình không đòi hỏi người hiền, thì con đường chánh đáng bế tắc. Cái gọi là đòi hỏi người hiền, là khiến tướng tá phải tiến cử (người hiền lên). Cái gọi là giới hạn nghiêm ngặt, là khiến tướng tá phải nhận trách nhiệm (khi tiến cử người hiền). Người hiền không tiến cử thì thì (quan) có tội, (quan) nhận trách nhiệm (tiến cử) chẳng thành thật thì phạt tội. Có phạt tội lẽ nào quan hữu-tư chẳng sợ hãi để tìm cầu người hiền.
政 要 論 云 : 忠 臣 之 事 主 投 命 委 身 期 於 成 功 立 事 便 國 利 民 故 不 為 難 易 變 節 安 危 革 行 也 。	Sách Chính Yếu Luận viết : Trung-thần phụng sự vua, vứt bỏ mạng sống, phó thác bản thân với mục tiêu thành công trong gây dựng sự nghiệp, để yên nước lợi dân. Nên họ chẳng vì khó mà biến đổi khí tiết, hay lúc an nguy (mà) thay đổi phẩm hạnh.
體 論 云 : 夫 為 人 臣 其 猶 土 乎 萬 物 載 焉 而 不 辭 其 重 水 瀆 污 焉 而 不 辭 其 下 草 木 殖 焉 而 不 有 其 功 此 成 功 而 不 處 為 臣 之 體 也 。	Sách Thể Luận viết : Người làm bề tôi cũng như một mảnh đất ư, nâng đỡ vạn vật mà chẳng từ chối vì trọng lượng, chứa nước bẩn ngòi rãnh mà chẳng từ chối vì thấp kém, giúp sinh trưởng cây cỏ mà chẳng cho là có công. Đó là thành công mà chẳng chỗ trụ vào, là cách làm của người làm quan vậy.
昌 言 云 : 人 之 事 君 也 言 無 小 大 無 愆 也 事 無 勞 逸 無 所 避 也 其 見 識 知 也 則 不 恃 恩 寵 而 加 敬 其 見 遺 忘 也 則 不 懷 怨 恨 而 加 勤 安 危 不 貳 其 志 險 易 不 革 其 心 孜 孜 為 此 以 沒 其 身 惡 有 為 此 人 君 長 而 憎 之 者 也 。	Sách Xương Ngôn viết : Người phụng sự vua, lời nói chẳng lớn hay nhỏ không được mắc sai lầm. Việc chẳng kể lao nhọc hay nhàn rỗi không được tránh né. Được vua biết đến thì chẳng phụ ân sủng mà càng thêm cung kính. Bị vua bỏ quên thì chẳng ôm oán-hận mà càng thêm chăm chỉ. Việc an nguy chẳng có hai chí, hay gặp hiểm nạn chẳng đổi lòng dạ. Siêng năng làm như thế cho bản thân đến suốt đời, nếu không làm như thế thì lãnh đạo sẽ ghét.
尚 書 云 : 位 弗 期 驕 祿 弗 期 侈 恭 儉 惟 德 無 載 爾 偽 。	Sách Thượng Thư viết : Có địa vị không kiêu ngạo, có bỗng lộc không xa xỉ, cung-kiệm ấy là đức, không chở kẻ gian ngụy.
墨 子 云 : 子 墨 子 曰 世 之 君 子 使 之 一 犬 一 彘 之 宰 不 能 則 辭 之 使 為 一 國 之 相 不 能 而 為 之 豈 不 悖 哉 。	Sách Mặc Tử viết : Thầy Mặc-Tử nói người quân-tử ở đời, như khiến họ giết một con chó, một con lợn, không thể làm được thì họ sẽ từ chối. Còn khiến họ làm quan tể-tướng của một nước, không thể làm được mà họ vẫn làm, há chẳng trái lẽ ư !.
論 語 云 : 柳 下 惠 為 士 師 三 黜 人 曰 子 未 可 以 去 乎 曰 直 道 而 事 人 焉 往 而 不 三 黜 枉 道 而 事 人 何 必 去 父 母 之 邦 。	Sách Luận Ngữ viết : Ông Liễu-Hạ-Huệ làm quan sĩ-sư 3 lần bị cách chức, người ta hỏi sao thầy không bỏ đi chổ khác ?, Liễu-Hạ-Huệ đáp tôi đem đạo chính trực phụng sự người, đến đâu mà chẳng bị cách chức 3 lần. Còn lấy đạo gian tà để phụ sự người, cần gì phải rời bỏ quê cha đất mẹ ?.
後 漢 書 云 : 震 中 子 秉 字 叔 節 每 朝 廷 有 得 失 輒 盡 忠 規 諫 多 見 納 用 秉 性 不 飲 酒 嘗 從 容 言 曰 我 有 三 不 惑 酒 色 財 也 。	Sách Hậu Hán Thư viết : Con giữa của Chấn tên Bỉnh, tự Thúc-Tiết. Mỗi khi triều-đình có chuyện được mất thì liền tận hết lòng khuyên can, thấy phần nhiều được tin dùng. Bỉnh tính không uống rượu, từng tuân theo ung dung nói rằng : “ta có 3 điều chẳng mê : rượu chè, sắc đẹp, tiền tài vậy.”
晉 書 云 : 世 祖 因 言 次 謂 威 曰 卿 清 孰 如 父 清 對 曰 臣 不 如 也 世 祖 曰 以 何 為 勝 邪 對 曰 臣 父 清 恐 人 知 臣 清 恐 人 不 知 是 臣 不 及 遠 也 。	Sách Tấn Thư viết : Thế-Tổ (Tư-Mã Viêm) nhân lần hai nói với Hồ-Uy rằng : khanh liêm-khiết có như cha không ?. Uy đáp : thưa thần chẳng được như cha. Thế-Tổ hỏi : vì sao ông ấy lại hơn khanh ?. Uy đáp : thưa cha thần liêm-khiết sợ người biết, còn thần liêm-khiết sợ người chẳng biết đến. Đó là điểm thần còn kém xa cha vậy.
尚 書 云 : 昔 先 正 保 衡 作 我 先 王 乃 曰 予 弗 克 俾 厥 后 惟 堯 舜 其 心 愧 恥 若 撻 于 市 一 夫 弗 獲 則 曰 時 予 之 辜 右 我 烈 祖 格 于 皇 天 。	Sách Thượng Thư viết : Xưa kia trước quan Chánh-Bảo (Y-Doãn) cân nhắc nói với tiên-vương ta rằng : “ta chẳng thể giúp vua trở thành vua Nghiêu, vua Thuấn thì lòng dạ xấu hổ, nhục nhã như bị phạt roi ở chợ. Một người chẳng được (tốt) thì nói đấy là lỗi của ta.” Làm quan giúp liệt-tổ (vua Thành-Thang) ta lẫm liệt đến tận trời.
晏 子 云 : 景 公 問 晏 子 曰 忠 臣 之 行 何 如 對 曰 選 賢 進 能 不 私 乎 內 稱 身 就 位 計 能 受 祿 睹 賢 不 居 其 上 受 祿 不 過 其 量 不 權 君 以 為 行 不 稱 位 以 為 忠 不 掩 賢 以 隱 長 不 刻 下 以 諛 上 順 即 進 否 即 退 不 與 君 行 邪 。	Sách Yến Tử viết : (Tề) Cảnh-Công hỏi ông Yến-Tử rằng : trung-thần làm việc như thế nào ?. Yến-Tử đáp : thưa tuyển người hiền, tiến cử người giỏi, không tư lợi ở trong. Thân xứng theo chức vị, có năng lực thì nhận bỗng lộc. Thấy người hiền không dám ở cao, nhận bổng lộc không vượt quá hạn lượng, không lấn quyền vua để làm việc, không khen chức vị để cho là trung, không che dấu tài của người hiền, không hiếp đáp dưới để a dua trên.
左 傳 云 : 飲 桓 公 酒 樂 公 曰 以 火 繼 之 辭 曰 臣 卜 其 晝 未 卜 其 夜 不 敢 君 子 曰 酒 以 成 禮 不 繼 以 淫 義 也 以 君 成 禮 弗 納 於 淫 仁 也 。	Thuận lợi thì tiến (làm quan), không được thì thoái (từ quan), không cùng vua làm việc gian tà. Sách Tả Truyện viết : Tề-Hoàn-Công uống rượu vui (đến tối) nói rằng : hãy thắp đèn lên, (ông Kính-Trọng) trách rằng : thần bốc quẻ vào bàn ngày, chưa từng bốc quẻ vào ban đêm nên chẳng dám làm thế. Người quân-tử nói : “uống rượu để thành lễ, không uống liên tiếp để quá phép”. Để vua uống rượu thành lễ, không dẫn vua uống quá mức đến mất cảm giác.
政 要 論 云 : 夫 諫 爭 者 所 以 納 君 於 道 矯 枉 正 非 救 上 之 謬 也 上 茍 有 謬 而 無 救 焉 則 害 於 事 害 於 事 則 危 道 也 。	Sách Chính Yếu Luận viết : Việc can gián, là giúp vua vào đường lối tốt, uốn nắn cong quẹo, sửa việc không đúng, cứu cấp trên những việc sai lầm. Nếu trên có sai lầm mà không cứu thì hại đến công việc, hại đến công việc thì đường lối nguy khốn vậy.
說 苑 云 : 易 曰 王 臣 謇 謇 匪 躬 之 故 人 臣 之 所 以 謇 謇 為 難 而 諫 其 君 者 非 為 身 也 將 欲 以 匡 君 之 過 矯 君 之 失 也 君 有 過 失 危 亡 之 萌 也 見 君 之 過 失 而 不 諫 是 輕 君 之 危 亡 也 夫 輕 君 之 危 亡 者 忠 臣 不 忍 為 也 。	Sách Thuyết Uyển viết : Kinh-Dịch viết : “vua tôi khó nói, chẳng phải cớ mình”. Người làm bề-tôi lấy sự khó nói làm vấn nạn mà can gián vua, không vì bản thân vậy. Luôn muốn sửa đổi lại sai lầm của vua, sửa chữa những tổn thất của vua. vua có sai lầm đó là mầm móng của nguy hiểm, thấy vua có sai lầm mà chẳng can gián đó là khinh nguy hiểm của vua. Việc khinh nguy hiểm của vua, trung-thần không nhẫn tâm làm vậy.
論 語 云 : 子 路 問 事 君 子 曰 勿 欺 而 犯 之 。	Sách Luận Ngữ viết : Thầy Tử-Lộ hỏi việc phụng sự vua. Đức Khổng-Tử đáp : chớ lừa vua và can gián vua khi phạm (điều xấu).
毛 詩 云 : 敬 之 群 臣 進 戒 嗣 王 也 敬 之 敬 之 天 維 顯 思 命 不 易 哉 無 曰 高 高 在 上 陟 降 厥 士 日 監 在 茲 。	Sách Mao Thi viết : (Kinh Thi, thiên Chu Tụng, chương Mẫn-Dư-Tiểu-Tử) bài thơ Kính-Chi quân-thần tiến tới khuyên răn Tự-Vương (Chu Thành Vương). “Đáng kính thay, đáng kính thay, đạo trời chân chính rõ ràng, mệnh trời giữ chẳng giữ dễ dàng, đừng cho trời cao ở tận trên không, trời hằng soi xét việc ta làm, hàng ngày luôn soi xét ở đấy.”
史 記 云 : 鮑 叔 既 進 管 仲 以 身 下 之 子 孫 世 祿 於 齊 常 為 名 大 夫 世 不 多 管 仲 之 賢 而 多 鮑 叔 能 知 人 也 。	Sách Sử Ký viết : Bào-Thúc-Nha đã tiến cử ông Quản-Trọng, để mình ở dưới thấp. Con cháu ông đời đời hưởng lộc ở nước Tề, thường làm quan đại-phu danh tiếng. Thế gian chẳng khen Quảng-Trọng là hiền mà khen Bào-Thúc-Nha giỏi nhận biết người.
晉 書 云 : 夫 推 讓 之 風 息 爭 競 之 心 生 矣 孔 子 曰 上 興 讓 則 下 不 爭 明 讓 不 興 下 必 爭 也 推 讓 之 道 興 賢 能 之 人 日 見 推 舉 爭 競 之 心 生 賢 能 之 人 日 見 謗 毀 夫 爭 者 之 欲 自 先 甚 惡 能 者 之 先 不 能 無 毀 也 。	Sách Tấn Thư viết : Phong trào khen ngợi tính khiêm nhượng nghỉ, thì lòng tranh đua sẽ nảy sinh. Đức Khổng-Tử nói : “ trên hưng khởi tính khiêm nhượng thì dưới không tranh”.
左 傳 云 : 夫 舉 無 他 唯 善 所 在 親 疏 一 也 。	Không hưng khởi tính khiêm nhượng thì dưới ắt tranh giành rõ ràng, đường lối khen ngợi tính khiêm nhượng hưng khởi, người hiền hàng ngày được tiến cử lên. Lòng tranh đua nảy sinh, người hiền hàng ngày nhận lời hủy báng. Việc tranh giành là do dục vọng quá mức, việc ghét người giỏi thì không thể không hủy báng vậy. Sách Tả Truyện viết : Việc tiến cử người không có gì khác chỉ là giỏi, dù thân hay lạ là một. Sách Hoài Nam Tử viết : Phàm phu cho rằng người hiền phải làm vui lòng vua, khi vua vui lòng thì được trọng dụng. Thế gian chẳng ai không tiến cử người hiền, có người được cảnh an trị, có người chịu cảnh loạn lạc, không phải là tự lừa mình để cầu người giống mình.
