第 六 篇 明 辨	THIÊN THỨ 6 : MINH BIỆN
文 子 云 : 百 言 百 當 不 若 舍 趣 而 審 仁 義 也 。	Sách Văn Tử viết : Trăm lời nói, trăm điều thích đáng, chẳng bằng bỏ hết sự vui thích mà xét đến việc nhân nghĩa vậy.
政 要 論 云 : 故 作 者 不 尚 其 辭 麗 而 貴 其 存 道 也 不 好 其 巧 慧 而 惡 其 傷 義 也 。	Sách Chính Yếu Luận viết : Nên tác-giả không nên tôn sùng câu từ hoa lệ mà nên quý ở đạo lý. Chẳng nên thích ở sự khéo léo, tài trí mà xét nó có làm tổn thương đạo nghĩa không.
呂 氏 春 秋 云 : 故 洪 範 曰 無 偏 無 黨 王 道 蕩 蕩 。	Sách Lã Thị Xuân Thu viết : Nên thiên Hồng-Phạm (Kinh Thư) nói : không thiên vị, không bè đảng, sự nghiệp vương-đạo bao la lồng lộng.
禮 記 云 : 賢 者 狎 而 敬 之 畏 而 愛 之 愛 而 知 其 惡 憎 而 知 其 善 。	Sách Lễ Ký viết : Người hiền đức, nên thân cận mà cung kính, sợ sệt mà yêu thương, yêu nên biết được cái xấu, ghét nên biết được cái tốt.
論 語 云 : 子 曰 君 子 泰 而 不 驕 小 人 驕 而 不 泰 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : người quân-tử thư thái mà không kiêu ngạo, kẻ tiểu-nhân kiêu ngạo mà không thư thái.
論 語 云 : 子 曰 君 子 不 以 言 舉 人 不 以 人 廢 言 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : người quân-tử không vì một lời nói mà tiến cử người, không vì (ghét) người nào đó mà bỏ đi lời nói của họ.
桓 子 新 論 云 : 得 十 良 馬 不 如 得 一 伯 樂 得 十 利 劍 不 如 得 一 歐 冶 多 得 善 物 不 如 少 得 能 知 物 知 物 者 之 致 善 珍 珍 益 廣 非 特 止 於 十 也 。	Sách Hoàn Tử Tân Luận viết : Được 10 con ngựa tốt không bằng có được một ông Bá-Lạc. Được 10 cây kiếm tốt không bằng có được một ông Âu-Dã. Được vật phẩm tốt không bằng có được ít người biết nó. Người biết vật phẩm thì làm nó càng quý giá tốt đẹp hơn, giá tiền ngày càng nhiều thêm, (nên thấy) không chỉ dừng ở con số 10 vậy.
孫 卿 子 云 : 傳 曰 不 知 其 子 視 其 友 不 知 其 君 視 其 左 右 靡 而 已 矣 。	Sách Tôn Khanh Tử viết : Sách Truyện viết : không biết người thì xem bạn họ, không biết vua thì xem bề tôi trái phải của họ. Chỉ là rạp theo mà thôi vậy.
孟 子 云 : 孟 子 曰 仁 之 勝 不 仁 也 猶 水 之 勝 火 也 今 之 為 仁 者 猶 以 一 杯 水 救 一 車 薪 之 火 也 不 息 則 謂 水 不 勝 火 者 此 與 於 不 仁 之 甚 者 也 。	Sách Mạnh Tử viết : Điều nhân thắng điều bất nhân, như nước thắng lửa. Ngày nay người ta làm điều nhân, như lấy một chén nước để dập lửa một xe củi đang cháy vậy. Thấy chẳng dập tắt được lửa, thì bảo rằng nước không thể thắng được lửa. Nói như vậy là giúp cho điều bất nhân ngày càng nhiều thêm.
周 易 云 : 將 叛 者 其 辭 慚 中 心 疑 者 其 辭 枝 吉 人 之 辭 寡 躁 人 之 辭 多 誣 善 之 人 其 辭 游 失 其 守 者 其 辭 屈 。	Sách Chu Dịch viết : Kẻ sắp tạo phản, lời nói hổ thẹn. Kẻ trong lòng nghi hoặc, lời nói tán loạn. Người tốt lành nói ít lời. Người xảo trá nói nhiều lời. Kẻ nói lời vu khống người thiện, lời nói dông-dài. Kẻ đánh mất (đạo đức), lời nói không thẳng.
尚 書 云 : 惟 上 帝 弗 常 作 善 降 之 百 祥 作 不 善 降 之 百 殃 爾 惟 德 罔 小 萬 邦 惟 慶 爾 惟 弗 德 罔 大 墮 厥 宗 。	Sách Thượng Thư viết : Lòng thượng-đế không thường định, ai làm điều thiện thì ban cho trăm việc tốt lành, ai làm điều bất thiện thì giáng cho trăm sự tai ương. Nhà vua chớ cho điều thiện nhỏ mà không làm, có khi con cháu vì đó mà suy sụp.
孔 子 家 語 云 : 存 亡 禍 福 皆 在 己 而 己 天 災 地 妖 弗 能 加 也 。	Sách Khổng Tử Gia Ngữ viết : Việc được mất, họa phúc đều tại chính mình mà ra. Còn thiên-tai, chuyện quái dị không thể tự nhiên sinh ra.
賈 子 云 : 故 見 祥 而 為 不 可 祥 必 為 禍 。	Sách Giả Tử viết : Nên thấy việc tốt mà cho là không tốt ắt sẽ gây tai họa.
尚 書 云 : 天 作 孽 猶 可 違 自 作 孽 弗 可 逭 。	Sách Thượng Thư viết : Trời giáng tai họa còn có thể tránh, tự tạo tai họa không thể thoát khỏi.
老 子 云 : 聖 人 執 左 契 而 不 責 於 人 有 德 司 契 無 德 司 徹 天 道 無 親 常 與 善 人 。	Sách Lão Tử viết : Bậc thánh-nhân cầm tờ khế-ước bên trái mà không trách người. Kẻ có đức thì chủ trì tờ khế-ước, còn vô đức thì hủy hoại nó đi. Đạo trời không thân ai, thường gia hộ cho người thiện.
後 漢 書 云 : 夫 邪 正 之 人 不 宜 共 國 亦 猶 冰 炭 不 可 同 器 。	Sách Hậu Hán Thư viết : Thường kẻ tà kiến và người chánh kiến không thể cùng nhau cộng tác lo việc nước, lại giống như băng giá và than củi không thể cùng tính chất.
淮 南 子 云 : 君 子 非 義 無 以 生 失 義 則 失 其 所 以 生 小 人 非 嗜 欲 無 以 活 失 嗜 欲 則 失 其 所 以 活 故 君 子 懼 失 義 小 人 懼 失 利 觀 其 所 懼 知 居 殊 矣 。	Sách Hoài Nam Tử viết : Người quân-tử nếu không có nhân nghĩa thì không lấy gì để sinh tồn, đánh mất nhân nghĩa thì cũng như đánh mất đi cái để sinh tồn vậy. Kẻ tiểu-nhân nếu không có lòng ham muốn thì không lấy gì để hoạt động, đánh mất lòng ham muốn thì cũng như đánh mất cái để hoạt động vậy. Nên người quân-tử sợ mất nhân nghĩa, kẻ tiểu-nhân sợ mất đi lợi ích, xem cái người sợ thì có thể biết được chổ khác biệt vậy.
劉 廙 政 論 云 : 夫 小 臣 之 欲 忠 其 主 也 知 愛 之 而 不 能 去 其 嫉 妒 之 心 又 安 能 敬 有 道 為 己 願 稷 契 之 佐 哉 。	Sách Lưu Dực Chính Luận viết : Những quan nhỏ muốn tận lòng trung với chủ nhân, nhưng họ chỉ biết yêu mà không thể bỏ đi lòng ghen ghét, lại có thể cho đó là cung kính có đạo, cho mình phò tá giống như ông Tắc, ông Tiết ư.
淮 南 子 云 : 釋 道 而 任 智 者 必 危 棄 數 而 用 材 者 必 困 。	Sách Hoài Nam Tử viết : Bỏ đi đạo lý để dựa vào trí khôn ắt gặp nguy hiểm, vứt đi phép tắc chỉ dùng tài năng ắt gặp cảnh khốn cùng.
孔 子 家 語 云 : 弓 調 而 後 求 勁 焉 馬 服 而 後 求 良 焉 士 必 愨 而 後 求 智 能 焉 不 愨 而 多 能 譬 之 豺 狼 不 可 邇 也 。	Sách Khổng Tử Gia Ngữ viết : Cây cung căng giây thích hợp mà sau mới dùng lực bắn. Con ngựa đã thuần phục mà sau mới thành ngựa tốt. Kẻ sĩ ắt thành thật mà sau mới thành người tài trí, không thành thật mà nhiều tài năng thì như loài lang sói không thể đến gần.
漢 書 云 : 夫 乘 權 席 勢 之 人 子 弟 鱗 集 於 朝 羽 翼 陰 附 者 眾 毀 譽 將 必 用 以 終 乖 離 之 咎 。	Sách Hán Thư viết : Kẻ cậy quyền ỷ thế, con cháu họ sẽ tụ tập thứ lớp ở triều đình, vây cánh nương nhờ nhiều vô số. Họ hủy báng hay khen ngợi ắt vì lợi ích, kết quả thì trái ngược, (họ chỉ muốn) xa rời sự trách móc của người.
魏 志 云 : 若 不 篤 於 至 行 而 背 本 逐 末 以 陷 浮 華 焉 以 成 朋 黨 焉 浮 華 則 有 虛 偽 之 累 朋 黨 則 有 彼 此 之 患 。	Sách Ngụy Chí viết : Như không dốc lòng hướng đến đức hạnh, đó là bỏ gốc theo ngọn, liền rơi vào điều phù-hoa, để kết thành bè đảng. Phù-hoa thì có sự phiền lụy không thật, bè đảng thì có họa hoạn đôi bên.
老 子 云 : 知 人 者 智 自 知 者 明 勝 人 者 有 力 自 勝 者 強 知 足 者 富 強 行 者 則 有 志 不 失 其 所 者 久 死 而 不 妄 者 壽 。	Sách Lão Tử viết : Biết người là trí, biết mình là sáng. Thắng người là có lực, thắng mình là mạnh. Biết đủ là giàu. Gắng làm thì có chí. Không mất cái vốn có (bản tính) thì lâu dài. Chết mà không mất là sống lâu.
左 傳 云 : 耳 不 聽 五 聲 之 和 為 聾 目 不 別 五 色 之 章 為 昧 心 不 則 德 義 之 經 為 頑 口 不 道 忠 信 之 言 為 嚚 。	Sách Tả Truyện viết : Lỗ tai không nghe được 5 âm thanh hòa nhau là tai điếc. Con mắt không phân biệt 5 màu sắc rõ rệt là mắt mờ. Tâm không theo phép tắc đức-nghĩa trong kinh là kẻ ngoan cố. Miệng không nói theo lời trung-tín là kẻ điêu ngoa.
傅 子 云 : 有 見 人 之 私 欲 必 以 正 道 嬌 之 者 正 人 之 徒 也 違 正 而 從 之 者 佞 人 之 徒 也 自 察 其 心 斯 知 佞 正 之 分 矣 。	Còn đi ngược lại với điều đúng đắn mà theo lòng tư-dục của họ, đó là đồ đệ của kẻ nịnh hót. Tự soi xét lòng mình thì liền có thể phân biệt người chánh, kẻ nịnh vậy. Sách Hoài Nam Tử viết : Thường những sự việc tương tự nhau, bậc lãnh đạo sẽ bị mê hoặc.
淮 南 子 云 : 夫 物 之 相 類 者 世 主 之 所 亂 惑 也 嫌 疑 肖 象 者 眾 人 之 所 眩 耀 也 故 狠 者 類 智 而 非 智 也 愚 者 類 君 子 而 非 君 子 也 戇 者 類 勇 而 非 勇 也 。	Những hiện tượng hiềm-nghi đại chúng sẽ bị nhầm lẫn. Nên kẻ độc ác thì tựa như người trí mà không thật trí, kẻ ngu thì tựa như người quân-tử mà thật không phải quân-tử, kẻ cương trực thì tựa như dũng cảm mà thật không dũng cảm.
呂 氏 春 秋 云 : 使 人 大 迷 惑 者 必 物 之 相 似 者 也 玉 人 之 所 患 患 石 之 似 玉 者 賢 主 之 所 患 患 人 博 聞 辯 言 而 似 通 者 亡 國 之 主 似 智 亡 國 之 臣 似 忠 似 之 物 此 愚 者 之 所 大 惑 而 聖 人 之 所 加 慮 也 。	Sách Lã Thị Xuân Thu viết : Việc khiến người bị mê-hoặc lớn nhất ắt sự vật tương-tự nhau. Việc khiến thợ làm ngọc lo, là lo đá thô nhìn tựa như ngọc quý. Việc khiến bậc hiền-chủ lo, là lo kẻ nghe nói nhiều mà nhìn tựa như người thông suốt. Ông vua sắp mất nước thì nhìn tựa như người trí. Bề tôi làm mất nước thì nhìn tựa như trung thành. Những sự việc tương-tự nhau đó, là mê hoặc lớn kẻ đối với kẻ ngu, là việc mà bậc thánh-nhân phải suy xét thêm.
劉 廙 政 論 云 : 夫 美 大 者 深 而 難 明 利 長 者 不 可 以 倉 卒 形 也 故 難 明 張 利 之 事 廢 於 世 。	Sách Lưu Dực Chính Luận viết : Thường những việc thật tốt đẹp thì hàm nghĩa sâu xa nên khó làm rõ ràng, còn việc có lợi ích lâu dài thì không thể biểu đạt trong một thời gian ngắn. Nên việc khó làm rõ ràng và có lợi ích dâu dài thường bị người đời bỏ đi.
六 韜 云 : 吾 觀 其 吏 暴 虐 殘 賊 敗 法 亂 刑 而 上 下 不 覺 此 亡 國 之 時 也 夫 上 好 貨 群 臣 好 得 而 賢 者 逃 伏 其 亂 至 矣 。	Sách Lục Thao viết : Ta quan sát quan-lại bạo-ngược, độc ác, phá hoại luật pháp, làm loạn hình phạt mà trên dưới không tỉnh ngộ thì đó là lúc sắp mất nước. Thường trên thích vật chất, thì quần-thần thích lợi ích, việc đó khiến bậc hiền-nhân trốn đi ẩn cư, loạn lạc đến vậy.
文 子 云 : 山 致 其 高 而 雲 雨 起 焉 水 致 其 深 而 蛟 龍 生 焉 君 子 致 其 道 而 德 澤 流 焉 夫 有 陰 德 者 必 有 陽 報 有 隱 行 者 必 有 昭 名 。	Sách Văn Tử viết : Núi đạt tới độ cao mà mây mưa trổi dậy. Nước đạt tới độ sâu mà loài giao-long sinh sống. Người quân-tử đạt tới đạo mà đức-trạch lưu truyền. Thường người có âm-đức ắt sẽ có dương-báo, người ẩn dấu đức hạnh ắt sẽ có danh tốt rõ rệt.
新 序 云 : 蓋 德 厚 者 報 美 怨 大 者 禍 深 故 曰 德 莫 大 於 仁 而 禍 莫 大 於 刻 。	Sách Tân Tự viết : Dường như người có đức dầy sẽ nhận quả báo tốt đẹp, người gây oán thù lớn thì họa cũng thâm. Nên nói đức không gì lớn bằng lòng nhân từ mà tai họa không gì lớn bằng sự hà khắc.
漢 書 云 : 和 氣 致 祥 乖 氣 致 異 祥 多 者 其 國 安 異 眾 者 其 國 危 。	Sách Hán Thư viết : Giữ hòa-khí thì rất tốt lành, còn trái ngược thì rất lạ thường. Việc tốt lành nhiều thì đất nước an định, còn nhiều việc lạ thường thí đất nước nguy vong.
漢 書 云 : 及 至 後 世 淫 泆 衰 微 諸 侯 背 叛 廢 德 教 而 任 刑 罰 刑 罰 不 中 則 生 邪 氣 邪 氣 積 於 下 怨 惡 蓄 於 上 上 下 不 和 陰 陽 繆 戾 而 妖 孽 生 矣 此 災 異 所 緣 而 起 也 。	Sách Hán Thư viết : Bèn đến đời sau (vua) dâm-dật đến suy-vi, chư-hầu làm phản bỏ bê việc giáo dục đạo đức mà lạm dụng hình phạt, dùng hình phạt không đúng thì sinh ra tà-khí, tà-khí tích nhiều thì dưới oán ghét lên trên, trên dưới không hòa, âm-dương hỗn loạn mà loài yêu-nghiệt sinh ra vậy. Từ đó thiên tai lạ thường nhân đó mà khởi lên.
管 子 云 : 聖 人 之 求 事 也 先 論 其 理 義 計 其 可 否 故 義 則 求 之 不 義 則 止 可 則 求 之 不 可 則 止 故 其 所 得 事 者 常 為 身 寶 小 人 求 事 也 不 論 其 理 義 不 計 其 可 否 不 義 亦 求 之 不 可 亦 求 之 故 其 所 得 事 者 未 嘗 為 賴 也 故 曰 必 得 之 事 不 足 賴 也 。	Sách Quản Tử viết : Bậc thánh-nhân muốn làm việc gì, thì trước tiên xét đến nghĩa lý và kế sách có khả thi hay không. Nên hợp nghĩa thì mong cầu, còn bất nghĩa thì dừng lại. Có thể làm thì làm, không thể làm thì dừng. Nên khi họ làm được việc thường khiến bản thân rất quý giá. Còn kẻ tiểu-nhân muốn làm việc gì, thì không xét đến nghĩa lý, không xem kế hoạch có khả thi hay không. Việc bất nghĩa cũng làm, việc không khả thi cũng làm. Nên khi họ làm được việc đã qua thì chưa từng khiến người tin cậy. Nên nói : “ ắt sẽ làm được việc, chưa đủ để tin tưởng.”
孫 卿 子 云 : 口 能 言 之 身 能 行 之 國 寶 也 口 不 能 言 身 能 行 之 國 器 也 口 能 言 之 身 不 能 行 國 用 也 口 言 善 身 行 惡 國 妖 也 治 國 者 敬 其 寶 愛 其 器 任 其 用 除 其 妖 。	Sách Tôn Khanh Tử viết : Người miệng giỏi nói, thân giỏi làm đó là quốc-bảo. Miệng không giỏi nói, thân giỏi làm đó là quốc-khí. Miệng giỏi nói, thân không giỏi làm đó là quốc-dụng. Miệng nói thiện, thân làm ác đó là quốc-yêu. Người trị nước kính quốc-bảo, yêu quốc-khí, tín nhiệm quốc-dụng và trừ bỏ quốc-yêu vậy.
潛 夫 論 云 : 夫 教 訓 者 所 以 遂 道 術 而 崇 德 義 也 今 學 問 之 士 好 語 虛 無 之 事 爭 著 雕 麗 之 文 以 求 見 異 於 世 品 人 鮮 識 從 而 尚 之 此 傷 道 德 之 實 而 惑 矇 夫 之 失 者 也 詩 賦 者 所 以 頌 善 醜 之 德 泄 哀 樂 之 情 也 故 溫 雅 以 廣 文 興 喻 以 盡 意 今 賦 頌 之 徒 茍 為 饒 辨 屈 蹇 之 辭 競 陳 誣 罔 無 然 之 事 以 索 見 怪 於 世 愚 夫 戇 士 從 而 奇 之 此 悖 孩 童 之 思 而 長 不 誠 之 言 者 也 盡 孝 悌 於 父 母 正 操 行 於 閨 門 所 以 為 列 士 也 今 多 務 交 游 以 結 黨 偷 勢 竊 名 以 取 濟 渡 夸 末 之 徒 從 而 尚 之 此 逼 貞 士 之 節 而 眩 世 俗 之 心 者 也 養 生 順 志 所 以 為 孝 也 今 多 違 志 以 儉 養 約 生 以 待 終 終 沒 之 後 乃 崇 飾 喪 紀 以 言 孝 盛 饗 賓 旅 以 求 名 誣 善 之 徒 從 而 稱 之 此 亂 孝 悌 之 真 行 而 誤 後 生 之 痛 者 也 忠 正 以 事 君 信 法 以 理 下 所 以 居 官 也 今 多 姦 諛 以 取 媚 玩 法 以 便 己 茍 得 之 徒 從 而 賢 之 此 滅 貞 良 之 行 開 亂 危 之 源 者 也 五 者 外 雖 有 賢 才 之 虛 譽 內 有 傷 道 德 之 至 實 。	Sách Tiềm Phu Luận viết : Thường việc giáo-huấn là để tuân theo đạo-thuật và tôn sùng đức nghĩa vậy. Ngày nay kẻ sĩ có học-vấn thích bàn luận những việc hư-vô, tranh nhau làm những thứ văn chương hoa lệ để mong tìm thấy sự khác biệt ở đời. Đa số người khó nhận biết, rồi hùa theo mà coi trọng, đó là những thứ thật hại nền đạo đức và làm mê hoặc kẻ mông-phu thêm sai lầm vậy. Thơ-phú là để ca tụng việc tốt xấu theo đạo đức, phát ra vui buồn theo tình cảm, nên dùng từ ôn-nhã để làm rộng thêm văn chương, thêm vào ẩn dụ để biểu đạt hết ý. Nay những người làm thơ văn tuy tiện viết ra những lời ngụy biện khó hiểu, tranh nhau thuật lại những sự việc không thật để người đời thấy khác lạ, người ngu-phu, kẻ sĩ khờ dại lại hùa theo cho là hiếm có, việc đó chỉ làm tư tưởng của con em thêm mâu thuẫn và tăng trưởng thêm những lời không thành thật vậy. Tận lực làm tròn hạnh hiếu-đễ cho cha mẹ, làm chánh phẩm-chất hành-vi chốn khuê-môn như vậy mới gọi là bậc liệt-sĩ. Nay người chỉ lo giao-du nhiều để kết bè đảng, chiếm đoạt thế lực danh tiếng để giữ lấy lợi ích, những kẻ khoa trương nhỏ hẹp lại hùa theo mà tôn sùng họ, việc đó bức hiếp khí tiết của kẻ sĩ trung-trinh và mê hoặc tâm trí của người thế-tục vậy. Việc nuôi dưỡng, thuận theo chí nguyện cha mẹ là hiếu, nay đa phần người đi ngược lại chí nguyện đó, dè sẻn tiền phụng dưỡng, hạn chế tiền lúc sống cho đến hết đời, khi chết đi thì mai táng bèn long trọng để người nói là hiếu, tiếp đãi khách viếng linh đình để mong được danh tốt, những kẻ nói tốt giả tạo lại hùa theo mà xưng tán, việc đó làm loạn sự chân thật của hạnh hiếu-đễ và làm mê hoặc người sau quá mức vậy. Lòng Trung-Chánh để phụng sự vua, tin pháp luật để trị lý dưới đó là chốn ở của người làm quan, nay lại đa phần quan là kẻ gian nịnh hót để lấy lòng trên, khinh thường luật pháp để tiện làm lợi cho mình, tùy tiện tìm những kẻ không ra gì hùa theo cho là người hiền, đó là diệt đi những hạnh tốt đẹp, mở ra căn nguyên của loạn động nguy khốn vậy. Năm điều đó, dù bên ngoài có người hiền-tài thì chỉ là hư danh, còn trong thì thật làm hại nền đạo đức.
晉 書 云 : 聖 王 深 識 人 情 而 達 治 體 故 其 稱 曰 不 以 一 眚 掩 大 德 又 曰 赦 小 過 舉 賢 才 又 曰 無 求 備 於 一 人 。	Sách Tấn Thư viết : Bậc thánh-nhân xét biết nhân-tình mà thông đạt tổng thể việc cai trị. Nên xưng rằng : “ Không để một lỗi che đức lớn”. Lại nói : “ Bỏ qua lỗi nhỏ tiến cử người hiền-tài”, Lại nói : “ Không mong một người quá hoàn hảo.”
淮 南 子 云 : 孔 子 之 通 智 過 萇 弘 勇 服 孟 賁 能 亦 多 矣 然 而 勇 力 不 聞 伎 巧 不 知 專 行 孝 道 以 成 素 王 事 亦 鮮 矣 。	Sách Hoài Nam Tử viết : Sự thông hiểu của đức Khổng-Tử vượt qua ông Trường-Hoằng, lòng dũng cảm hàn phục được ông Mạnh-Bôn, tài năng lại rất nhiều. Vậy mà lòng dũng của ngài ít người nghe, sự khéo léo không ai biết, ngài chuyên chú hành hiếu-đạo để trở thành bậc Tố-Vương, việc làm thật đơn giản vậy.
墨 子 云 : 世 之 君 子 欲 其 義 之 成 而 助 之 脩 其 身 則 慍 是 猶 欲 其 牆 之 成 而 人 助 之 築 則 慍 也 豈 不 悖 哉 。	Sách Mặc Tử viết : Người quân-tử ở đời muốn đạo nghĩa được thành tựu mà khi ai trợ giúp họ tu-thân thì lại nổi giận. Việc đó giống như muốn xây xong bức tường mà có người trợ giúp xây dựng thì tức giận vậy. Há chẳng phải trái lẽ ư !.
呂 氏 春 秋 云 : 布 衣 也 其 友 皆 孝 悌 純 謹 畏 令 如 此 者 家 必 日 益 身 必 日 安 此 所 謂 吉 人 也 事 君 也 其 友 皆 誠 信 有 行 好 善 如 此 者 事 君 日 益 官 職 日 進 此 所 謂 吉 臣 也 人 主 也 朝 臣 多 賢 左 右 多 忠 主 有 失 敢 交 爭 正 諫 如 此 者 國 日 安 主 日 尊 天 下 日 服 此 所 謂 吉 主 也 。	Sách Lã Thị Xuân Thu viết : Người thường có bạn đều có nết hiếu-đễ, chất phác, cẩn thận, sợ luật pháp như thế thì gia định họ ắt ngày càng tốt đẹp, bản thân ắt ngày càng an lạc đó gọi là người tốt vậy. Người phụng sự vua có bạn đều có nết thành-tín, có ham thích việc thiện như thế thì việc phụng sự vua của họ ngày càng tốt đẹp, chức quan ngày càng thăng tiến đó gọi là bề tôi tốt vậy. Chốn triều-đình người hiền nhiều, người thân cận trái phải trung thành nhiều thì vua có sai lầm thì họ dám khuyên can điều đúng như thế thì quốc gia ngày càng an định, vua ngày càng tôn quý, thiên-hạ ngày càng nễ phục đó gọi là vua tốt vậy.
