漢 書 云 : 眾 賢 和 於 朝 則 萬 物 和 於 野 故 四 海 之 內 靡 不 和 寧 。	Sách Hán Thư viết : Nhiều người hiền ở triều-đình hòa thì vạn vật hòa đến chốn thôn dã.
論 語 云 : 子 曰 由 汝 聞 六 言 六 蔽 乎 對 曰 未 居 吾 語 汝 好 仁 不 好 學 其 蔽 也 愚 好 智 不 好 學 其 蔽 也 蕩 好 信 不 好 學 其 蔽 也 賊 好 直 不 好 學 其 蔽 也 絞 好 勇 不 好 學 其 蔽 也 亂 好 剛 不 好 學 其 蔽 也 狂 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : Này trò Do (thầy Tử-Lộ), ngươi đã nghe 6 lời nói và 6 điều che lấp chưa ? Thầy Tử-Lộ đáp : thưa chưa. Hãy ngồi xuống ta sẽ giảng cho ngươi. Thích điều nhân mà không hiếu học là 1 điều che lấp nó làm ta ngu muội. Thích trí huệ mà không hiếu học là 1 điều che lấp nó làm ta phóng đãng. Thích thành tín mà không hiếu học là 1 điều che lấp thì chỉ gây hại thêm. Thích thẳng thắng mà không hiếu học là 1 điều che lấp nó làm ta sỗ sàng. Thích dũng mãnh mà không hiếu học là 1 điều che lấp thì chỉ gây loạn thêm.
韓 詩 外 傳 云 : 孔 子 曰 士 有 五 有 埶 尊 貴 者 有 家 富 厚 者 有 資 勇 悍 者 有 心 智 慧 者 有 貌 美 好 者 埶 尊 貴 不 以 愛 民 行 義 理 而 反 以 暴 傲 家 富 厚 不 以 振 窮 救 不 足 而 反 以 侈 靡 無 度 資 勇 悍 不 以 衛 上 攻 戰 而 反 以 侵 凌 私 鬥 心 智 慧 不 以 端 計 數 而 反 以 事 奸 飾 詐 貌 美 好 不 以 統 朝 蒞 民 而 反 以 蠱 女 從 欲 此 五 者 所 謂 士 失 其 美 質 也 。	Thích cương quyết mà không hiếu học là 1 điều che lấp thì chỉ làm ta ngông cuồng thêm. Sách Hàn Thi Ngoại Truyện viết : Đức Khổng-Tử nói : kẻ sĩ có 5 hình thế : địa vị tôn quý, gia cảnh giàu có, có lòng dũng cảm cứu giúp, tâm có trí huệ, có dung mạo đẹp đẽ. Như thế địa vị tôn quý thì họ không lấy việc yêu dân để hành nghĩa lý mà trái lại lấy ngạo mạn và hung bạo vậy. Thế gia cảnh giàu có thì họ không dễ gì cứu giúp người nghèo mà trái lại sống xa xỉ hoang phí vô độ vậy. Thế dũng cảm cứu giúp người thì họ không chiến đấu bảo vệ bậc trên mà trái lại thích xâm-lăng tranh đấu cá nhân vậy. Thế tâm có trí huệ thì họ không mưu tính kĩ lưỡng mà trái lại làm việc gian trá dối người vậy. Thế có dung mạo đẹp đẽ thì họ không thống lĩnh triều-đình đến với dân chúng mà trái lại mê hoặc nữ giới để thỏa lòng dục vậy. Năm hình thế ấy nói đến kẻ sĩ đã đánh mất đi phẩm chất tốt đẹp.
鬻 子 云 : 周 公 曰 吾 聞 之 於 政 也 知 善 不 行 者 則 謂 之 狂 知 惡 不 改 者 則 謂 之 惑 夫 狂 與 惑 者 聖 王 之 戒 也 。	Sách Dục Tử viết : Chu-Công nói : Ta nghe việc chính trị biết tốt mà không làm thị gọi là cuồng vọng, biết xấu mà không sửa đổi thì gọi là mê hoặc.
吳 志 云 : 昔 桀 紂 滅 由 妖 婦 幽 厲 亂 在 嬖 妾 先 帝 覽 之 以 為 身 戒 故 左 右 不 置 婬 邪 之 色 後 房 無 曠 積 之 女 。	Thường sự cuồng vọng và mê hoặc bậc thánh-vương nên răn phòng. Sách Ngô Chí viết : Xưa vua Kiệt, vua Trụ bị diệt vì người đàn bà đẹp. Vua Chu U-Vương, vua Chu Lệ-Vương gặp loạn bởi sủng ái tỳ thiếp. Bậc tiên-đế xem rồi lấy đó mà răn phòng bản thân, nên bên trái phải không bày ra nữ sắc dâm tà, chốn hậu-phòng không tích chứa nhiều nữ nhân.
潛 夫 論 云 : 夫 與 死 人 同 病 者 不 可 生 也 與 亡 國 同 行 者 不 可 存 也 豈 虛 言 哉 何 以 知 人 且 病 以 其 不 嗜 食 也 何 以 知 國 之 將 亂 以 其 不 嗜 賢 也 。	Sách Tiềm Phu Luận viết : Đồng bệnh với người chết thì không thể sống, đồng hành vi làm mất nước thì không thể tồn tại. Há là lời hư vô ư ! . Làm sao để biết người sắp bệnh ?, xem sự không ham thích ăn uống của họ vậy. Làm sao để biết đất nước sắp loạn lạc ?, xem việc không ham thích người hiền của họ vậy.
晏 子 云 : 能 長 保 國 者 能 終 善 者 也 諸 侯 並 立 能 終 善 者 為 長 列 士 並 立 能 終 善 者 為 師 。	Sách Yến Tử viết : Người có thể bảo vệ quốc-gia lâu dài thì có thể làm tốt đến chung cuộc. Chư-hầu tương đương nhau có thể làm tốt đến chung cuộc thì làm người đứng đầu.
周 易 云 : 勞 謙 君 子 有 終 吉 。	Bậc liệt-sĩ tương đương nhau có thể làm tốt đến chung cuộc thì làm thầy. Sách Chu Dịch viết : Người quân-tử lao nhọc mà khiêm tốn thì chung cuộc tốt lành.
崔 寔 政 論 云 : 年 榖 豐 稔 風 俗 未 乂 夫 風 俗 者 國 之 脈 診 也 不 和 誠 未 足 為 休 書 曰 雖 休 勿 休 況 不 休 而 可 休 乎 。	Sách Thôi Thực Chính Luận viết : Ngũ cốc hàng năm được mùa, phong tục chưa hẳn yên định. Phong tục ví như mạch máu của đất nước nếu như không thật hòa thì chưa đủ xem là tốt lành.
管 子 云 : 明 主 不 用 其 智 而 任 聖 人 之 智 不 用 其 力 而 任 眾 人 之 力 故 以 聖 人 之 智 思 慮 者 無 不 知 也 以 眾 人 之 力 起 事 者 無 不 成 也 能 自 去 而 因 天 下 之 智 力 起 則 身 逸 而 福 多 亂 主 獨 用 其 智 而 不 任 聖 人 之 智 獨 用 其 力 而 不 任 眾 人 之 力 故 其 身 勞 而 禍 多 故 曰 獨 任 之 國 勞 而 多 禍 。	Sách Quản Tử viết : Bậc minh-chủ không dùng trí khôn của mình mà sử dụng trí khôn của thánh-nhân, không dùng sức lực của mình mà sử dụng sức lực của mọi người. Nên lấy trí khôn của thánh-nhân để suy ngẫm thì không việc gì không biết, lấy sức lực của mọi người khởi sự thì không việc gì không thành công. Có thể bỏ đi cái ta mà dựa vào trí khôn và sức lực của người thiên-hạ để làm việc thì thân nhàn mà phúc nhiều. Bậc loạn-chủ chỉ biết dùng trí khôn của mình mà không sử dụng trí khôn của thánh-nhân, chỉ dùng sức mình mà không biết sử dụng sức lực của mọi người, nên thân lao nhọc mà tai họa nhiều.
管 子 云 : 國 之 所 以 亂 者 四 內 有 疑 妻 之 妾 此 宮 亂 也 庶 有 疑 嫡 之 子 此 家 亂 也 朝 有 疑 相 之 臣 此 國 亂 也 任 官 無 能 此 眾 亂 也 四 者 無 別 主 失 其 體 群 官 朋 黨 以 懷 其 私 則 失 疆 故 妻 必 定 子 必 正 相 必 直 立 以 聽 官 必 忠 信 以 敬 。	Do đó chỉ làm việc nước một mình thì lao nhọc mà nhiều tai họa. Sách Quản Tử viết : Quốc gia loạn lạc có 4 nguyên nhân : (1)Trong vợ cả và vợ thứ tranh nhau địa vị việc đó gây loạn chốn cung đình. (2) Con vợ thứ địa vị giống con vợ cả việc đó làm loạn gia đình. (3) Triều đình bề tôi thân cận có quyền lực như quan tể tướng việc đó làm loạn quốc gia. (4) Quan viên được trọng dụng không tài năng việc đó làm loạn đại chúng. 4 nguyên nhân không phân biệt thì vua mất đi bản thể, quần-thần kết bè đảng để mong làm việc riêng sẽ khiến (vua) mất đi quyền hạn. Nên vợ cả ắt phải ấn định địa vị , con vợ cả ắt phải đúng địa vị, quyền hạn quan tể tướng ắt phải rõ ràng, quan lại ắt trung tín để cung kính làm việc.
六 韜 云 : 殷 君 喜 以 人 餧 虎 喜 割 人 心 喜 殺 孕 婦 喜 殺 人 之 父 孤 人 之 子 喜 奪 喜 誣 以 信 為 欺 欺 者 為 真 以 忠 為 不 忠 忠 諫 者 死 阿 諛 者 賞 以 君 子 為 下 急 令 暴 取 好 田 獵 出 入 不 時 喜 治 宮 室 脩 臺 池 日 夜 無 已 喜 為 酒 池 肉 林 糟 丘 而 牛 飲 者 三 千 飲 人 無 長 幼 之 序 貴 賤 之 禮 喜 聽 讒 用 舉 無 功 者 賞 無 德 者 富 所 愛 專 制 而 擅 令 無 禮 義 無 忠 信 無 聖 人 無 賢 士 無 法 度 無 升 斛 無 尺 丈 無 稱 衡 此 殷 國 之 大 妖 也 。	Sách Lục Thao viết : Vua nhà Ân vui khi lấy người làm mồi cho hổ ăn, vui khi mổ tim người, vui khi mổ bụng thai phụ, vui khi giết cha người khiến con họ mồ côi, vui thích chiếm đoạt, vui thích vu oan. Coi thường thành tín, xem lừa dối là chân thực. Trung thành cho là bất trung, người hết lòng can gián thì bị tội chết, kẻ nịnh hót thì được thưởng. Xem người quân-tử là thấp kém, lệnh gấp thì nóng nảy tự làm, thích săn bắn, ra vào không đúng thời điểm. Vui thích sửa cung điện treo thịt khô trong tòa lâu có hồ nước từ sáng đến tối không thôi. Vui khi lấy rượu đổ vào hồ, thịt nhiều như rừng, bã rượu cao như gò và còn gọi người uống đến 3000 người, người uống không biết thứ tự lớn nhỏ, không biết lễ tiết sang hèn. Vui nghe gièm pha rồi trọng dụng tiến cử, người vô công được thưởng, kẻ vô đức được giàu. Thích chuyên quyền mà tự ý ra lệnh, không lễ nghĩa, không trung tín, không học theo bậc thánh-nhân, không nghe theo bậc hiền-sĩ, nước không pháp luật, không có tiêu chuẩn cân nặng, không có tiêu chuẩn độ dài, không có dụng cụ cân đo.
吳 志 云 : 昔 秦 所 以 亡 天 下 者 但 坐 賞 輕 而 罰 重 刑 政 錯 亂 民 力 盡 於 奢 侈 目 眩 於 美 色 志 濁 於 財 寶 邪 臣 在 位 賢 哲 隱 藏 百 姓 業 業 天 下 苦 之 是 以 遂 有 覆 巢 破 卵 之 憂 漢 所 以 疆 者 躬 行 誠 信 聽 諫 納 賢 惠 及 負 薪 躬 請 巖 穴 廣 採 博 察 以 成 其 謀 此 往 事 之 明 證 也 。	Đó là những việc lạ thường của nhà Ân vậy. Sách Ngô Chí viết : Xưa kia nhà Tần sở sĩ mất thiên-hạ chỉ vì coi thường việc khen thưởng mà xem trọng hình phạt nên chính trị thác loạn. Vua dốc hết sức dân làm việc xa xỉ, mắt đắm đuối theo sắc đẹp, ý chí hoen bẩn theo tiền tài vật chất, bề tôi gian trá tại vị, người hiền phải lẩn trốn, dân chúng lo sợ không yên, thiên-hạ khổ cực, cho nên bèn gặp phải mối lo bị người lật đổ. Nhà Hán sở dĩ có được đất đai là vì làm theo hạnh thành-tín, lắng nghe lời can gián, dung nạp người hiền, ban ơn huệ đến cả người thấp hèn, cung thỉnh người tài xuống núi, nghe nhiều xét rộng để thành công trong mưu lược.
尉 繚 子 云 : 王 國 富 民 霸 國 富 士 僅 存 之 國 富 大 夫 亡 國 富 倉 府 是 謂 上 溢 而 下 漏 故 患 無 所 救 。	Đó là minh chứng của việc đã qua vậy. Sách Úy Liễu Tử viết : Bậc Vương làm dân trong nước sung túc, bậc Bá làm kẻ sĩ trong nước sung túc, đất nước còn thì làm sung túc quan đại-phu, đất nước diệt vong thì làm sung túc kho lẫm. Đó gọi là trên dư giả thì dưới thiếu thốn nên khi gặp họa hoạn thì không thể cứu vãng.
左 傳 云 : 仲 叔 于 奚 救 孫 桓 子 桓 子 是 以 免 既 衛 人 賞 之 以 邑 辭 請 曲 縣 繁 纓 以 朝 許 之 仲 尼 聞 之 曰 惜 也 不 如 多 與 之 邑 唯 器 與 名 不 可 以 假 人 君 之 所 司 也 政 之 大 節 也 若 以 假 人 與 人 政 也 政 亡 則 國 家 從 之 不 可 止 也 已 。	Đức Trọng-Ni nghe được nói rằng : thật tiếc !, không bằng cho ông ta thêm nhiều ấp nữa. Khí cụ và danh hiệu không thể cho người dù vua là người nắm giữ. Chính trị là việc trọng đại, tùy tiện ban thưởng cho người cũng như trao quyền làm chính trị cho họ vậy. Quyền chính trị mất thì quốc gia theo đó (mất theo) không thể cứu vãn được nữa. Sách Hậu Hán Thư viết : Người sinh ra đã giàu thì kiêu (căng), người sinh ra đã sang thì ngạo (mạn).
後 漢 書 云 : 生 而 富 者 驕 生 而 貴 者 傲 生 富 貴 而 能 不 驕 傲 者 未 之 有 也 今 寵 祿 初 隆 百 僚 觀 行 當 堯 舜 之 盛 世 處 光 華 之 顯 時 豈 可 不 庶 幾 夙 夜 以 永 終 譽 。	Giàu sang mà có thể không kiêu ngạo là việc chưa từng có. Nay sự ân sủng, bổng lộc (của ngài) chỉ mới hưng khởi, trăm quan xem hành vi (của ngài) đáng như thời thịnh thế của vua Nghiêu, vua Thuấn một thời vẻ vang hiển hách, há (ngài) lại không ngày đêm siêng năng để sự khen ngợi ấy vĩnh cửu đến cùng. Sách Bão Phác Tử viết : Xưa kia Trần-Linh-Công bị tên bắn, họ Quán bị họa diệt tộc, vả chăng trời giáng xuống mà thực sự do cái miệng gây nên.
抱 朴 子 云 : 昔 陳 靈 之 被 矢 灌 氏 之 泯 族 匪 降 自 天 口 實 為 之 樞 機 之 發 榮 辱 之 主 三 緘 之 戒 豈 欺 我 哉 。	Nó là phần trọng yếu phát ra vinh hay nhục, điều răn uốn lưỡi ba lần trước khi nói há lại gạt ta ư !.
