第 四 篇 為 政	THIÊN THỨ 4 : VI CHÁNH
孔 子 家 語 云 : 孔 子 曰 行 己 有 六 本 焉 然 後 為 君 子 立 身 有 義 矣 而 孝 為 本 喪 紀 有 禮 矣 而 哀 為 本 戰 陳 有 列 矣 而 勇 為 本 治 政 有 理 矣 而 農 為 本 居 國 有 道 矣 而 嗣 為 本 生 財 有 時 矣 而 力 為 本 置 本 不 固 無 務 豐 末 親 戚 不 悅 無 務 外 交 事 不 始 終 無 務 多 業 反 本 修 跡 君 子 之 道 也 。	Sách Khổng Tử Gia Ngữ viết : Đức Khổng-Tử nói : Hạnh tốt của bản thân có 6 điều căn gốc (làm được) rồi sau mới là người quân-tử. 1.Gây dựng cuộc sống có nghĩa mà lấy hiếu làm gốc, 2.Việc tang sự có lễ mà lấy thương tiếc làm gốc. 3.Việc chiến trận có kỷ luật mà lấy dũng cảm làm gốc. 4.Việc chính trị có lý mà lấy nghề nông làm gốc. 5.Quốc gia có đạo mà lập người kế tục làm gốc. 6.Tiền của làm ra có thời mà lấy tận lực làm gốc.
蜀 志 云 : 諸 葛 亮 之 為 相 國 也 撫 百 姓 示 義 軌 約 官 職 從 權 制 開 誠 心 布 公 道 盡 忠 益 時 者 雖 讎 必 賞 犯 法 怠 慢 者 雖 親 必 罰 服 罪 輸 情 者 雖 重 必 釋 遊 辭 巧 飾 者 雖 輕 必 戮 善 無 微 而 不 賞 惡 無 纖 而 不 貶 庶 事 精 練 物 理 其 本 循 名 責 實 虛 偽 不 齒 終 於 邦 域 之 內 咸 畏 而 愛 之 刑 政 雖 峻 而 無 怨 者 以 其 用 心 平 而 勸 戒 明 也 可 謂 識 治 之 良 才 管 蕭 之 亞 匹 矣 。	Sắp đặt căn gốc không vững thì không thể lo cành ngọn đầy đủ, thân-thích không hòa thuận thì không thể lo chuyện ngoại giao, làm việc không thủy-chung thì không lo được nhiều nghề nghiệp. Trở về căn gốc tu sửa những vết tích (lầm lỗi) là đạo của người quân-tử vậy. Sách Thục Chí viết : Gia-Cát-Lượng làm tướng quốc, thường an ủi dân chúng, làm rõ quy củ việc nghĩa, tinh giảm quan chức, tuân theo quyền hạn đã chế định, khai mở lòng thành, làm việc công bằng. Người tận trung có ích cho đất nước dù là kẻ thù ắt sẽ khen thưởng, người phạm pháp lười biếng dù là kẻ thân thích ắt sẽ phạt tội. Người biết nhận tội hối cải dù tội nặng ắt sẽ giảm nhẹ, người xảo trá che dấu dù tội nhẹ ắt sẽ sử nghiêm khắc. Việc tốt dù nhỏ cũng khen thưởng, việc xấu dù bé cũng trách phạt. Ngài tinh thông nhiều việc, có kinh nghiệm xử lý việc từ gốc rễ, theo danh mà biết sự thật, chuyện không thật không coi trọng. Chung cuộc trong phạm vi đất nước (Thục) hết thẩy đều kính nể và yêu quí ngài. Hình phạt dù nghiêm ngặt mà không ai oán bởi ngài dùng lòng công bình mà khuyên răn rõ ràng. Có thể nói ngài là bậc nhân tài hiểu biết việc trị nước sánh ngang với Quản-Trọng và Tiêu-Hà vậy.
孝 經 云 : 子 曰 夫 孝 德 之 本 也 教 之 所 由 生 也 。	Sách Hiếu Kinh viết : Đức Khổng-Tử nói : Hiếu là gốc của đức, giáo học từ đó sinh ra vậy.
孝 經 云 : 子 曰 君 子 之 事 親 孝 故 忠 可 移 於 君 事 兄 悌 故 順 可 移 於 長 居 家 理 故 治 可 移 於 官 是 以 行 成 於 內 而 名 立 於 後 世 矣 。	Sách Hiếu Kinh viết : Đức Khổng-Tử nói : Người quân-tử phụng sự cha mẹ hiếu (thảo) nên hạnh trung có thể dời đến vua, phụng sự anh đễ (kính thuận) nên hạnh thuận có thể dời đến bậc lớn, ở nhà biết trị lý nên hạnh trị lý có thể dời đến lúc làm quan. Do đó (3) hạnh tốt thành ở trong mà danh tiếng gây dựng đến đời sau vậy.
後 漢 書 云 : 孔 子 曰 事 親 孝 故 忠 可 移 於 君 是 以 求 忠 臣 必 於 孝 子 之 門 。	Sách Hậu Hán Thư viết : Đức Khổng-Tử nói phụng sự cha mẹ hiếu nên lòng trung có thể dời đến vua. Do đó muốn cầu trung thần ắt phải tìm nơi cổng nhà có con hiếu.
孔 子 家 語 云 : 夫 知 為 人 子 者 然 後 可 以 為 人 父 知 為 人 臣 者 然 後 可 以 為 人 君 知 事 人 者 然 後 可 以 使 人 。	Sách Khổng Tử Gia Ngữ viết : Người biết làm con rồi sau mới có thể làm cha, người biết làm bề tôi rồi sau mới có thể làm vua, người biết phụng sự người rồi sau mới có thể sai khiến người.
論 語 云 : 曾 子 曰 慎 終 追 遠 民 德 歸 厚 。	Sách Luận Ngữ viết : Thầy Tăng-Tử nói : cẩn thận làm tang lễ cho cha mẹ khi qua đời, thành tâm cúng tế tổ tiên thì đạo đức nhân dân ngày càng thuần hậu.
呂 氏 春 秋 云 : 水 泉 深 則 魚 鱉 歸 之 樹 木 盛 則 飛 鳥 歸 之 庶 草 茂 則 禽 獸 歸 之 人 主 賢 則 豪 桀 歸 之 。	Sách Lã Thị Xuân Thu viết : Sông nước sâu thì cá và ba ba đến sống, cây cối nhiều thì chim bay đến đậu, đồng cỏ tốt tươi thì cầm thú đến ăn, lãnh đạo hiền thì các bậc hào-kiệt đến trợ giúp.
劉 廙 政 論 云 : 夫 為 政 者 莫 善 於 清 其 吏 也 。	Sách Lưu Dực Chính Luận viết : Làm chính trị chẳng gì tốt bằng làm sạch bộ máy quan lại (cai trị).
論 語 云 : 子 貢 問 政 子 曰 足 食 足 兵 民 信 之 矣 子 貢 曰 必 不 得 已 而 去 於 斯 三 者 何 先 曰 去 兵 曰 必 不 得 已 而 去 於 斯 二 者 何 先 曰 去 食 自 古 皆 有 死 民 不 信 不 立 。	Sách Luận Ngữ viết : Thầy Tử-Cống hỏi việc chính trị. Đức Khổng-Tử đáp : đủ lương thực, đủ quân đội, dân tín nhiệm. Thầy Tử-Cống hỏi : thưa nếu bỏ một trong ba việc trên thì bỏ việc gì trước ?. Đức Khổng-Tử đáp : bỏ quân đội. Thầy Tử-Cống hỏi tiếp: thưa nếu tiếp tục bỏ một trong hai việc trên thì bỏ bỏ việc gì trước ?. Đức Khổng-Tử đáp : bỏ lương thực. Từ xưa đến nay ai mà không chết nhưng mất đi sự tính nhiệm của dân thì chẳng làm được gì.
呂 氏 春 秋 云 : 凡 論 人 通 則 觀 其 所 禮 貴 則 觀 其 所 進 富 則 觀 其 所 養 聽 則 觀 其 所 行 近 則 觀 其 所 好 習 則 觀 其 所 言 窮 則 觀 其 所 不 受 賤 則 觀 其 所 不 為 喜 之 以 驗 其 守 樂 之 以 驗 其 僻 怒 之 以 驗 其 節 懼 之 以 驗 其 特 哀 之 以 驗 其 仁 苦 之 以 驗 其 志 八 觀 六 驗 此 賢 主 之 所 以 論 人 也 論 人 必 以 六 戚 四 隱 何 謂 六 戚 父 母 兄 弟 妻 子 何 謂 四 隱 交 友 故 舊 邑 里 門 廊 內 則 用 六 戚 四 隱 外 則 以 八 觀 六 驗 人 之 情 偽 貪 鄙 羨 美 無 所 失 矣 此 先 聖 王 之 所 以 知 人 也 。	Sách Lã Thị Xuân Thu viết : Thường luận về một người, lúc thành đạt quán đến lễ mạo, lúc quý hiển quán đến người họ tiến cử, lúc giàu quán đến người họ nuôi dưỡng, lúc nghe thì quán đến việc họ đang làm, lúc gần thì quán đến sở thích của họ, lúc luyện tập thì quán đến lời nói, lúc khốn cùng thì quán đến vật không nhận, lúc nghèo hèn thì quán đến việc không làm. Khi vui thì nghiệm quy củ, khi thích thì nghiệm cái xấu, khi giận thì nghiệm tiết tháo, khi sợ thì nghiệm sự khác biệt, khi buồn thì nghiệm lòng nhân, khi khổ thì nghiệm chí hướng. Đó là 8 phép quán và 6 phép nghiệm để bậc hiền-chủ luận về một người. Luận người ắt phải cần thêm 6 phép thích và 4 phép ẩn nữa. Thế nào là 6 phép thích ? đó là cha, mẹ, anh, em, vợ, con. Thế nào là 4 phép ẩn ? đó là bạn kết giao, bạn bè củ, đồng hương, người thân cận. Trong thì dùng 6 phép thích và 4 phép ẩn, ngoài thì lấy 8 phép quán và 6 phép nghiệm để nhận biết nhân tình như dối trá, tham lam, thô bỉ, thiện ác thì không sai lầm vậy. Đó là cách mà bậc thánh-vương dùng để nhận biết người.
晏 子 云 : 景 公 問 求 賢 晏 子 對 曰 通 則 視 其 所 舉 窮 則 視 其 所 不 為 富 則 視 其 所 分 貧 則 視 其 所 不 取 夫 上 難 進 而 易 退 也 其 次 易 進 而 易 退 也 其 下 易 進 而 難 退 也 以 此 數 物 者 取 人 其 可 乎 。	Sách Yến Tử viết : Tề-Cảnh-Công hỏi cách tìm người hiền. Yến-Tử đáp : thưa thuận lợi thì xem người được tiến cử, khốn cùng thì xem việc không làm, giàu có thì xem cách phân chia, nghèo khó thì xem thứ không lấy. Bậc thượng khó làm quan mà cũng dễ từ quan, bậc kế dễ làm quan mà cũng dễ từ quan, bậc hạ dễ làm quan mà cũng khó từ quan. Lấy đó để đánh giá tuyển chọn người hiền thì có thể được vậy !.
史 記 云 : 居 視 其 所 親 富 視 其 所 與 達 視 其 所 舉 窮 視 其 所 不 為 貧 視 其 所 不 取 五 者 足 以 定 之 矣 。	Sách Sử Ký viết : Lúc sống xem người họ thân, lúc giàu xem người chơi cùng, lúc phát đạt xem người họ tiến cử, lúc khốn cùng xem việc họ không làm, lúc nghèo khó xem thứ họ không lấy. Năm điều đó đủ để đánh giá người vậy.
六 韜 云 : 一 曰 微 察 問 之 以 言 觀 其 辭 二 曰 窮 之 以 辭 以 觀 其 變 三 曰 與 之 間 謀 以 觀 其 誠 四 曰 明 白 顯 問 以 觀 其 德 五 曰 使 之 以 財 以 觀 其 貪 六 曰 試 之 以 色 以 觀 其 貞 七 曰 告 之 以 難 觀 其 勇 八 曰 醉 之 以 酒 以 觀 其 態 八 徵 皆 備 則 賢 不 肖 別 矣 。	Sách Lục Thao viết : Thứ nhất hỏi những việc nhỏ nhặt để họ nói, xem cách trả lời. Thứ hai hỏi cho bắt bí, xem cách ứng biến. Thứ ba cùng họ mưu tính, xem sự thành thật. Thứ tư hỏi rõ ràng minh bạch, xem phẩm chất đức. Thứ năm để họ giữ tiền của, xem lòng tham. Thứ sáu dùng nữ sắc dụ họ, xem sự trinh bạch. Thứ bảy báo cho họ việc khó, xem sự dũng cảm. Thứ tám chuốc rượu cho họ say, xem thái độ. 8 phương pháp này đều được làm đủ thì người hiền hay không hiền phân biệt được vậy.
傅 子 云 : 故 聽 言 不 如 觀 事 觀 事 不 如 觀 行 聽 言 必 審 其 本 觀 事 必 挍 其 實 觀 行 必 考 其 跡 參 三 者 而 詳 之 近 少 失 矣 。	Sách Phó Tử viết : Nên nghe nói không bằng xem việc, xem việc không bằng coi hành vi. Nghe nói ắt phải xét rõ gốc, xem việc ắt phải rõ ràng thực tế, coi hành vi ắt phải khảo sát dấu tích. Tham thấu ba việc này tường tận thì không mắc sai lầm vậy.
傅 子 云 : 昔 人 知 居 上 取 士 之 難 故 虛 心 而 不 聽 知 在 下 相 接 之 易 故 因 人 以 致 人 。	Sách Phó Tử viết : Ngày xưa người ta biết ở ngôi cao thì khó có được kẻ sĩ, nên họ để tâm rỗng không làm thinh. Vì biết được cấp dưới giao tiếp sẽ dễ hơn, nên nhân vì cấp dưới để mời kẻ sĩ đến vậy.
晉 書 云 : 任 己 則 有 不 識 之 蔽 聽 受 則 有 彼 此 之 偏 所 知 者 以 愛 憎 奪 其 平 所 不 知 者 以 人 事 亂 其 度 。	Sách Tấn Thư viết : Cho mình đúng thì không nhận thức được sai lầm, nghe nhận không rõ thì xử lý việc đó đây bị thiên lệch. Người biết vì yêu ghét mà đoạt đi lẽ công bình, kẻ không biết vì quan hệ mà làm loạn đi pháp độ.
論 語 云 : 子 曰 鄙 夫 可 與 事 君 也 哉 其 未 得 之 也 患 得 之 既 得 之 患 失 之 茍 患 失 之 無 所 不 之 矣 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : Có thể cùng với kẻ lòng dạ hẹp hòi phụng sự vua được không ?, lúc chưa được (chức vị bổng lộc) thì cố lo cho được, khi có được rồi thi lo sợ sẽ mất đi. Sợ mất thì có chuyện xấu gì mà không dám làm.
論 語 云 : 哀 公 曰 何 為 則 民 服 孔 子 對 曰 舉 直 錯 諸 枉 則 民 服 舉 枉 錯 諸 直 則 民 不 服 。	Sách Luận Ngữ viết : Lỗ-Ai-Công hỏi : làm thế nào để dân phục ?. Đức Khổng-Tử đáp : thưa tiến cử người ngay thẳng, bỏ đi kẻ gian ác thì dân phục. Còn tiến cử kẻ gian ác, bỏ đi người ngay thẳng thì dân không phục.
後 漢 書 云 : 天 下 樞 要 在 於 尚 書 尚 書 之 選 豈 可 不 重 而 間 者 多 從 郎 官 超 升 此 位 雖 曉 習 文 法 長 於 應 對 然 察 察 小 惠 類 無 大 能 宜 簡 嘗 歷 州 宰 素 有 名 者 雖 進 退 舒 遲 時 有 不 逮 然 端 心 向 公 奉 職 周 密 。	Sách Hậu Hán Thư viết : Chức vị trọng yếu trong thiên hạ là quan thượng-thư, tuyển chọn quan thượng-thư há không thận trọng ?. Thế mà lúc tuyển chức quan đó phần nhiều người ta chọn các lang-quan dù họ thông hiểu văn pháp, ứng đối nhiều, nhưng xét kỷ thì toàn là khôn vặt, nhiều khi không có năng lực gì lớn. Nên chọn những quan viên có danh từng làm việc ở các châu huyện, dù họ ăn nói chậm chạp có lúc không bằng ai, nhưng một lòng hướng về công việc, nhậm chức thì làm việc chu đáo.
周 書 云 : 以 言 取 人 人 飾 其 言 以 行 取 人 人 竭 其 行 飾 言 無 庸 竭 行 有 成 。	Sách Chu Thư viết : Lấy lời tụ người thì người chau chuốt lời nói. Lấy việc tụ người thì người kiệt sức làm việc. Chau chuốt lời nói không được gì, kiệt sức làm việc thì có thành công.
晏 子 云 : 故 明 王 之 任 人 諂 諛 不 邇 乎 左 右 阿 黨 不 治 乎 本 朝 任 人 之 長 不 強 其 短 任 人 之 工 不 強 其 拙 此 任 人 之 大 略 也 。	Sách Yến Tử viết : Nên vua sáng dùng người thì không để kẻ nịnh hót ở bên cạnh, vây cánh bè đảng không được đảm nhiệm việc triều chính. Dùng người biết phát huy sở trường, không gắng gượng với những khuyết điểm của họ. Dùng người biết khéo léo làm việc, không gắng gượng với những chổ vụng về của họ. Đó sách lược dùng người vậy.
典 語 云 : 故 選 不 可 以 不 精 任 之 不 可 以 不 信 進 不 可 以 不 禮 退 之 不 可 以 權 辱 。	Sách Điển Ngữ viết : Nên việc tuyển chọn quan lại không thể không kỹ càng, khi giao chức vị không thể không tín nhiệm họ, khi họ làm quan không thể không dùng lễ, khi họ từ quan không thể để bị nhục.
劉 廙 政 論 云 : 故 知 清 而 不 知 所 以 重 其 祿 者 則 欺 而 濁 知 重 其 祿 而 不 知 所 少 其 吏 者 則 竭 而 不 足 知 少 其 吏 而 不 知 所 以 盡 其 力 者 則 事 繁 而 職 闕 。	Sách Lưu Dực Chính Luận viết : Nên biết đến thanh liêm mà không biết ban bổng lộc trọng hậu thì quan lại tham ô nhơ bẩn. Biết ban thưởng bổng lộc trọng hậu mà không biết tinh giảm quan lại thì cạn kiệt ngân khố đến không đủ dùng. Biết tinh giảm quan lại mà không biết tận dụng hết năng lực của họ thì lắm việc mà chức quan thì bỏ không.
	Sách Quản Tử viết : Nên người đức dày mà ở địa vị thấp thì gọi là quá đáng.
管 子 云 : 故 德 厚 而 位 卑 者 謂 之 過 德 薄 而 位 尊 者 謂 之 失 寧 過 於 君 子 而 無 失 於 小 人 過 於 君 子 其 為 怨 淺 矣 失 於 小 人 其 為 禍 深 矣 。	Người đức mỏng mà ở địa vị cao thì gọi là tổn thất. Thà gây quá đáng cho người quân-tử, chứ không chịu tổn thất cho kẻ tiểu-nhân. Việc làm quá đáng cho người quân-tử thì chỉ gây oán nông cạn. Việc gây tổn thất cho kẻ tiểu-nhân thì gây họa thâm xâu vậy.
