第 五 篇 敬 慎	THIÊN THỨ 5 : KÍNH THẬN
鶡 冠 子 云 : 煖 曰 王 獨 不 聞 魏 文 侯 之 問 扁 鵲 耶 曰 子 昆 弟 三 人 其 孰 最 善 為 醫 扁 鵲 曰 長 兄 最 善 中 兄 次 之 扁 鵲 最 為 下 也 文 侯 曰 可 得 聞 耶 扁 鵲 曰 長 兄 於 病 視 神 未 有 形 而 除 之 故 名 不 出 於 家 中 兄 治 病 其 在 毫 毛 故 名 不 出 於 閭 若 扁 鵲 者 鑱 血 脈 投 毒 藥 割 肌 膚 而 名 出 聞 於 諸 侯 。	Sách Hạt Quan Tử viết : Noãn nói : đại vương chưa từng nghe chuyện Ngụy-Văn-Hầu hỏi ông Biển-Thước ư ?. Có lần Ngụy-Văn Hầu hỏi rằng : trong ba anh em nhà khanh ai chữa bệnh giỏi nhất ?. Biển-Thước đáp : thưa đại ca là giỏi nhất, tiếp đến nhị ca còn Biển-Thước là thấp nhất. Ngụy-Văn-Hầu hỏi : có thể nói rõ hơn không ?. Biển-Thước đáp : thưa đại ca nhìn thần sắc mà đoán được bệnh, lúc bệnh chưa có hình (chưa phát tác) mà đã kịp giải trừ, nên danh tiếng không ra khỏi nhà. Còn nhị ca trị bệnh tại thời điểm mới bắt đầu, nên danh tiếng không ra khỏi cổng làng. Còn như Biển-Thước chít máu kinh mạch, sử dụng độc-dược, cắt xẻo da thịt nên danh tiếng vang khắp các nước chư-hầu.
漢 書 云 : 眾 賢 和 於 朝 則 萬 物 和 於 野 故 四 海 之 內 靡 不 和 寧 。	Sách Hán Thư viết : Nhiều người hiền ở triều-đình hòa thì vạn vật hòa đến chốn thôn dã.
申 鑒 云 : 君 臣 親 而 有 禮 百 僚 和 而 不 同 讓 而 不 爭 勤 而 不 怨 無 事 唯 職 是 司 此 治 國 之 風 也 。	Sách Thân Giám viết : Vua tôi thân thiết mà có lễ, trăm quan hòa thuận mà không đồng, khiêm nhường mà không tranh, chăm chỉ mà không oán, không việc nhưng biết được chức trách, đó là phong hóa của việc trị nước.
後 漢 書 云 : 古 之 進 者 有 德 有 命 今 之 進 者 唯 財 與 力 。	Sách Hậu Hán Thư viết : Thời xưa người ra làm quan có đức, có mệnh . Thời nay người ra làm quan chỉ tiền và thế lực.
周 易 云 : 上 慢 下 暴 盜 思 伐 之 矣 慢 藏 誨 盜 治 容 誨 淫 。	Sách Chu Dịch viết : Trên ngạo mạng, dưới thô bạo giặc cướp nghĩ đến đánh dẹp.
中 論 云 : 民 之 過 在 於 哀 死 而 不 愛 生 悔 往 而 不 慎 來 善 語 乎 已 然 好 爭 乎 遂 事 墮 今 日 而 懈 於 後 旬 如 斯 以 及 於 老 。	Khinh mạng là khơi dậy trộm cắp, trang điểm quá mức là khơi dậy dâm loạn. Sách Trung Luận viết : Sai lầm của người là buồn lúc chết mà không thích lúc sống, hối hận việc đã qua mà không dè chừng việc sắp đến. Cái tốt cho là hiển nhiên, thích cạnh tranh cho mau xong việc, sa đọa trong ngày hôm nay mà biếng nhác việc sang tuần, cứ làm như thế cho đến già.
後 漢 書 云 : 黃 石 公 記 曰 柔 能 制 剛 弱 能 制 強 柔 者 德 也 剛 者 賊 也 弱 者 仁 之 助 也 強 者 怨 之 歸 也 舍 近 謀 遠 者 勞 而 無 功 舍 遠 謀 近 者 逸 而 有 終 逸 政 多 忠 臣 勞 政 多 亂 民 故 曰 務 廣 地 者 荒 務 廣 德 者 強 有 其 有 者 安 貪 人 有 者 殘 殘 滅 之 政 雖 成 必 敗 。	Sách Hậu Hán Thư viết : Sách Hoàng Thạch Công Ký viết : “mềm yếu có thể khắc chế cứng rắn, yếu kém có thể khắc chế mạnh mẽ.” Mềm yếu là đức, cứng rắn là giặc, yếu kém có người nhân trợ giúp, mạnh mẽ nhiều oán hận tìm đến. Người bỏ gần tính xa thì lao nhọc mà không công. Người bỏ xa tính gần thì nhàn rỗi mà đến hết đời. Nền chính trị nhàn rỗi thì nhiều trung-thần, nền chính trị lao nhọc thì dân loạn. Nên nói kẻ lo mở rộng đất đai thì hoang tưởng, người lo mở rộng đạo đức thì cường mạnh. Có những gì đã có thì an, tham của người có thì tàn hại. Tàn hại thì nền chính trị diệt vong dù thành công ắt sẽ thất bại.
孝 經 云 : 子 曰 五 刑 之 屬 三 千 而 罪 莫 大 於 不 孝 要 君 者 無 上 非 聖 人 者 無 法 非 孝 者 無 親 此 大 亂 之 道 也 。	Sách Hiếu Kính viết : Đức Khổng-Tử nói 3000 tội nhưng chỉ có 5 mức phạt mà chẳng tội nào lớn bằng tội bất hiếu. Đòi hỏi vua là kẻ không biết trên dưới, phỉ báng thánh-nhân là kẻ không biết phép tắc, phỉ báng người hiếu là kẻ không cha mẹ đó là mối loạn lớn của đạo vậy.
孟 子 云 : 上 下 交 征 利 而 國 危 矣 。	Sách Mạnh Tử viết : Trên dưới đua nhau tranh lợi thì quốc gia nguy vong.
孔 子 家 語 云 : 夫 君 者 舟 也 民 者 水 也 水 所 以 載 舟 亦 所 以 覆 舟 君 以 此 思 危 則 危 可 知 矣 。	Sách Khổng Tử Gia Ngữ viết : Vua như thuyền, dân như nước. Nước có thể nâng thuyền lại cũng có thể làm lật thuyền. Vua lấy đó suy nghĩ đến nguy hiểm thì nguy hiểm có thể biết được vậy.
晉 書 云 : 天 子 之 子 不 患 不 富 貴 不 患 人 不 敬 畏 患 於 驕 盈 不 聞 其 過 不 知 稼 穡 之 艱 難 耳 至 於 甚 者 乃 不 知 名 六 畜 可 不 勉 哉 。	Sách Tấn Thư viết : Con của thiên-tử chẳng lo không được giàu sang, chẳng lo không được người kính sợ. Có lo thì kiêu ngạo quá mức, lo không nghe được lỗi, lo không biết gian nan của nông dân.
孟 子 云 : 孟 子 曰 離 婁 子 之 明 公 輸 子 之 巧 不 以 規 矩 不 能 成 方 圓 師 曠 之 聰 不 以 六 律 不 能 正 五 音 堯 舜 之 道 不 以 仁 政 不 能 平 治 天 下 故 曰 徒 善 不 足 以 為 政 徒 法 不 能 以 自 行 。	Đến thậm tệ hơn nữa là không biết tên 6 loại gia súc, vậy mà không cố gắng ư !. Sách Mạnh Tử viết : Thầy Mạnh-Tử nói : mắt sáng của ông Ly-Lâu và sự khéo tay của ông Chu-Công-Ban (Lỗ-Ban) nếu không dùng đến thước vuông, thước tròn thì không thể nào làm nên món đồ vuông tròn được. Đôi tai thính của sư Khoáng, nếu không dùng sáu luật (âm dương của âm thanh), thì không thể nào nghe rõ năm nốt nhạc (ngũ cung) được. Đạo của vua Nghiêu, vua Thuấn nếu không lấy lòng nhân làm chính trị thì không thể làm thiên-hạ thái bình an trị được. Nên chỉ giảng việc thiện thôi thì chưa đủ sức để làm chính trị, chỉ nói luật pháp thôi thì chưa đủ lực để người tuân theo.
六 韜 云 : 文 王 問 太 公 曰 君 國 主 民 者 其 所 以 失 之 者 何 也 太 公 曰 不 慎 所 與 也 人 君 有 六 守 三 寶 六 守 者 一 曰 仁 二 曰 義 三 曰 忠 四 曰 信 五 曰 勇 六 曰 謀 是 謂 六 守 文 王 曰 慎 擇 此 六 者 奈 何 太 公 曰 富 之 而 觀 其 無 犯 貴 之 而 觀 其 無 驕 付 之 而 觀 其 無 轉 使 而 觀 其 無 隱 危 之 而 觀 其 無 恐 事 之 而 觀 其 無 窮 富 之 而 不 犯 者 仁 也 貴 之 而 不 驕 者 義 也 付 之 而 不 轉 者 忠 也 使 之 而 不 隱 者 信 也 危 之 而 不 恐 者 勇 也 事 之 而 不 窮 者 謀 也 人 君 慎 此 六 者 以 為 君 用 君 無 以 三 寶 借 人 以 三 寶 借 人 則 君 將 失 其 威 大 農 大 工 大 商 謂 之 三 寶 六 守 長 則 國 昌 三 寶 完 則 國 安 。	Sách Lục Thao viết : Vua Văn-Vương hỏi Thái-Công rằng : vua của một nước lãnh đạo dân , vì cớ gì để mất lòng họ ?. Thái-Công đáp : thưa vì không thận trọng chọn người thân cận. Vua có 6 điều tuân thủ và 3 bảo vật. (6 điều tuân thủ) thứ nhất là nhân, thứ hai là nghĩa, thứ ba la trung, thứ tư là tín, thứ năm là dũng, thứ sáu là mưu đó gọi là 6 điều tuân thủ. Vua Văn-Vương nói : như thân trọng chọn người như thế thì làm sao cho đúng với 6 điều ấy ?. Thái-Công đáp : thưa lúc giàu có thì xem họ không phạm lỗi gì, lúc sang trọng thì xem họ không kiêu ngạo gì, giao phó công việc thì xem họ không dời đổi gì, đi sứ thì xem họ không che dấu gì, gặp nguy hiểm thì xem họ không sợ gì, làm việc thì xem họ không cùng quẫn. Giàu có mà không phạm lỗi là nhân, sang trọng mà không kiêu ngạo là nghĩa, giao phó công việc mà không dời đổi là trung, đi sứ mà không che dấu là tín, gặp nguy hiểm mà không sợ là dũng, làm việc mà không cùng quẫn là mưu. Người làm vua thận trọng 6 điều đó, lấy đó để chọn lựa người. Vua không lấy 3 bảo vật cho người mượn, lấy 3 bảo vật cho người mượn thì vua sẽ mất hết quyền uy, đại-nông, đại-công, đại-thương là 3 bảo vật. 6 điều tuân thủ trưởng dưỡng thì quốc gia hưng thịnh, 3 bảo vật vẹn đủ thì quốc gia an định.
晏 子 云 : 景 公 問 晏 子 曰 臨 國 蒞 民 所 患 何 也 對 曰 所 患 者 三 忠 臣 不 信 一 患 也 信 臣 不 忠 二 患 也 君 臣 異 心 三 患 也 是 以 明 君 居 上 無 忠 而 不 信 無 信 而 不 忠 者 是 故 君 臣 無 獄 而 百 姓 無 恐 也 。	Sách Yến Tử viết : (Tề) Cảnh-Công hỏi Yến-Tử rằng : làm việc nước, trị dân thì nên lo gì ?. Yến-Tử đáp : thưa có ba mối lo. Trung-thần không tin là mối thứ nhất, bề tôi thân tín không trung thành là mối lo thứ hai, vua tôi khác lòng là mối lo thứ ba Cho nên vua sáng tại vị không có việc trung-thần không tin tưởng, không có việc bề tôi thân tín không trung thành, như thế thì vua tôi không tranh chấp và bách-tính không lo sợ vậy.
墨 子 云 : 子 墨 子 曰 國 有 七 患 七 患 者 何 城 郭 溝 池 不 可 守 而 治 宮 室 一 患 也 邊 國 至 境 四 鄰 莫 救 二 患 也 先 盡 民 力 無 用 之 功 賞 賜 無 能 之 人 三 患 也 仕 者 持 祿 遊 者 憂 佼 君 脩 法 討 臣 臣 懾 而 不 敢 咈 四 患 也 君 自 以 為 聖 智 而 不 問 事 自 以 為 安 強 而 無 守 備 五 患 也 所 信 者 不 忠 所 忠 者 不 信 六 患 也 蓄 種 菽 粟 不 足 以 食 之 大 臣 不 足 以 事 之 賞 賜 不 能 喜 誅 罰 不 能 威 七 患 也 以 七 患 居 國 必 無 社 稷 以 七 患 守 城 敵 至 國 傾 七 患 之 所 當 國 必 有 殃 。	Sách Mặc Tử viết : Thầy Mặc-Tử nói : Quốc gia có 7 mối lo, vậy 7 mối lo ấy là gì ?. Thành quách, ao hào không thể phòng thủ mà lo xây cung thất là mối lo thứ nhất. Biên giới bị xâm phạm bốn phía mà nước láng giềng chẳng cứu giúp là mối lo thứ hai. Dốc hết sức dân làm những việc vô-dụng, công lao thì ban thưởng cho kẻ bất tài là mối lo thứ ba. Người làm quan giữ lấy bỗng lộc, kẻ du thuyết lo lắng kết bạn, vua sửa luật để phạt bề tôi, bề tôi lo sợ mà chẳng dám nghịch lại là mối lo thứ tư. Vua tự cho mình là thánh-trí mà không hỏi việc nước, tự cho làm nước an trị hùng mạnh mà không phòng bị đó là mối lo thứ năm. Kẻ tín nhiệm không trung thành, người trung thành không tin tưởng đó là mối lo thứ sáu. Hạt giống dự trữ, lúa thóc không đủ nuôi dân, bậc đại-thần không đủ để làm việc, việc ban thưởng không làm người vui, sự trừng phạt không thể làm người nể sợ đó là mối lo thứ bảy. Lấy bảy mối lo này để ở quốc gia ắt sẽ không còn quốc gia nữa, lấy bảy mối lo này để thủ thành thì địch đến quốc gia nghiêng đổ. Bảy mối lo này đang ở quốc gia nào thì ắt sẽ có tai ương. Sách Hàn Tử viết : 10 lỗi : Thứ nhất là hành tiểu-trung thì hại đại-trung.
韓 子 云 : 十 過 一 曰 行 小 忠 則 大 忠 之 賊 也 二 曰 顧 小 利 則 大 利 之 殘 也 三 曰 行 僻 自 用 無 禮 諸 侯 則 亡 身 之 至 也 四 曰 不 務 聽 治 而 好 五 音 則 窮 身 之 事 也 五 曰 貪 愎 喜 利 則 滅 國 殺 身 之 本 也 六 曰 耽 於 女 樂 不 顧 國 政 則 亡 國 之 過 也 七 曰 離 內 遠 遊 忽 於 諫 士 則 危 身 之 道 也 八 曰 過 而 不 聽 於 忠 臣 而 獨 行 其 意 則 滅 高 名 為 人 笑 之 始 也 九 曰 內 不 量 力 外 恃 諸 侯 則 削 國 之 患 也 十 曰 國 小 無 禮 不 用 諫 臣 則 絕 世 之 勢 也 。	Thứ hai chú ý lợi nhỏ mà bỏ sót lợi lớn. Thứ ba là hành vi hẹp hòi, làm theo ý mình, vô-lễ với các chư-hầu thì dẫn tới việc mất thân. Thứ tư là không lắng nghe công việc trị nước mà thích nghe nhạc ngũ-âm thì gặp việc sẽ khiến bản thân cùng đường. Thứ năm là tham lam cố chấp, thích lợi là căn gốc của mất nước hại thân. Thứ sáu là đam mê nữ-nhạc không chú ý việc trị quốc là cái lỗi của việc mất nước. Thứ bảy là rời xa chốn triều nội mà đi du ngoạn xa, sao nhãng lời khuyên của kẻ sĩ là con đường hại thân. Thứ tám là có lỗi mà chẳng lắng nghe trung-thần, thích tự làm theo ý mình là khởi đầu của việc mất đi thanh danh cao quý và bị người cười chê. Thứ chín là không lượng sức lực trong nước, dựa vào các nước chư-hầu bên ngoài, đó là cái họa đất nước bị chia cắt. Thứ mười là nước nhỏ mà vô-lễ, không dùng bề tôi can gián thì quyền thế con cháu đời sau bị mất đi.
呂 氏 春 秋 云 : 故 禮 煩 則 不 莊 業 眾 則 無 功 令 苛 則 不 聽 禁 多 則 不 行 。	Sách Lã Thị Xuân Thu viết : Nên lễ phiền toái thì không trang nghiêm, sự nghiệp nhiều thì vô công, mệnh lệnh hà khắc thì không ai nghe theo, lệnh cấm nhiều thì không thi hành được.
孔 子 家 語 云 : 鳥 窮 則 噣 獸 窮 則 攫 人 窮 則 詐 馬 窮 則 逸 自 古 及 今 未 有 窮 其 下 而 能 無 危 者 也 。	Sách Khổng Tử Gia Ngữ viết : Chim cùng đường thì mổ, thú cùng đường thì cắn, người cùng đường thì dối trá, ngựa cùng đường thì chạy. Từ xưa đến nay, chưa từng có việc làm người dưới cùng đường mà có thể không gặp nguy hiểm.
論 語 云 : 孔 子 曰 君 子 有 三 戒 少 之 時 血 氣 未 定 戒 之 在 色 及 其 壯 也 血 氣 方 剛 戒 之 在 鬥 及 其 老 也 血 氣 既 衰 戒 之 在 得 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : Người quân-tử có 3 đều răn phòng. Lúc thiếu thời huyết khí chưa ổn định phòng sắc dục, đến lúc tráng niên huyết khí đang mạnh thì phòng tranh đấu, đến khi già huyết khí đã suy yếu phòng tính tham tiếc.
晉 書 云 : 古 人 闔 棺 之 日 然 後 誄 行 不 以 前 善 沒 後 惡 也 。	Sách Tấn Thư viết : Người xưa ngày đậy nắp quan tài thì mới làm điếu văn nói lên đức hạnh , không lấy việc thiện lúc trước để che đậy tội ác làm sau này.
申 鑒 云 : 君 子 有 三 鑒 鑒 乎 前 鑒 乎 人 鑒 乎 鏡 前 惟 訓 人 惟 賢 鏡 惟 明 。	Sách Thân Giám viết : Người quân-tử có 3 tấm gương để học tập, học tập từ trước kia (lịch sử), học tập từ con người, học tập từ tấm kính. Như từ trước (lịch sử) suy ra bài học, từ con người suy ra ai tài đức, từ tấm kính suy ra sự sáng suốt.
中 論 云 : 位 也 者 立 德 之 機 也 勢 也 者 行 義 之 杼 也 聖 人 蹈 機 握 杼 織 成 天 地 之 化 使 萬 物 順 焉 人 倫 正 焉 。	Sách Trung Luận viết : Người có chức vị như khung cửi tạo dựng đức hạnh. Người có quyền thế như thoi dệt để hành việc nghĩa. Bậc thánh-nhân chân đạp khung cửi, tay nắm con thoi nên dệt thành sự giáo hóa trong trời đất, khiến vạn vật thuận theo, nhân-luân được chánh đáng vậy.
文 子 云 : 故 聖 人 深 居 以 避 害 靜 默 以 待 時 小 人 不 知 禍 福 之 門 動 作 而 陷 於 刑 雖 曲 為 之 備 不 足 以 全 身 。	Sách Văn Tử viết : Nên bậc thánh-nhân ẩn cư để tránh tai họa, yên lặng trầm mặc để chờ thời. Kẻ tiểu-nhân không biết cánh cửa của họa phúc, làm gì cũng bị hình phạt, dù hết sức uyển chuyển để phòng bị cũng không đủ để bảo toàn thân mạng.
論 語 云 : 孔 子 曰 君 子 有 九 思 視 思 明 聽 思 聰 色 思 溫 貌 思 恭 言 思 忠 事 思 敬 疑 思 問 忿 思 難 見 得 思 義 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : Người quân-tử có 9 điều cần nghĩ đến. (1) Nhìn nghĩ đến rõ ràng, (2) nghe nghĩ đến thông suốt, (3) sắc mặt nghĩ đến ôn hòa, (4) dung mạo nghĩ đến khiêm cung, (5) nói năng nghĩ đến hết lòng, (6) làm việc nghĩ đến cung kính, (7) nghi vấn nghĩ đến hỏi, (8) lúc giận nghĩ đến hoạn nạn, (9) thấy có được nghĩ đến đạo nghĩa.
曾 子 云 : 君 子 博 學 而 淺 守 之 微 言 而 篤 行 之 行 欲 先 人 言 欲 後 人 見 利 思 辱 見 難 思 詬 嗜 欲 思 恥 忿 怒 思 患 君 子 終 身 守 此 戰 戰 也 。	Sách Tăng Tử viết : Người quân-tử học rộng mà luôn xem mình là kẻ thiển cận, nói ít mà dốc lòng làm việc. Làm việc muốn trước người, nói năng muốn sau người. Thấy lợi nghĩ đến cái nhục, thấy việc khó nghĩ đến sự mắng nhiếc. Khi ham muốn nghĩ đến xấu hổ, lúc giận dữ nghĩ đến hoạn nạn. Người quân-tử suốt đời gìn giữ cho bản thân những điều đó, nơm nớp giữ gìn vậy.
論 語 云 : 子 曰 君 子 欲 訥 於 言 而 敏 於 行 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : Người quân-tử muốn nói năng thận trọng mà nhanh nhẹn trong việc làm.
孔 子 家 語 云 : 凡 事 豫 則 立 不 豫 則 廢 言 前 定 則 不 跲 事 前 定 則 不 困 行 前 定 則 不 疚 道 前 定 則 不 窮 。	Sách Khổng Tử Gia Ngữ viết : Thường việc dự phòng trước thì làm nên, không dự phòng trước thì bỏ dỡ. Nói chuyện mà định liệu trước thì không lúng túng, công việc định liệu trước thì không khốn đốn. Hành động định liệu trước thì không hổ thẹn, đường lối định liệu trước thì không cùng đường.
論 語 云 : 子 夏 為 莒 父 宰 問 政 子 曰 毋 欲 速 毋 見 小 利 欲 速 則 不 達 見 小 利 則 大 事 不 成 。	Sách Luận Ngữ viết : Thầy Tử-Hạ làm quan Tể đất Cử-Phụ hỏi việc chính trị. Đức Khổng-Tử nói : Không tham nhanh, không thấy lợi nhỏ. Tham nhanh thì không thông đạt, thấy lợi nhỏ thì việc lớn không thành.
晏 子 云 : 嬰 聞 一 心 可 以 事 百 君 三 心 不 可 以 事 一 君 故 三 君 之 心 非 一 心 也 而 嬰 之 心 非 三 心 也 。	Sách Yến Tử viết : Yến-Anh nghe một lòng một dạ có thể phụng sự trăm vị vua, còn ba tâm hai ý không thể phụng sự nổi một vị vua. Nên thấy dẫu lòng của ba vị vua không đồng một tâm mà lòng dạ Yến-Anh này không ba tâm hai ý vậy.
禮 記 云 : 國 無 九 年 之 蓄 曰 不 足 無 六 年 之 蓄 曰 急 無 三 年 之 蓄 曰 國 非 其 國 也 三 年 耕 必 有 一 年 之 食 九 年 耕 必 有 三 年 之 食 以 三 十 年 之 通 雖 有 凶 旱 水 溢 民 無 菜 色 然 後 天 子 食 日 舉 為 樂 。	Sách Lễ Ký viết : Quốc gia không tích trữ lương thực dùng trong 9 năm thì gọi là không đủ, không tích trữ lương thực dùng trong 6 năm thì gọi là nguy cấp, không tích trữ lương thực dùng trong 3 năm thì gọi là quốc gia không còn là quốc gia nữa. Cày ruộng trong ba năm ắt có dư lương thực dùng trong 1 năm, cày ruộng trong 9 năm ắt có dư lương thực dùng trong 3 năm. Như lấy 30 năm để thống nhất hết thì dù có gặp năm mất mùa, hạn hán, lũ lụt thì dân không đói. Như thế thiên-tử có thể hàng ngày ngẩng đầu ăn cơm nghe nhạc.
晏 子 云 : 詩 曰 靡 不 有 初 鮮 克 有 終 不 能 終 善 者 不 遂 其 國 。	Sách Yến Tử viết : Kinh Thi viết : “Lúc ban đầu ai không theo, nhưng ít người theo đến cùng”. Người không thể làm việc tốt đến cùng thì không thể làm xong việc nước.
周 易 云 : 蒙 以 養 正 聖 功 也 。	Sách Chu Dịch viết : Trẻ nhỏ được bồi dưỡng sự chánh đáng là công lao thần thánh.
文 子 云 : 治 身 太 上 養 神 其 次 養 形 神 清 意 平 百 節 皆 寧 養 生 之 本 也 肥 肌 膚 充 腹 腸 開 嗜 欲 養 生 之 末 也 。	Sách Văn Tử viết : Cao nhất của việc sửa mình là dưỡng tinh thần, kế đến là dưỡng hình hài. Tinh thần trong sạch, ý chí bình hòa thì trăm cơ quan đều khỏe mạnh đó là căn gốc của việc dưỡng-sinh vậy. Còn vẻ béo mập da thịt, ăn uống đầy đủ dinh dưỡng, mở ra sự ham muốn đó là cành ngọn của việc dưỡng-sinh vậy.
昌 言 云 : 和 神 氣 懲 思 慮 避 風 濕 節 飲 食 適 嗜 欲 此 壽 考 之 方 也 。	Sách Xương Ngôn viết : Đều hòa thần khí, tránh lo âu để phòng bệnh phong-thấp, hạn chế ăn uống quá độ, điều tiết lòng ham muốn. Đó là phương pháp để trường thọ vậy.
漢 書 云 : 古 者 衣 服 車 馬 貴 賤 有 章 以 褒 有 德 而 別 尊 卑 今 上 下 僭 差 人 人 自 制 是 故 貪 財 趍 利 不 畏 死 亡 周 之 所 以 能 致 治 刑 措 而 不 用 者 以 其 禁 邪 於 冥 冥 絕 惡 於 未 萌 也 。	Sách Hán Thư viết : Thời xưa quần áo, xe ngựa, sang hèn đều rõ ràng việc đó để khen thưởng người đức độ và phân biệt cao thấp. Thời nay trên dưới vượt quá giới hạn, người người tự đặt ra cách riêng cho nên ai cũng tham tiền trục lợi không màng đến sống chết. Nhà Chu sở dĩ đạt đến thịnh trị là có hình phạt mà không dùng đến, cấm việc gian tà khi nó còn mù mờ, cắt đứt việc ác khi chúng chưa phát sinh vậy.
