第 一 篇 君 道	THIÊN THỨ 1 : QUÂN ĐẠO
論 語 云 : 子 曰 我 三 人 行 必 得 我 師 焉 擇 其 善 者 而 從 之 其 不 善 者 而 改 之 。	Sách Luận Ngữ viết : Đức Khổng-tử nói : ba người đi cùng ắt có thầy ta, chọn người tốt mà gắng học theo, còn người không tốt xem đó mà sửa đổi.
論 語 云 : 子 曰 過 而 不 改 是 謂 過 矣 。	Sách Luận Ngữ viết : Đức Khổng-tử nói : có lỗi mà không sửa đổi thì thật sai lầm vậy.
論 語 云 : 子 貢 曰 君 子 之 過 也 如 日 月 之 食 焉 過 也 人 皆 見 之 更 也 人 皆 仰 之 。	Sách Luận Ngữ viết : Thầy Tử-Cống nói : lỗi của người quân-tử thì như nhật thực, nguyệt thực, lỗi đó ai cũng nhìn thấy, đến khi sửa lỗi thì ai cũng ngưỡng mộ.
鬻 子 云 : 大 忌 知 身 之 惡 而 不 改 也 以 賊 其 身 乃 喪 其 軀 有 行 如 此 之 謂 大 忌 也 。	Sách Dục Tử viết : Điều đại kỵ lớn nhất là biết lỗi mình mà không sửa đổi, đến nỗi hại đến thân, mất cả tánh mạng, như có hành vi như thế đó là điều đại kỵ.
中 論 云 : 先 民 有 言 人 之 所 難 者 二 樂 知 其 惡 者 難 以 惡 告 人 者 難 。	Thiên Lã-Hình (Kinh Thi) viết : Một người có phước, triệu dân được nhờ.
孝 經 云 : 子 曰 愛 親 者 不 敢 惡 於 人 敬 親 者 不 敢 慢 於 人 愛 敬 盡 於 事 親 而 德 教 加 於 百 姓 形 于 四 海 蓋 天 子 之 孝 也 呂 刑 云 一 人 有 慶 兆 民 賴 之 。	Sách Khổng-Tử Gia Ngữ viết : Xưa kia các vị vua hiền minh của ba nhà (Hạ, Thương, Chu) ắt kính trọng vợ con, thật là có đạo lý. Bởi vợ là người chủ chăm sóc người thân, con là người thừa kế gia đình sau này, chẳng dám không kính hai bậc đó.
孔 子 家 語 云 : 昔 三 代 明 王 之 必 敬 妻 子 也 蓋 有 道 焉 妻 也 者 親 之 主 也 子 也 者 親 之 後 也 敢 不 敬 與 是 故 君 子 無 不 敬 也 敬 也 者 敬 身 為 大 身 也 者 親 之 支 也 敢 不 敬 與 不 敬 其 身 是 傷 其 親 傷 其 親 是 傷 其 本 也 傷 其 本 則 支 從 而 亡 三 者 百 姓 之 象 也 言 百 姓 之 所 法 而 行 身 以 及 身 子 以 及 子 妃 以 及 妃 君 修 此 三 者 則 大 化 愾 於 天 下 。	Vua mà làm được ba điều ấy thì sự giáo hóa sẽ sâu rộng khắp thiên-hạ.
後 漢 書 云 : 帝 王 之 於 親 戚 愛 雖 隆 必 示 之 以 威 體 雖 貴 必 禁 之 以 度 。	Sách Hậu Hán Thư viết : Đế vương tuy yêu thương người thân thích nhưng ắt phải giữ sự tôn nghiêm của mình, tuy quý trọng nhưng ắt phải cấm đoán để họ không làm bậy.
昌 言 云 : 所 貴 於 善 者 以 其 有 禮 儀 也 所 賤 於 惡 者 以 其 有 罪 過 也 今 以 所 貴 者 教 民 以 所 賤 者 教 親 不 亦 悖 乎 。	Nay người ta đem điều quý để dạy dân, đem điều khinh để dạy người thân thật là trái lẽ.
傅 子 云 : 立 德 之 本 莫 尚 乎 正 心 心 正 而 後 身 正 身 正 而 後 左 右 正 左 右 正 而 後 朝 廷 正 朝 廷 正 而 後 國 家 正 國 家 正 而 後 天 下 正 。	Sách Phó Tử viết : Gốc của lập đức chẳng gì hơn làm tâm chánh, tâm chánh sau thân chánh, thân chánh sau bề tôi chánh, bề tôi chánh sau triều đình chánh, triều đình chánh sau quốc gia chánh, quốc gia chánh sau thiên-hạ chánh.
史 記 云 : 天 子 無 戲 言 言 則 史 書 之 禮 成 之 樂 歌 之 。	Sách Sử Ký viết : Vua không nói lời đùa giỡn, vì vừa nói một lời quan sử liền ghi chép lại để thành lễ pháp, thành ca khúc để truyền bá.
論 語 云 : 子 曰 躬 自 厚 而 薄 責 於 人 則 遠 怨 矣 。	Sách Lục Thao viết : Vua không có phẩm hạnh tốt thì quốc gia sẽ lâm nguy, dân chúng loạn lạc.
六 韜 云 : 君 不 肖 則 國 危 而 民 亂 君 賢 聖 則 國 家 安 而 天 下 治 禍 福 在 君 不 在 天 時 。	Vua hiền thánh thì quốc gia an ổn, thiên-hạ trị. Nên họa phước tại vua không phải tại số trời.
論 語 云 : 朕 躬 有 罪 無 以 萬 方 萬 方 有 罪 罪 在 朕 躬 。	Sách Luận Ngữ viết : Trẫm (vua Thành-Thang) có tội thì không liên quan gì đến dân chúng, dân chúng có tội thì tội đó là tại trẫm.
管 子 云 : 故 明 王 有 過 則 反 之 於 身 有 善 則 歸 之 於 民 有 過 而 反 之 身 則 身 懼 有 善 而 歸 之 民 則 民 喜 往 喜 民 來 懼 身 此 明 王 之 所 以 治 民 也 。	Sách Quản Tử viết : Nên vị vua sáng có lỗi tắc phản tỉnh lại bản thân, còn có điều tốt lành thì quy hết cho dân chúng. Có lỗi mà phản tỉnh bản thân thì tự biết sợ sệt, có điều tốt lành quy hết cho dân thì dân vui mừng, cho dân sự vui mừng, mang cho mình sự sợ sệt như thế thì vị vua sáng mới trị an được dân chúng.
政 要 論 云 : 傳 曰 禹 湯 罪 己 其 興 也 勃 焉 桀 紂 罪 人 其 亡 也 忽 焉 由 是 言 之 長 民 治 國 之 本 在 身 。	Từ đó cho thấy, lời nói nuôi dân trị quốc thì tại bản thân (vua) là căn gốc.
孟 子 云 : 孟 子 告 齊 宣 王 曰 君 之 視 臣 如 手 足 則 臣 之 視 君 如 腹 心 君 之 視 臣 如 犬 馬 則 臣 之 視 君 如 國 人 君 之 視 臣 如 土 芥 則 臣 之 視 君 如 寇 讎 。	Sách Mạnh-Tử viết : Thầy Mạnh-Tử đến gặp vua Tề-Tuyên-Vương nói : vua mà coi bề tôi như tay chân thì bề tôi sẽ coi vua tim gan, vua mà coi bề tôi như chó ngựa thì bề tôi sẽ coi vua như người dưng, vua mà coi bề tôi như đất cỏ thì bề tôi sẽ coi vua như kẻ thù.
說 苑 云 : 明 主 者 有 三 懼 一 曰 處 尊 位 而 恐 不 聞 其 過 二 曰 得 意 而 恐 驕 三 曰 聞 天 下 之 至 言 而 恐 不 能 行 。	Sách Thuyết Uyển viết : Bậc vua sáng có ba điều sợ, thứ nhất là ở ngôi cao mà không nghe được lỗi lầm của mình, thứ hai được đắc ý sợ sẽ kiêu ngạo, thứ ba là nghe được lời đúng đắn của người thiên-hạ mà sợ không làm theo.
後 漢 書 云 : 昔 成 湯 遭 旱 以 六 事 自 責 曰 政 不 節 耶 使 民 疾 耶 宮 室 榮 耶 女 謁 盛 耶 苞 苴 行 耶 讒 夫 昌 耶 。	Sách Luận Ngữ viết : Thầy Tăng-Tử nói rằng : bậc trên đánh mất đạo đức, dân chúng không có phép tắc đã lâu, như biết được tình hình thì nên thương xót chớ mà vui mừng (khi xử án được).
論 語 云 : 曾 子 曰 上 失 其 道 民 散 久 矣 如 得 其 情 則 哀 矜 而 勿 喜 。	Sách Khổng Tử Gia Ngữ viết : Bậc trên mất đạo đức mà giết cấp dưới là chuyện phi lý.
孔 子 家 語 云 : 上 失 其 道 而 殺 其 下 非 理 也 不 教 以 孝 而 聽 其 獄 是 殺 不 辜 也 。	Không dạy đạo hiếu, hễ nghe đến phạm tội thì cầm tù đó là giết người vô tội.
申 鑒 云 : 致 治 之 術 先 屏 四 患 乃 崇 五 政 一 曰 偽 二 曰 私 三 曰 放 四 曰 奢 偽 亂 俗 私 壞 法 放 越 軌 奢 敗 制 四 者 不 除 則 政 無 由 行 矣 俗 亂 則 道 荒 雖 天 地 不 得 保 其 性 矣 法 壞 則 世 傾 雖 人 主 不 得 守 其 度 矣 越 軌 則 禮 亡 雖 聖 人 不 得 全 其 行 矣 制 敗 則 欲 肆 雖 四 表 不 能 充 其 求 矣 是 謂 四 患 興 農 桑 以 養 其 生 審 好 惡 以 正 其 俗 宣 文 教 以 章 其 化 立 武 備 以 秉 其 威 明 賞 罰 以 統 其 法 是 謂 五 政 。	Sách Thân Giám viết : Cái thuật để có nền cai trị tốt trước tiên phải ngăn bốn họa hoạn và dùng năm chính sách sau. thứ nhất dối trá, hai là tư lợi, ba là phóng túng, bốn là xa xỉ. Dối trá làm loạn phong tục, tư lợi phá hoại pháp luật, phóng túng thì bỏ qua phép tắc, xa xỉ làm bại hoại chế độ, bốn cái họa hoạn ấy không trử bỏ thì nền chính trị tốt không thể thi hành được.
說 苑 云 : 無 常 安 之 國 無 恒 治 之 民 得 賢 者 則 安 昌 失 之 者 則 危 亡 自 古 及 今 未 有 不 然 者 也 。	Từ xưa đến nay chẳng phải như vậy ư. Sách Ngụy Chí viết : Sách viết : không có vị vua xuất chúng thì ắt không dùng bề tôi xuất chúng.
魏 志 云 : 書 曰 有 不 世 之 君 必 能 用 不 世 之 臣 用 不 世 之 臣 必 能 立 不 世 之 功 。	Không dùng bề tôi xuất chúng thì ắt không thể lập nên sự nghiệp xuất chúng. Sách Lễ Ký viết : Đức Khổng-Tử nói : bậc đại-thần không thể không kính trọng, vì họ là tấm gương của dân chúng.
漢 書 云 : 文 王 好 仁 故 仁 興 得 士 而 敬 之 則 士 用 用 之 有 禮 儀 故 不 致 其 愛 敬 則 不 能 盡 其 心 則 不 能 盡 其 力 則 不 能 成 其 功 故 古 之 賢 君 於 其 臣 也 尊 其 爵 祿 而 親 之 疾 則 臨 視 之 無 數 死 則 弔 哭 之 為 之 服 錫 衰 而 三 臨 其 喪 未 斂 不 飲 酒 食 肉 未 葬 不 舉 樂 當 宗 廟 之 祭 而 死 為 之 廢 樂 故 古 之 君 人 者 於 其 臣 也 可 謂 盡 禮 矣 故 臣 下 莫 敢 不 竭 力 盡 死 以 報 其 上 。	Nên không có lòng yêu kính chí thành, thì họ không thể dốc hết lòng, không thể dốc hết lực, không thể không làm hết khả năng để nên công trạng được. Nên bậc vua hiền đức xưa đối với bề tôi, vì tôn kính mà ban tước lộc để được gần gũi, khi họ bệnh thì nhiều lần đến thăm hỏi, khi họ chết liền đến chia buồn khóc than, lại mặc áo tang, phải ba lần đến nơi an táng, khi tẩm liệm thì không uống rượu, không ăn thịt, khi lễ chôn cất chưa xong thì không tấu nhạc, đương lúc làm lễ tế nơi tông miếu mà ngay lúc họ chết thì bỏ đi việc tấu nhạc.
史 記 云 : 周 公 戒 伯 禽 曰 我 文 王 之 子 武 王 之 弟 成 王 之 叔 父 我 於 天 下 亦 不 賤 矣 然 我 一 沐 三 捉 髪 一 飯 三 吐 哺 起 以 待 士 猶 恐 失 天 下 之 賢 人 子 之 魯 慎 無 以 國 驕 人 。	Con về đến nước Lỗ phải thận trọng, chớ lấy thân phận vua mà kiêu căng với người.
申 鑒 云 : 惟 恤 十 難 以 任 賢 能 一 曰 不 知 二 曰 不 求 三 曰 不 任 四 曰 不 終 五 曰 以 小 怨 棄 大 德 六 曰 以 小 過 黜 大 功 七 曰 以 小 短 掩 大 美 八 曰 以 干 訐 傷 忠 正 九 曰 以 邪 說 亂 正 度 十 曰 以 讒 嫉 廢 賢 能 是 謂 十 難 十 難 不 除 則 賢 臣 不 用 賢 臣 不 用 則 國 非 其 國 也 。	Sách Thân Giám viết : Suy ngẫm thì có 10 điều khó khi dùng bậc hiền-năng (tài giỏi), 1 là không biết, 2 là không cầu, 3 là không tín nhiệm, 4 là không đến cùng, 5 là thù oán nhỏ mà bỏ đi hết đức lớn, 6 là vì lỗi nhỏ mà bỏ đi hết công lớn, 7 là vì khuyết điểm nhỏ mà che lấp hết cái đẹp lớn, 8 là vì những lời nói bới móc mà làm tổn thương lòng trung chánh, 9 vì những lời tà thuyết mà làm loạn chánh độ (phép tắc), 10 vì những lời gièm pha mà phế đi bậc hiền-năng. Đó là 10 cái khó, không trừ bỏ thì bề tôi hiền đức không dùng được, bề tôi hiền đức không dùng được thì đất nước không phải là đất nước nữa.
六 韜 云 : 文 王 問 太 公 曰 君 務 舉 賢 而 不 獲 其 功 世 亂 愈 甚 以 致 危 亡 者 何 也 太 公 曰 舉 賢 而 不 用 是 有 舉 賢 之 名 也 無 得 賢 之 實 也 文 王 曰 其 失 安 在 太 公 曰 其 失 在 好 用 世 俗 之 所 譽 不 得 其 真 賢 。	Sách Tân Tự viết : Người làm vua mà coi thường bề tôi, thì kẻ trí sẽ không mưu toan, kẻ giỏi biện luận không đi sứ, kẻ dũng cảm không chiến đấu.
新 序 云 : 為 人 君 而 侮 其 臣 者 智 者 不 為 謀 辨 者 不 為 使 勇 者 不 為 鬥 智 者 不 為 謀 則 社 稷 危 辨 者 不 為 使 則 使 不 通 勇 者 不 為 鬥 則 邊 境 侵 。	Kẻ trí không mưu toan thì xã-tắc (đất nước) lâm nguy, kẻ giỏi biện luận không đi sứ thì đất nước sẽ không thông, kẻ dũng cảm không chiến đấu thì biên giới bị giặc xâm lấn. Sách Tiềm Phu Luận viết : Quốc gia được an trị là có vua sáng suốt, mà loạn lạc là vì vua hôn ám.
潛 夫 論 云 : 國 之 所 以 治 者 君 明 也 其 所 以 亂 者 君 闇 也 君 之 所 以 明 者 兼 聽 也 其 所 以 闇 者 偏 信 也 是 故 人 君 通 必 兼 聽 則 聖 日 廣 矣 庸 說 偏 信 則 愚 日 甚 矣 。	Vua sáng suốt là nhờ biết lắng nghe khắp cả (quần thần), vua hôn ám là vì chỉ tin vào một phía.
後 漢 書 云 : 臣 聞 人 君 莫 不 好 忠 正 而 惡 讒 諛 然 而 歷 世 之 患 莫 不 以 忠 正 得 罪 讒 諛 蒙 倖 者 蓋 聽 忠 難 從 諛 易 也 。	Nên người làm vua thông suốt ắt lắng nghe khắp cả (quần thần), họ sẽ thành thánh, đức hạnh ngày một lớn vậy.
潛 夫 論 云 : 舜 曰 予 違 汝 弼 汝 無 面 從 退 有 後 言 故 治 國 之 道 勸 之 使 諫 宣 之 使 言 然 後 君 明 察 而 治 情 通 矣 。	Sách Tiềm Phu Luận viết : Vua Thuấn nói : như ta có lỗi thì các khanh phải giúp ta sữa, đừng có trước mặt thì thuận theo sau khi thoái lui lại bàn tán. Nên cái đạo của việc trị quốc là phải khuyến khích mọi người can gián, tuyên dương những lời nói phải, như thế vua mới sáng suốt để trị nước thấu tình, đạt lý.
吳 志 云 : 興 國 之 君 樂 聞 其 過 荒 亂 之 主 樂 聞 其 譽 聞 其 過 者 過 日 消 而 福 臻 聞 其 譽 者 譽 日 損 而 禍 至 。	Sách Hán Thư viết : Tổn hại tiết tháo của kẻ sĩ chính trực, bỏ qua lời khuyên của bề tôi.
漢 書 云 : 折 直 士 之 節 結 諫 臣 之 舌 群 臣 皆 知 其 非 然 不 敢 爭 天 下 以 言 為 戒 最 國 家 之 大 患 也 。	Quần-thần đều biết sai mà không tranh luận gì, người thiên-hạ nói ra thì ngăn cấm, đó thật là tai họa lớn của quốc gia. Sách Khổng Tử Gia Ngữ viết : Đức Khổng-Tử nói : Thuốc tuy đắng miệng nhưng lợi cho việc trị bệnh, lời nói thật tuy nghịch lỗ tai nhưng lợi cho việc làm.
孔 子 家 語 云 : 孔 子 曰 藥 酒 苦 於 口 而 利 於 病 忠 言 逆 於 耳 而 利 於 行 湯 武 以 諤 諤 而 昌 桀 紂 以 唯 唯 而 亡 。	Sách Phó Tử viết : Nghe lời nói chưa xét rõ ràng, rồi lại cho là tốt xấu, thế thì thị-phi sẽ đảo lộn, những lời biện luận xảo trá theo đó mà khởi lên.
傅 子 云 : 聞 言 未 審 而 以 定 善 惡 則 是 非 有 錯 而 飾 辯 巧 言 之 流 起 矣 。	Sách Lưu Dực Chính Luận viết : Lãnh đạo chẳng ai là không yêu kẻ quý trọng mình, thế mà họ không biết được kẻ quý trọng mình không nên yêu quá mức.
劉 廙 政 論 云 : 夫 人 主 莫 不 愛 愛 己 而 莫 知 愛 己 者 之 不 足 愛 也 故 惑 小 臣 之 佞 而 不 能 廢 也 忘 違 己 之 益 己 而 不 能 用 也 。	Nên (khi) say mê những lời nịnh hót của tiểu-thần thì không thể bỏ họ đi, đó là quên mất chính mình, muốn tốt cho mình thì đừng trọng dụng họ (quá mức).
老 子 云 : 金 玉 滿 堂 莫 之 能 守 富 貴 而 驕 還 自 遺 咎 功 成 名 遂 身 退 天 之 道 也 。	Sách Lão Tử viết : Vàng bạc đầy nhà không giữ được lâu, phú quý mà kiêu ngạo tự mời họa đến, việc đã làm thành thì nên thoái lui, đó là đạo trời.
潛 夫 論 云 : 孔 子 曰 眾 好 之 必 察 焉 眾 惡 之 必 察 焉 故 聖 人 之 施 舍 也 不 必 任 眾 亦 不 必 專 己 必 察 彼 己 之 謂 而 度 之 以 義 故 舉 無 遺 失 而 功 無 廢 滅 也 。	Sách Tiềm Phu Luận viết : Đức Khổng-Tử nói : Kẻ có nhiều người thích ắt phải xét lại, kẻ có nhiều người ghét ắt phải xét lại. Nên bậc thánh-nhân thì xả bỏ, không ắt phải tin mọi người, lại cũng không ắt phải tin chính mình, mà ắt phải xét bên họ bên mình rồi phán xét cho hợp với đạo nghĩa.
中 論 云 : 人 君 之 大 患 也 莫 大 乎 詳 於 小 事 而 略 於 大 道 察 於 近 物 而 暗 於 遠 數 自 古 及 今 未 有 如 此 而 不 亡 也 。	Từ xưa đến nay chưa có vua nào như thế mà không mất nước.
晏 子 云 : 景 公 問 晏 子 曰 古 者 離 散 其 民 而 隕 失 其 國 者 其 常 行 何 如 對 曰 國 貧 而 好 大 智 薄 而 好 專 尚 讒 諛 而 賤 賢 人 樂 簡 慢 而 輕 百 姓 國 無 常 法 民 無 經 紀 好 辯 以 為 智 刻 民 以 為 忠 流 湎 而 忘 國 好 兵 而 忘 民 肅 於 罪 誅 而 慢 於 慶 賞 樂 人 之 哀 利 人 之 害 德 不 足 以 懷 人 政 不 足 以 匡 民 賞 不 足 以 勸 善 刑 不 足 以 防 非 此 亡 國 之 行 也 今 民 聞 公 令 如 寇 讎 此 古 之 離 其 民 隕 其 國 常 行 也 。	Sách Yến Tử viết : Vua (Tề) Cảnh-Công hỏi Yến-Tử rằng : Xưa kia khi ly tán dân chúng thì mất nước, thường những việc (dẫn đến mất nước) đó là gì ? Yến-Tử đáp : thưa nước nghèo thích làm việc lớn, trí kém thích tự làm, thích lời nịn hót mà bỏ đi đi người hiền, khoái sự kiêu mạn mà xem thường dân chúng, luật pháp quốc gia lúc có lúc không, dân chúng không có kỷ luật, thích biện luận cho rằng là hiểu biết, hà khắc với dân cho rằng làm hết mình, uống rượu quá mức đến mất nước, thích việc bịnh bị mà quên mất dân, răn đe giết kẻ có tội mà trì hoãn việc ban thưởng khen tặng, lấy sự đau khổ của người là niềm vui, cho lợi người là hại, đức trạch không đủ để dân nhớ tới, chính sách không đủ để giúp dân, khen thưởng không đủ để khuyến thiện, hình phạt không đủ để răn đe, đó là những việc làm dẫn đến mất nước.
淮 南 子 云 : 聖 人 守 其 所 以 有 不 求 其 所 未 得 求 其 所 未 得 則 所 有 者 亡 矣 修 其 所 有 則 所 欲 者 至 矣 。	Bồi dưỡng cái mình đã có thì những điều mong muốn sẽ đến vậy.
吳 志 云 : 絕 無 益 之 欲 以 奉 德 義 之 塗 棄 不 急 之 務 以 修 功 業 之 基 其 於 名 行 豈 不 善 哉 。	Sách Ngô Chí viết : Tuyệt dứt những dục vọng vô ích mà vâng theo đạo-đức, nhân-nghĩa, gác lại những việc không nguy cấp để lo gây dựng công nghiệp, đó là nền móng cho danh tiếng, đức hạnh há chẳng phải là việc tốt ư !.
韓 詩 外 傳 云 : 福 生 於 無 為 而 患 生 於 多 欲 故 知 足 然 後 富 從 之 德 宜 君 人 然 後 貴 從 之 故 貴 爵 而 賤 德 者 雖 為 天 子 不 貴 矣 貪 物 而 不 知 止 者 雖 有 天 下 不 富 矣 。	Sách Hoài Nam Tử viết : Kẻ có nhiều dục vọng sẽ bại vong, chưa có người vô dục mà bị nguy hiểm.
淮 南 子 云 : 有 以 欲 多 亡 者 未 有 以 無 欲 危 者 也 有 以 欲 治 而 亂 者 未 有 以 守 常 失 者 也 。	Kẻ có dục vọng cai trị thì loạn, chưa có người giữ đạo thường mà tổn thất bao giờ.
淮 南 子 云 : 日 月 欲 明 浮 雲 蓋 之 河 水 欲 清 沙 石 穢 之 人 性 欲 平 嗜 欲 害 之 夫 縱 欲 而 失 性 動 未 嘗 正 也 以 治 身 則 失 以 治 國 則 敗 。	Sách Hoài Nam Tử viết : Mặt trời, mặt trăng muốn sáng nhưng bị mây che, sông nước muốn trong nhưng bị cát đá làm đục, tính người muốn được bình lặng mà bị thị dục làm hại. Thường phóng túng dục vọng thì mất đi nhân tính, nên khi làm gì thì thường không chánh, dẫn đến việc sửa thân cũng sai, đến việc trị nước cũng thất bại.
吳 越 春 秋 云 : 天 下 之 愚 莫 過 於 斯 知 貪 前 之 利 不 睹 其 後 之 患 也 。	Sách Ngô Việt Xuân Thu viết : Trong thiên-hạ không có cái ngu nào hơn là chỉ biết lợi ích trước mắt, mà không trông thấy được họa hoạn sau này.
淮 南 子 云 : 今 人 之 所 以 犯 囹 圄 之 罪 而 陷 於 刑 戮 之 患 者 由 嗜 欲 無 厭 不 修 度 量 之 故 也 。	Sách Hoài Nam Tử viết : Ngày nay người sở dĩ phạm phải lao ngục, bị tội mà phải chịu họa hình-lục (giết phanh thây), chẳng phải là do ham mê dục vọng vô bờ bến, không biết răn sửa mình mà gây nên đó ư.
後 漢 書 云 : 夫 物 暴 長 者 必 夭 折 功 卒 成 者 必 亟 壞 。	Sách Hậu Hán Thư viết : Thường vật sinh trưởng đột ngột ắt sẽ chết yểu, sự nghiệp thành công quá nhanh ắt sẽ hoại nhanh chóng.
晉 書 云 : 儉 德 之 恭 也 侈 惡 之 大 也 。	Sách Tấn Thư viết : Tiết kiệm là đức tính nên tôn trọng, xa xỉ là điều xấu lớn.
傅 子 云 : 古 言 非 典 義 學 士 不 以 經 心 事 非 田 桑 農 夫 不 以 亂 業 器 非 時 用 工 人 不 以 措 手 物 非 世 資 商 賈 不 以 適 市 士 思 其 訓 農 思 其 務 工 思 其 用 賈 思 其 常 是 以 上 用 足 而 下 不 匱 。	Kẻ sĩ nghĩ đến giáo huấn, nông dân nghĩ đến mùa vụ, người thợ nghĩ đến vật dùng được, thương nhân nghĩ đến đồ thường dùng, thế nên trên thì vật dụng đầy đủ mà dưới không thiếu thốn.
周 易 云 : 損 君 子 以 懲 忿 窒 欲 。	Sách Chu Dịch viết : Quẻ (Sơn Trạch) Tổn, người quân-tử phải kiềm chế nóng giận và ngăn che dục vọng của mình.
論 語 云 : 子 曰 見 賢 思 齊 焉 見 不 賢 而 內 自 省 也 。	Sách Luận Ngữ viết : Đức Khổng Tử nói : gặp người hiền phải nghĩ sao cho giống họ, gặp người chẳng hiền thì tự phản tỉnh lại mình.
曾 子 云 : 太 上 樂 善 其 次 安 之 其 下 亦 能 自 強 也 。	Sách Tăng Tử viết : Cảnh giới cao nhất là vui với việc thiện, kế là an trong việc thiện, dưới nữa tự cố gắng làm thiện.
周 易 云 : 益 君 子 以 見 善 則 遷 有 過 則 改 矣 。	Sách Chu Dịch viết : Quẻ (Phong Lôi) Ích, người quân-tử thấy việc thiện thì theo, có lỗi phải sửa đổi.
左 傳 云 : 人 誰 能 無 過 過 而 能 改 善 莫 大 焉 。	Sách Tả Truyện viết : Người ai mà không lỗi, lỗi mà sửa đổi thì chẳng gì tốt hơn.
曾 子 云 : 太 上 不 生 惡 其 次 生 而 能 夙 絕 之 其 下 復 而 能 改 。	Sách Tăng Tử viết : Bậc cao nhất là không nảy sinh điều ác, bậc kế là nảy sinh rồi mà sớm đoạn tuyệt, bậc dưới mắc nhiều lần rồi sửa đổi lại.
